product,flow,value
Coal and coal products,Industry,10.339698
Peat,Industry,4.276723643835616
Coal and coal products,Residential,0.012230054794520547
Peat,Residential,0.2248402191780822
Peat,Commercial,0.039100027397260276
Coal and coal products,Other,0.11009057534246576
Peat,Other,0.25416021917808224
Gas,Industry,15.367214465753426
Combustible renewables and waste,Industry,67.36561191780821
Gas,Transport,0.46608758904109593
Combustible renewables and waste,Transport,0.09233791780821916
Gas,Residential,0.6167040273972603
Solar/Wind/Other,Residential,0.008635342465753424
Combustible renewables and waste,Residential,22.107842301369864
Gas,Commercial,0.6283516986301371
Combustible renewables and waste,Commercial,1.264595698630137
Gas,Other,1.3300837260273974
Combustible renewables and waste,Other,2.6006639178082187
Oil Products,Industry,30.436549780821917
Oil Products,Transport,84.5586590958904
Oil Products,Residential,14.596580438356165
Oil Products,Commercial,6.596116383561644
Oil Products,Other,37.99006457534247
Electricity,Industry,79.63685528767124
Electricity,Transport,1.0880531506849316
Electricity,Residential,35.12511901369863
Electricity,Commercial,26.178904219178083
Electricity,Other,1.4939142465753423
Heat,Industry,35.669406657534246
Heat,Residential,27.840544931506848
Heat,Other,19.41700934246575
Coal and coal products,Electricity output in GWh,17135.0
Peat,Electricity output in GWh,6542.0
Gas,Electricity output in GWh,12747.0
Nuclear,Electricity output in GWh,22716.0
Hydro,Electricity output in GWh,15070.0
Solar/Wind/Other,Electricity output in GWh,122.0
Combustible renewables and waste,Electricity output in GWh,10625.0
Oil Products,Electricity output in GWh,615.0
Peat,Production,17.991555287671233
"Crude, NGL and feedstocks",Production,1.6628255616438357
Nuclear,Production,118.88510934246575
Hydro,Production,26.026922191780823
Solar/Wind/Other,Production,0.219337698630137
Combustible renewables and waste,Production,151.3197970410959
Coal and coal products,Imports,111.01540043835615
Peat,Imports,0.21038104109589045
"Crude, NGL and feedstocks",Imports,252.46869616438354
Gas,Imports,79.31282912328767
Combustible renewables and waste,Imports,0.09233791780821916
Peat,Exports,-0.1417401095890411
Combustible renewables and waste,Exports,-1.2722871780821918
Coal and coal products,Total Consumption,10.461998547945205
Peat,Total Consumption,4.794824109589041
Gas,Total Consumption,18.408461589041096
Solar/Wind/Other,Total Consumption,0.008635342465753424
Combustible renewables and waste,Total Consumption,93.43107183561645
Oil Products,Imports,81.83804424657535
Electricity,Imports,20.149708109589042
Oil Products,Exports,-113.98451232876711
Electricity,Exports,-11.738884547945206
Oil Products,Total Consumption,174.17795019178084
Electricity,Total Consumption,143.5228459178082
Electricity,Production,363.33703471232883
Coal and coal products,Electricity,-81.54369956164383
Peat,Electricity,-35.470934356164385
Gas,Electricity,-49.204623178082194
Nuclear,Electricity,-118.88510934246575
Hydro,Electricity,-26.026922191780823
Solar/Wind/Other,Electricity,-0.21070235616438357
Combustible renewables and waste,Electricity,-48.37490734246575
Oil Products,Electricity,-3.6201363835616442
"Crude, NGL and feedstocks",Oil Products,-277.32633273972607
All products,Heat and Waste,225.30403747945218
All products,Industry,243.09203967123287
All products,Transport,86.20513775342465
All products,Residential,100.53247624657534
All products,Commercial,34.70706802739726
All products,Other,63.19598660273972
All products,Total Consumption,444.80578753424663
All primary,Production,316.1055471232877
All primary,Imports,443.09964468493143
All primary,Exports,-1.414027287671233
All primary,Total Consumption,127.10499142465754
All primary,Oil Products,-277.32633273972607
All primary,Electricity,-363.33703471232883
Oil Products,Production,272.7501032876712
All products,Hydrocarbon Heat and Waste,4.576229452054861
All products,Electricity Heat and Waste,220.72780802739732
