flow,period,value
Industry,1971-1974,1.3544032602739726
Residential,1971-1974,5.344488760273972
Other,1971-1974,3.9500416095890407
Industry,1971,1.1308081369863012
Other,1971,7.746384164383561
Industry,1972,1.2636518356164383
Residential,1972,6.765670328767123
Other,1972,2.2237412602739726
Industry,1973,1.5729577534246573
Residential,1973,7.6806752328767125
Other,1973,2.877858410958904
Industry,1974,1.4501953150684932
Residential,1974,6.931609479452055
Other,1974,2.952182602739726
Industry,1975,1.5935821643835615
Residential,1975,8.14728495890411
Other,1975,3.528621835616438
Industry,1976,2.0146454794520547
Residential,1976,10.251617506849314
Other,1976,4.718411369863014
Industry,1977,2.109594082191781
Residential,1977,10.781526301369864
Other,1977,5.092964328767123
Industry,1978,2.2927838356164387
Residential,1978,12.193846602739725
Other,1978,5.94754191780822
Industry,1979,2.3738355616438356
Residential,1979,12.45808808219178
Other,1979,6.223772465753425
Industry,1980,2.403095315068493
Residential,1980,13.550519150684933
Other,1980,7.037101232876713
Industry,1981,2.347929534246575
Residential,1981,14.665984493150686
Other,1981,7.589562328767124
Industry,1982,2.4117306575342465
Residential,1982,15.967511342465754
Other,1982,7.751645698630137
Industry,1983,2.5258577534246576
Residential,1983,16.61877682191781
Other,1983,8.791822904109589
Industry,1984-1987,3.411010479452055
Residential,1984-1987,20.949335801369863
Other,1984-1987,11.82397781506849
Industry,1984,2.7742744657534244
Residential,1984,17.799449041095894
Other,1984,9.58693712328767
Industry,1985,3.661947506849315
Residential,1985,21.71842852054795
Other,1985,12.093616383561645
Industry,1986,3.331997095890411
Residential,1986,20.9329135890411
Other,1986,12.083535123287671
Industry,1987,3.8758228493150684
Residential,1987,23.346552054794522
Other,1987,13.531822630136988
Industry,1988,3.597684493150685
Residential,1988,22.022472904109588
Other,1988,12.771711671232877
Industry,1989,3.3492677808219176
Residential,1989,20.49267178082192
Other,1989,12.154043698630137
Industry,1990,3.5046436986301366
Residential,1990,21.614844575342467
Other,1990,13.328008465753426
Industry,1991,3.6254983287671227
Residential,1991,22.49532819178082
Other,1991,14.432910575342465
Industry,1992,3.6427489315068495
Residential,1992,22.529849479452057
Other,1992,14.519243917808218
Industry,1993,4.039834109589041
Residential,1993,23.91100221917808
Other,1993,14.34852520547945
Industry,1994,4.1606887397260275
Residential,1994,24.239024739726027
Other,1994,15.33066487671233
Industry,1995,4.419648602739726
Residential,1995,23.77287690410959
Other,1995,14.501973232876711
Industry,1996,12.542011561643834
Residential,1996,26.638746246575344
Other,1996,16.03850189041096
Industry,1997,12.541047616438357
Residential,1997,25.827325287671233
Other,1997,15.831334000000002
Industry,1998,7.176170410958903
Residential,1998,26.91497679452055
Other,1998,16.78086019178082
Industry,1999-2002,24.663431739726025
Residential,1999-2002,27.214106061643836
Other,1999-2002,16.560257315068494
Industry,1999,12.91270873972603
Residential,1999,26.569703671232876
Other,1999,15.708551479452055
Industry,2000,26.078151863013698
Residential,2000,25.668595643835612
Other,2000,15.213163972602738
Industry,2001,26.086285150684933
Residential,2001,27.96617912328767
Other,2001,17.3783857260274
Industry,2002,33.57658120547946
Residential,2002,28.651945808219175
Other,2002,17.940928082191782
Industry,2003,35.31019649315069
Residential,2003,29.97267123287671
Other,2003,18.75425684931507
Industry,2004,35.669406657534246
Residential,2004,27.840544931506848
Other,2004,19.41700934246575
Industry,2005-2008,35.98866832191781
Residential,2005-2008,29.149863671232875
Other,2005-2008,17.806763979452054
Industry,2005,33.45142898630137
Residential,2005,28.729643808219176
Other,2005,17.552960219178082
Industry,2006,37.86579597260274
Residential,2006,29.506543479452056
Other,2006,18.09772983561644
Industry,2007,35.61424087671233
Residential,2007,29.739597315068494
Other,2007,17.904478904109588
Industry,2008,37.0232074520548
Residential,2008,28.623670082191783
Other,2008,17.67188695890411
Industry,2009,31.89427591780822
Residential,2009,31.059840767123287
Other,2009,19.93543112328767
Industry,2010,37.47160263013699
Residential,2010,34.01585906849315
Other,2010,22.144773452054796
Industry,2011,32.36713120547945
Residential,2011,29.889711698630133
Other,2011,19.71579219178082
Industry,2012,31.307293534246575
Residential,2012,33.39961693150685
Other,2012,21.328552849315074
Industry,2013,29.62402430136986
Residential,2013,31.61278383561644
Commercial,2013,19.954609616438358
Other,2013,0.2397813698630137
Industry,2014,25.042774301369864
Residential,2014,31.403688054794518
Commercial,2014,20.27303284931507
Other,2014,2.078908493150685
Industry,2015,1.6094069315068493
Residential,2015,31.50630805479452
Commercial,2015,14.6194741369863
Other,2015,0.7601109589041095
Industry,2016,26.322029999999998
Residential,2016,33.834376301369865
Commercial,2016,19.79535783561644
Other,2016,2.9177416438356163
