flow,period,value
Electricity output in GWh,1971-1974,11024.0
Production,1971-1974,19.03920306849315
Electricity,1971-1974,-19.03920306849315
Electricity output in GWh,1971,10627.0
Production,1971,18.35355687671233
Electricity,1971,-18.35355687671233
Electricity output in GWh,1972,10323.0
Production,1972,17.82852805479452
Electricity,1972,-17.82852805479452
Electricity output in GWh,1973,10515.0
Production,1973,18.160125205479453
Electricity,1973,-18.160125205479453
Electricity output in GWh,1974,12631.0
Production,1974,21.814602136986306
Electricity,1974,-21.814602136986306
Electricity output in GWh,1975,12152.0
Production,1975,20.98733632876712
Electricity,1975,-20.98733632876712
Electricity output in GWh,1976,9435.0
Production,1976,16.29489123287671
Electricity,1976,-16.29489123287671
Electricity output in GWh,1977,12120.0
Production,1977,20.9320701369863
Electricity,1977,-20.9320701369863
Electricity output in GWh,1978,9742.0
Production,1978,16.825101260273975
Electricity,1978,-16.825101260273975
Electricity output in GWh,1979,10870.0
Production,1979,18.77323452054795
Electricity,1979,-18.77323452054795
Electricity output in GWh,1980,10216.0
Production,1980,17.643731726027397
Electricity,1980,-17.643731726027397
Electricity output in GWh,1981,13653.0
Production,1981,23.5796661369863
Electricity,1981,-23.5796661369863
Electricity output in GWh,1982,13088.0
Production,1982,22.603872438356166
Electricity,1982,-22.603872438356166
Electricity output in GWh,1983,13579.0
Production,1983,23.451863068493154
Electricity,1983,-23.451863068493154
Electricity output in GWh,1984-1987,12940.75
Production,1984-1987,22.349561602739723
Electricity,1984-1987,-22.349561602739723
Electricity output in GWh,1984,13246.0
Production,1984,22.87674926027397
Electricity,1984,-22.87674926027397
Electricity output in GWh,1985,12333.0
Production,1985,21.299935726027396
Electricity,1985,-21.299935726027396
Electricity output in GWh,1986,12389.0
Production,1986,21.396651561643832
Electricity,1986,-21.396651561643832
Electricity output in GWh,1987,13795.0
Production,1987,23.824909863013698
Electricity,1987,-23.824909863013698
Electricity output in GWh,1988,13361.0
Production,1988,23.075362136986303
Electricity,1988,-23.075362136986303
Electricity output in GWh,1989,13029.0
Production,1989,22.50197539726027
Electricity,1989,-22.50197539726027
Electricity output in GWh,1990,10859.0
Production,1990,18.754236767123288
Electricity,1990,-18.754236767123288
Electricity output in GWh,1991,13197.0
Production,1991,22.79212290410959
Electricity,1991,-22.79212290410959
Electricity output in GWh,1992,15107.0
Production,1992,26.090823726027395
Electricity,1992,-26.090823726027395
Electricity output in GWh,1993,13476.0
Production,1993,23.273975013698628
Electricity,1993,-23.273975013698628
Electricity output in GWh,1994,11787.0
Production,1994,20.356956328767122
Electricity,1994,-20.356956328767122
Electricity output in GWh,1995,12925.0
Production,1995,22.322360273972603
Electricity,1995,-22.322360273972603
Electricity output in GWh,1996,11860.0
Production,1996,20.483032328767123
Electricity,1996,-20.483032328767123
Electricity output in GWh,1997,12242.0
Production,1997,21.142772493150684
Electricity,1997,-21.142772493150684
Electricity output in GWh,1998,15051.0
Production,1998,25.99410789041096
Electricity,1998,-25.99410789041096
Electricity output in GWh,1999-2002,12855.25
Production,1999-2002,22.201897246575342
Electricity,1999-2002,-22.201897246575342
Electricity output in GWh,1999,12780.0
Production,1999,22.07193534246575
Electricity,1999,-22.07193534246575
Electricity output in GWh,2000,14660.0
Production,2000,25.31882410958904
Electricity,2000,-25.31882410958904
Electricity output in GWh,2001,13205.0
Production,2001,22.805939452054794
Electricity,2001,-22.805939452054794
Electricity output in GWh,2002,10776.0
Production,2002,18.61089008219178
Electricity,2002,-18.61089008219178
Electricity output in GWh,2003,9591.0
Production,2003,16.56431391780822
Electricity,2003,-16.56431391780822
Electricity output in GWh,2004,15070.0
Production,2004,26.026922191780823
Electricity,2004,-26.026922191780823
Electricity output in GWh,2005-2008,14141.75
Production,2005-2008,24.4237708630137
Electricity,2005-2008,-24.4237708630137
Electricity output in GWh,2005,13784.0
Production,2005,23.80591210958904
Electricity,2005,-23.80591210958904
Electricity output in GWh,2006,11494.0
Production,2006,19.850925260273975
Electricity,2006,-19.850925260273975
Electricity output in GWh,2007,14177.0
Production,2007,24.484650027397258
Electricity,2007,-24.484650027397258
Electricity output in GWh,2008,17112.0
Production,2008,29.55359605479452
Electricity,2008,-29.55359605479452
Electricity output in GWh,2009,12686.0
Production,2009,21.909590904109592
Electricity,2009,-21.909590904109592
Electricity output in GWh,2010,12922.0
Production,2010,22.31717906849315
Electricity,2010,-22.31717906849315
Electricity output in GWh,2011,12445.0
Production,2011,21.493367397260275
Electricity,2011,-21.493367397260275
Electricity output in GWh,2012,16859.0
Production,2012,29.116647726027395
Electricity,2012,-29.1166477260274
Electricity output in GWh,2013,12838.0
Production,2013,22.172105315068492
Electricity,2013,-22.172105315068492
Electricity output in GWh,2014,13397.0
Production,2014,23.13753660273973
Electricity,2014,-23.13753660273973
Electricity output in GWh,2015,18.0
Production,2015,0.03108723287671233
Electricity,2015,-0.03108723287671233
Electricity output in GWh,2016,15799.0
Production,2016,27.28103498630137
Electricity,2016,-27.281034986301368
