flow,period,value
Residential,1990,0.007671397260273973
Production,1990,0.007671397260273973
Total Consumption,1990,0.007671397260273973
Residential,1991,0.007671397260273973
Electricity output in GWh,1991,1.0
Production,1991,0.00939846575342466
Total Consumption,1991,0.007671397260273973
Electricity,1991,-0.0017270684931506848
Residential,1992,0.007671397260273973
Electricity output in GWh,1992,3.0
Production,1992,0.012852602739726028
Total Consumption,1992,0.007671397260273973
Electricity,1992,-0.005181205479452055
Residential,1993,0.007671397260273973
Electricity output in GWh,1993,5.0
Production,1993,0.0163067397260274
Total Consumption,1993,0.007671397260273973
Electricity,1993,-0.008635342465753424
Residential,1994,0.0081533698630137
Electricity output in GWh,1994,8.0
Production,1994,0.02196991780821918
Total Consumption,1994,0.0081533698630137
Electricity,1994,-0.013816547945205478
Residential,1995,0.0081533698630137
Electricity output in GWh,1995,12.0
Production,1995,0.02887819178082192
Total Consumption,1995,0.0081533698630137
Electricity,1995,-0.02072482191780822
Residential,1996,0.007671397260273973
Electricity output in GWh,1996,12.0
Production,1996,0.02839621917808219
Total Consumption,1996,0.007671397260273973
Electricity,1996,-0.02072482191780822
Residential,1997,0.007671397260273973
Electricity output in GWh,1997,18.0
Production,1997,0.0387586301369863
Total Consumption,1997,0.007671397260273973
Electricity,1997,-0.03108723287671233
Residential,1998,0.007671397260273973
Electricity output in GWh,1998,24.0
Production,1998,0.04912104109589042
Total Consumption,1998,0.007671397260273973
Electricity,1998,-0.04144964383561644
Residential,1999-2002,0.007912383561643836
Electricity output in GWh,1999-2002,67.0
Production,1999-2002,0.12362597260273973
Total Consumption,1999-2002,0.007912383561643836
Electricity,1999-2002,-0.1157135890410959
Residential,1999,0.007671397260273973
Electricity output in GWh,1999,50.0
Production,1999,0.09402482191780823
Total Consumption,1999,0.007671397260273973
Electricity,1999,-0.08635342465753425
Residential,2000,0.007671397260273973
Electricity output in GWh,2000,80.0
Production,2000,0.14583687671232876
Total Consumption,2000,0.007671397260273973
Electricity,2000,-0.1381654794520548
Residential,2001,0.0081533698630137
Electricity output in GWh,2001,72.0
Production,2001,0.13250230136986302
Total Consumption,2001,0.0081533698630137
Electricity,2001,-0.12434893150684932
Residential,2002,0.0081533698630137
Electricity output in GWh,2002,66.0
Production,2002,0.1221398904109589
Total Consumption,2002,0.0081533698630137
Electricity,2002,-0.11398652054794521
Residential,2003,0.0081533698630137
Electricity output in GWh,2003,95.0
Production,2003,0.17222487671232878
Total Consumption,2003,0.0081533698630137
Electricity,2003,-0.16407150684931507
Residential,2004,0.008635342465753424
Electricity output in GWh,2004,122.0
Production,2004,0.219337698630137
Total Consumption,2004,0.008635342465753424
Electricity,2004,-0.21070235616438357
Residential,2005-2008,0.01247104109589041
Electricity output in GWh,2005-2008,228.0
Production,2005-2008,0.353135301369863
Total Consumption,2005-2008,0.01247104109589041
Electricity,2005-2008,-0.3406642602739726
Residential,2005,0.009599287671232876
Electricity output in GWh,2005,173.0
Production,2005,0.30838213698630135
Total Consumption,2005,0.009599287671232876
Electricity,2005,-0.2987828493150685
Residential,2006,0.01247104109589041
Electricity output in GWh,2006,168.0
Production,2006,0.2870749315068493
Total Consumption,2006,0.01247104109589041
Electricity,2006,-0.2746038904109589
Residential,2007,0.01247104109589041
Electricity output in GWh,2007,218.0
Production,2007,0.34406819178082193
Total Consumption,2007,0.01247104109589041
Electricity,2007,-0.3315971506849315
Residential,2008,0.015342794520547947
Electricity output in GWh,2008,353.0
Production,2008,0.4730159452054794
Total Consumption,2008,0.015342794520547947
Electricity,2008,-0.45767315068493153
Residential,2009,0.016788712328767125
Electricity output in GWh,2009,349.0
Production,2009,0.5020949589041096
Total Consumption,2009,0.016788712328767125
Electricity,2009,-0.4853062465753425
Residential,2010,0.018696520547945204
Electricity output in GWh,2010,349.0
Production,2010,0.53509
Total Consumption,2010,0.018696520547945204
Electricity,2010,-0.5163934794520548
Residential,2011,0.020624410958904108
Electricity output in GWh,2011,565.0
Production,2011,0.8599796986301369
Total Consumption,2011,0.020624410958904108
Electricity,2011,-0.8393552876712329
Residential,2012,0.02397813698630137
Electricity output in GWh,2012,532.0
Production,2012,0.885785315068493
Total Consumption,2012,0.02397813698630137
Electricity,2012,-0.8618071780821918
Residential,2013,0.02494208219178082
Electricity output in GWh,2013,801.0
Production,2013,1.3720555068493152
Total Consumption,2013,0.02494208219178082
Electricity,2013,-1.3471134246575343
Residential,2014,0.02733186301369863
Electricity output in GWh,2014,1132.0
Production,2014,1.9530132328767122
Total Consumption,2014,0.02733186301369863
Electricity,2014,-1.9256813698630135
Residential,2015,0.2369096164383562
Commercial,2015,0.04173079452054794
Electricity output in GWh,2015,14737.0
Production,2015,26.137113178082192
Total Consumption,2015,0.2786203287671233
Electricity,2015,-25.451808383561644
Residential,2016,0.03309545205479452
Electricity output in GWh,2016,3098.0
Production,2016,5.360157890410959
Total Consumption,2016,0.03309545205479452
Electricity,2016,-5.327062438356164
