product,flow,value
Coal and coal products,Industry,146.98244526027398
Coal and coal products,Transport,1.5310060547945203
Coal and coal products,Residential,136.1313944109589
Coal and coal products,Commercial,4.222883287671233
Gas,Industry,72.80738383561643
Combustible renewables and waste,Industry,22.334670657534247
Gas,Transport,0.2800863287671233
Gas,Residential,48.6681675890411
Geothermal,Residential,0.028777780821917807
Combustible renewables and waste,Residential,148.18008693150685
Gas,Commercial,25.424436356164385
Gas,Other,22.43584473972603
Geothermal,Other,0.000963945205479452
Combustible renewables and waste,Other,1.9321679178082194
Oil Products,Industry,476.1814006849315
Oil Products,Transport,444.0985730684932
Oil Products,Residential,29.86139580821918
Oil Products,Commercial,566.8669155890411
Oil Products,Other,281.9534303835616
Electricity,Industry,134.86159742465753
Electricity,Transport,10.519574191780823
Electricity,Residential,45.95729260273973
Electricity,Commercial,41.30802421917808
Electricity,Other,1.8755963835616438
Heat,Other,5.840604246575342
Coal and coal products,Electricity output in GWh,38636.0
Gas,Electricity output in GWh,9306.0
Nuclear,Electricity output in GWh,14592.0
Hydro,Electricity output in GWh,48822.0
Solar/Wind/Other,Electricity output in GWh,551.0
Combustible renewables and waste,Electricity output in GWh,273.0
Oil Products,Electricity output in GWh,59021.0
Coal and coal products,Production,418.78472934246577
"Crude, NGL and feedstocks",Production,43.313913863013696
Gas,Production,125.65959575342465
Nuclear,Production,76.36783594520548
Hydro,Production,84.31893797260274
Geothermal,Production,0.029741726027397265
Solar/Wind/Other,Production,0.9516147397260274
Combustible renewables and waste,Production,191.44096372602738
Coal and coal products,Imports,199.39873304109588
"Crude, NGL and feedstocks",Imports,2365.089626547945
Gas,Imports,111.32209567123287
Coal and coal products,Exports,-21.34397597260274
Gas,Exports,-1.356853287671233
Coal and coal products,Total Consumption,288.8677490958904
Gas,Total Consumption,169.61591884931505
Geothermal,Total Consumption,0.029741726027397265
Combustible renewables and waste,Total Consumption,172.44692550684934
Oil Products,Imports,181.78404016438358
Electricity,Imports,5.189840821917809
Oil Products,Exports,-251.46713701369865
Electricity,Exports,-15.307008054794519
Oil Products,Total Consumption,1798.9617155342464
Electricity,Total Consumption,234.5220848219178
Electricity,Production,626.7291378630136
Coal and coal products,Electricity,-204.9054306849315
Gas,Electricity,-37.10952071232877
Nuclear,Electricity,-76.36783594520548
Hydro,Electricity,-84.31893797260274
Solar/Wind/Other,Electricity,-0.9516147397260274
Combustible renewables and waste,Electricity,-6.539805917808219
Oil Products,Electricity,-216.53599189041097
"Crude, NGL and feedstocks",Oil Products,-2408.6596486027397
All products,Heat and Waste,393.11930668493096
All products,Industry,853.167477780822
All products,Transport,456.42921956164383
All products,Residential,408.8271151232877
All products,Commercial,637.8222594520548
All products,Other,314.0386276986302
All products,Total Consumption,2664.4441355342465
All primary,Production,940.867333068493
All primary,Imports,2675.810455260274
All primary,Exports,-22.70082926027397
All primary,Total Consumption,630.9603351780822
All primary,Oil Products,-2408.6596486027397
All primary,Electricity,-626.7291378630136
Oil Products,Production,2365.0784407671235
All products,Hydrocarbon Heat and Waste,43.58120783561617
All products,Electricity Heat and Waste,349.5380988493148
