flow,period,value
Heat and Waste,1971-1974,403.72821148630237
Industry,1971-1974,860.3729932945206
Transport,1971-1974,465.92182058904103
Residential,1971-1974,417.84678555479456
Commercial,1971-1974,628.3751897739727
Other,1971-1974,322.8426756369863
Total Consumption,1971-1974,2690.482835931507
Hydrocarbon Heat and Waste,1971-1974,22.487049308219866
Electricity Heat and Waste,1971-1974,381.2411621780825
Heat and Waste,1971,367.4145430136987
Industry,1971,886.5073903561644
Transport,1971,419.1416903013699
Residential,1971,415.14157876712324
Commercial,1971,518.8291681643835
Other,1971,282.8387337260274
Total Consumption,1971,2517.869178027397
Hydrocarbon Heat and Waste,1971,36.89126745205476
Electricity Heat and Waste,1971,330.5232755616439
Heat and Waste,1972,393.11930668493096
Industry,1972,853.167477780822
Transport,1972,456.42921956164383
Residential,1972,408.8271151232877
Commercial,1972,637.8222594520548
Other,1972,314.0386276986302
Total Consumption,1972,2664.4441355342465
Hydrocarbon Heat and Waste,1972,43.58120783561617
Electricity Heat and Waste,1972,349.5380988493148
Heat and Waste,1973,430.20509024657576
Industry,1973,837.1384948493151
Transport,1973,496.14370178082186
Residential,1973,429.7426977808219
Commercial,1973,735.5494342465753
Other,1973,357.55884591780824
Total Consumption,1973,2850.950081369863
Hydrocarbon Heat and Waste,1973,-0.25934142465712284
Electricity Heat and Waste,1973,430.4644316712329
Heat and Waste,1974,424.173906
Industry,1974,864.6786101917808
Transport,1974,491.97267071232875
Residential,1974,417.6757505479452
Commercial,1974,621.2998972328767
Other,1974,336.93449520547944
Total Consumption,1974,2728.6679487945203
Hydrocarbon Heat and Waste,1974,9.735063369862928
Electricity Heat and Waste,1974,414.43884263013706
Heat and Waste,1975,404.78226046575355
Industry,1975,768.5249755342466
Transport,1975,507.32022471232875
Residential,1975,415.27998523287675
Commercial,1975,604.5343396712329
Other,1975,300.6018540821918
Total Consumption,1975,2592.3097461095886
Hydrocarbon Heat and Waste,1975,9.96833810958924
Electricity Heat and Waste,1975,394.8139223561643
Heat and Waste,1976,474.17314134246544
Industry,1976,804.5054754246577
Transport,1976,552.6988690410959
Residential,1976,423.2485788493151
Commercial,1976,619.6748864383562
Other,1976,291.7752086575343
Total Consumption,1976,2688.512541972603
Hydrocarbon Heat and Waste,1976,6.592802821917758
Electricity Heat and Waste,1976,467.5803385205477
Heat and Waste,1977,454.8298537260275
Industry,1977,807.7415800547944
Transport,1977,557.9412047123287
Residential,1977,430.6395885479452
Commercial,1977,616.6293417260274
Other,1977,292.12112441095894
Total Consumption,1977,2701.61382249315
Hydrocarbon Heat and Waste,1977,7.409425068492965
Electricity Heat and Waste,1977,447.42042865753456
Heat and Waste,1978,489.3791962191781
Industry,1978,815.7354571506849
Transport,1978,595.0271489315069
Residential,1978,456.379536219178
Commercial,1978,696.2032795068494
Other,1978,321.616944
Total Consumption,1978,2880.5764352054794
Hydrocarbon Heat and Waste,1978,3.4471684657532933
Electricity Heat and Waste,1978,485.9320277534248
Heat and Waste,1979,565.4590936986297
Industry,1979,854.4306275616439
Transport,1979,597.9649526849315
Residential,1979,479.3043823287671
Commercial,1979,645.5124536438357
Other,1979,366.75926109589045
Total Consumption,1979,2939.442179123288
Hydrocarbon Heat and Waste,1979,7.622979095890059
Electricity Heat and Waste,1979,557.8361146027396
Heat and Waste,1980,600.2223516986301
Industry,1980,827.5973451232876
Transport,1980,608.6902086849315
