flow,period,value
Industry,1971-1974,22.76016209589041
Residential,1971-1974,147.23595280821917
Other,1971-1974,1.947259684931507
Electricity output in GWh,1971-1974,227.75
Production,1971-1974,188.6674122191781
Total Consumption,1971-1974,171.9433745890411
Electricity,1971-1974,-6.324123178082192
Industry,1971,21.06766509589041
Residential,1971,150.35059030136986
Other,1971,1.952290273972603
Electricity output in GWh,1971,214.0
Production,1971,189.17167605479452
Total Consumption,1971,173.37054567123292
Electricity,1971,-6.011804931506849
Industry,1972,22.334670657534247
Residential,1972,148.18008693150685
Other,1972,1.9321679178082194
Electricity output in GWh,1972,273.0
Production,1972,191.44096372602738
Total Consumption,1972,172.44692550684934
Electricity,1972,-6.539805917808219
Industry,1973,23.54556657534247
Residential,1973,153.50803298630137
Other,1973,1.952290273972603
Electricity output in GWh,1973,242.0
Production,1973,196.53776375342466
Total Consumption,1973,179.00588983561644
Electricity,1973,-6.478434739726027
Industry,1974,24.09274605479452
Residential,1974,136.90510101369864
Other,1974,1.952290273972603
Electricity output in GWh,1974,182.0
Production,1974,177.51924534246575
Total Consumption,1974,162.95013734246575
Electricity,1974,-6.266447123287672
Industry,1975,22.34091621917808
Residential,1975,145.55783465753424
Other,1975,1.9662072328767124
Electricity output in GWh,1975,185.0
Production,1975,184.27294668493153
Total Consumption,1975,169.86495810958903
Electricity,1975,-5.983509123287671
Industry,1976,21.79084490410959
Residential,1976,139.92680816438357
Other,1976,1.9662072328767124
Electricity output in GWh,1976,158.0
Production,1976,176.6766769041096
Total Consumption,1976,163.68388038356164
Electricity,1976,-5.760496383561644
Industry,1977,22.114067780821923
Residential,1977,142.1260893150685
Other,1977,1.9662072328767124
Electricity output in GWh,1977,162.0
Production,1977,179.4480595342466
Total Consumption,1977,166.20638441095892
Electricity,1977,-5.867936109589041
Industry,1978,21.998012794520545
Residential,1978,145.53050279452054
Other,1978,1.9662072328767124
Electricity output in GWh,1978,205.0
Production,1978,185.05510789041097
Total Consumption,1978,169.4947429041096
Electricity,1978,-6.206983753424657
Industry,1979,23.187340438356163
Residential,1979,149.53726153424657
Other,1979,1.9662072328767124
Electricity output in GWh,1979,212.0
Production,1979,190.7710017260274
Total Consumption,1979,174.69078912328766
Electricity,1979,-6.42278698630137
Industry,1980,22.69098898630137
Residential,1980,132.26101383561644
Other,1980,1.9662072328767124
Electricity output in GWh,1980,223.0
Production,1980,173.54608410958906
Total Consumption,1980,156.9182100547945
Electricity,1980,-6.431904301369863
Industry,1981,21.529977232876714
Residential,1981,129.03979010958903
Other,1981,1.9264043287671235
Electricity output in GWh,1981,196.0
Production,1981,167.49640416438356
Total Consumption,1981,152.4961515890411
Electricity,1981,-6.0683965479452056
Industry,1982,21.013483342465754
Residential,1982,133.24698920547945
Other,1982,1.9302400273972604
Electricity output in GWh,1982,195.0
Production,1982,171.12190249315066
Total Consumption,1982,156.19071257534247
Electricity,1982,-6.008913095890411
Industry,1983,22.64255073972603
Residential,1983,150.59661723287672
Commercial,1983,0.47811682191780824
Other,1983,0.803267589041096
Electricity output in GWh,1983,193.0
Production,1983,189.40665778082194
Total Consumption,1983,174.52055238356166
Electricity,1983,-6.050161917808219
Industry,1984-1987,24.37174292465753
Residential,1984-1987,162.27611371917808
Commercial,1984-1987,0.5306367739726028
Other,1984-1987,0.803267589041096
Electricity output in GWh,1984-1987,298.0
Production,1984-1987,210.91648755479451
Total Consumption,1984-1987,187.9817610068493
Electricity,1984-1987,-9.31070155479452
Industry,1984,25.04468210958904
Residential,1984,149.27828158904111
Commercial,1984,0.47811682191780824
Other,1984,0.803267589041096
Electricity output in GWh,1984,261.0
Production,1984,193.14198561643835
Total Consumption,1984,175.60436819178082
Electricity,1984,-7.3205212054794515
Industry,1985,25.62543901369863
Residential,1985,168.24595189041096
Commercial,1985,0.508822493150685
Other,1985,0.803267589041096
Electricity output in GWh,1985,255.0
Production,1985,216.85586104109586
Total Consumption,1985,195.18346090410958
Electricity,1985,-7.829825671232876
Industry,1986,22.84397512328767
Residential,1986,161.51960249315067
Commercial,1986,0.5678038904109589
Other,1986,0.803267589041096
Electricity output in GWh,1986,320.0
Production,1986,211.4579084657534
Total Consumption,1986,185.7346490958904
Electricity,1986,-10.559959479452054
Industry,1987,23.972875452054797
Residential,1987,170.0606189041096
Commercial,1987,0.5678038904109589
Other,1987,0.803267589041096
Electricity output in GWh,1987,356.0
Production,1987,222.2101950958904
Total Consumption,1987,195.40456583561644
Electricity,1987,-11.532499863013697
Industry,1988,26.251260356164384
Residential,1988,155.7197851780822
Commercial,1988,0.6349386575342466
Other,1988,0.803267589041096
Electricity output in GWh,1988,357.0
Production,1988,207.75808594520547
Total Consumption,1988,183.40925178082193
Electricity,1988,-8.664280904109589
Industry,1989,28.290847917808218
Residential,1989,157.85094753424656
Commercial,1989,0.6819309863013698
Other,1989,0.803267589041096
Electricity output in GWh,1989,979.0
Production,1989,214.9357223561644
Total Consumption,1989,187.62699402739727
Electricity,1989,-8.708883452054796
Industry,1990,30.041251917808218
Residential,1990,162.20490728767123
Commercial,1990,0.9629611780821918
Other,1990,0.8027856164383562
Electricity output in GWh,1990,1632.0
Production,1990,220.6146850410959
Total Consumption,1990,194.011906
Electricity,1990,-6.142218684931507
Industry,1991,30.290632575342467
Residential,1991,192.6619409041096
Commercial,1991,0.9404289589041096
Other,1991,0.8027856164383562
Electricity output in GWh,1991,1813.0
Production,1991,253.77263287671238
Total Consumption,1991,224.69574789041096
Electricity,1991,-6.519181506849315
Industry,1992,30.332343287671232
Transport,1992,0.05673219178082192
Residential,1992,185.47281747945203
Commercial,1992,0.9500081643835616
Other,1992,0.8027856164383562
Electricity output in GWh,1992,1858.0
Production,1992,247.28564312328766
Total Consumption,1992,217.614686739726
Electricity,1992,-7.224126684931507
Industry,1993,28.373807452054795
Transport,1993,0.5053482739726027
Residential,1993,178.85627750684932
Commercial,1993,0.9998923287671232
Other,1993,0.8027856164383562
Electricity output in GWh,1993,1739.0
Production,1993,239.0475264109589
Total Consumption,1993,209.53811117808218
Electricity,1993,-7.262001698630137
Industry,1994,30.295412136986297
Transport,1994,1.6639100000000002
Residential,1994,154.6541839178082
Commercial,1994,1.0113994246575344
Other,1994,0.8027856164383562
Electricity output in GWh,1994,1926.0
Production,1994,218.64255356164387
Total Consumption,1994,188.42769109589042
Electricity,1994,-7.904631835616438
Industry,1995,30.73948964383562
Transport,1995,3.2675533424657535
Residential,1995,156.84243994520548
Commercial,1995,4.113194356164384
Other,1995,0.8027856164383562
Electricity output in GWh,1995,2193.0
Production,1995,226.39849684931508
Total Consumption,1995,195.7654629041096
Electricity,1995,-22.650202054794523
Industry,1996,30.046051561643836
Transport,1996,4.852881726027397
Residential,1996,171.71991
Commercial,1996,4.304075589041096
Other,1996,0.8027856164383562
Electricity output in GWh,1996,2399.0
Production,1996,242.99271315068492
Total Consumption,1996,211.72568441095893
Electricity,1996,-23.64435087671233
Industry,1997,32.207437616438355
Transport,1997,6.1369772328767125
Residential,1997,150.243652630137
Commercial,1997,4.709294054794521
Other,1997,0.8027856164383562
Electricity output in GWh,1997,2717.0
Production,1997,225.42416915068492
Total Consumption,1997,194.10014715068496
Electricity,1997,-25.05906095890411
Industry,1998,32.274090410958905
Transport,1998,5.2506697808219185
Residential,1998,150.65415271232877
Commercial,1998,4.56928101369863
Other,1998,0.8027856164383562
Electricity output in GWh,1998,2702.0
Production,1998,226.12913441095893
Imports,1998,0.10898605479452055
Total Consumption,1998,193.5509795342466
Electricity,1998,-25.985090986301373
Industry,1999-2002,31.111025253424653
Transport,1999-2002,6.526516527397259
Residential,1999-2002,134.96226443150684
Commercial,1999-2002,7.6221808287671236
Other,1999-2002,0.8027856164383562
Electricity output in GWh,1999-2002,3904.25
Production,1999-2002,218.68067458219178
Imports,1999-2002,0.10898103424657535
Exports,1999-2002,-0.08173452054794521
Total Consumption,1999-2002,181.02476763698633
Electricity,1999-2002,-31.297694246575343
Industry,1999,30.989332191780825
Transport,1999,5.6457668219178085
Residential,1999,142.27475778082191
Commercial,1999,5.000907561643835
Other,1999,0.8027856164383562
Electricity output in GWh,1999,3160.0
Production,1999,220.32011945205483
Imports,1999,0.10898605479452055
Total Consumption,1999,184.71354997260278
Electricity,1999,-28.293237698630136
Industry,2000,31.3816177260274
Transport,2000,6.764324821917809
Residential,2000,134.1327343561644
Commercial,2000,7.381430493150684
Other,2000,0.8027856164383562
Electricity output in GWh,2000,3561.0
Production,2000,217.6369980547945
Imports,2000,0.14531473972602738
Total Consumption,2000,180.46289301369865
Electricity,2000,-31.019997698630135
Industry,2001,30.849299068493153
Transport,2001,6.697792520547945
Residential,2001,137.0278634520548
Commercial,2001,8.409136657534246
Other,2001,0.8027856164383562
Electricity output in GWh,2001,4316.0
Production,2001,221.58011632876713
Imports,2001,0.18162334246575346
Total Consumption,2001,183.78687731506852
Electricity,2001,-31.762436328767123
Industry,2002,31.22385202739726
Transport,2002,6.998181945205479
Residential,2002,126.41370213698629
Commercial,2002,9.697248602739725
Other,2002,0.8027856164383562
Electricity output in GWh,2002,4580.0
Production,2002,215.18546449315068
Exports,2002,-0.32693808219178083
Total Consumption,2002,175.13575024657536
Electricity,2002,-34.11510526027398
Industry,2003,31.98538882191781
Transport,2003,6.473072794520548
Residential,2003,136.16704030136987
Commercial,2003,10.903324794520547
Other,2003,0.8027856164383562
Electricity output in GWh,2003,4874.0
Production,2003,228.9650210410959
Exports,2003,-0.9444855616438357
Total Consumption,2003,186.33165249315067
Electricity,2003,-35.36722991780822
