flow,period,value
Other,1971-1974,4.876679123287672
Other,1971,4.5894234520547945
Other,1972,5.840604246575342
Other,1973,5.183113287671234
Other,1974,3.893575506849315
Other,1975,3.9515929589041097
Other,1976,3.390516602739726
Other,1977,3.4590772054794523
Other,1978,4.386071178082192
Other,1979,4.529478109589041
Other,1980,4.780284602739726
Other,1981,4.188984547945205
Other,1982,4.18273898630137
Other,1983,4.141992219178082
Other,1984-1987,6.388135164383562
Other,1984,4.8234412328767124
Other,1985,6.449636876712328
Other,1986,7.098974465753425
Other,1987,7.180488082191781
Other,1988,7.367051643835618
Other,1989,8.690628739726028
Other,1990,9.589808876712329
Other,1991,10.54126295890411
Other,1992,10.509613424657536
Other,1993,10.457821452054795
Other,1994,10.505777726027397
Other,1995,11.052957205479451
Other,1996,11.955029178082192
Other,1997,11.040486164383562
Other,1998,11.273560082191782
Other,1999-2002,59.27863378082192
Other,1999,11.4016041369863
Other,2000,64.96637238356165
Other,2001,78.73701243835616
Other,2002,82.00954616438356
Other,2003,79.53692630136986
Other,2004,80.66245282191781
Other,2005-2008,79.02774232876712
Other,2005,83.58971342465753
Other,2006,78.52791665753425
Other,2007,77.19713005479453
Other,2008,76.7962091780822
Other,2009,59.79141246575343
Other,2010,73.60472717808219
Other,2011,73.36542778082192
Industry,2012,3.341114410958905
Residential,2012,24.714269808219175
Commercial,2012,14.675101808219178
Other,2012,7.533934657534246
Residential,2013,24.72864865753425
Commercial,2013,14.683737150684934
Other,2013,7.538252328767124
Residential,2014,23.44726424657534
Commercial,2014,13.922662246575342
Other,2014,7.147412712328768
Industry,2015,25.39188312328767
Residential,2015,31.03489868493151
Commercial,2015,17.71313578082192
Other,2015,2.8183950410958905
Industry,2016,27.531720986301373
Residential,2016,24.91280235616438
Commercial,2016,15.032384082191783
Other,2016,0.17652246575342462
