flow,period,value
Electricity output in GWh,1971-1974,50394.75
Production,1971-1974,87.03518494520547
Electricity,1971-1974,-87.03518494520547
Electricity output in GWh,1971,48847.0
Production,1971,84.3621146849315
Electricity,1971,-84.3621146849315
Electricity output in GWh,1972,48822.0
Production,1972,84.31893797260274
Electricity,1972,-84.31893797260274
Electricity output in GWh,1973,47688.0
Production,1973,82.36044230136986
Electricity,1973,-82.36044230136986
Electricity output in GWh,1974,56222.0
Production,1974,97.09924482191781
Electricity,1974,-97.09924482191782
Electricity output in GWh,1975,60102.0
Production,1975,103.80027057534247
Electricity,1975,-103.80027057534245
Electricity output in GWh,1976,48550.0
Production,1976,83.84917534246576
Electricity,1976,-83.84917534246576
Electricity output in GWh,1977,76312.0
Production,1977,131.7960508493151
Electricity,1977,-131.79605084931507
Electricity output in GWh,1978,68348.0
Production,1978,118.04167736986301
Electricity,1978,-118.04167736986301
Electricity output in GWh,1979,66403.0
Production,1979,114.68252915068494
Electricity,1979,-114.68252915068494
Electricity output in GWh,1980,69516.0
Production,1980,120.05889336986303
Electricity,1980,-120.058893369863
Electricity output in GWh,1981,72186.0
Production,1981,124.67016624657533
Electricity,1981,-124.67016624657536
Electricity output in GWh,1982,70557.0
Production,1982,121.85677167123289
Electricity,1982,-121.85677167123288
Electricity output in GWh,1983,69435.0
Production,1983,119.9190008219178
Electricity,1983,-119.91900082191782
Electricity output in GWh,1984-1987,65144.5
Production,1984-1987,112.50901345205482
Electricity,1984-1987,-112.50901345205479
Electricity output in GWh,1984,65681.0
Production,1984,113.43558569863013
Electricity,1984,-113.43558569863013
Electricity output in GWh,1985,61916.0
Production,1985,106.93317282191781
Electricity,1985,-106.9331728219178
Electricity output in GWh,1986,62483.0
Production,1986,107.91242065753424
Electricity,1986,-107.91242065753424
Electricity output in GWh,1987,70498.0
Production,1987,121.754874630137
Electricity,1987,-121.754874630137
Electricity output in GWh,1988,76522.0
Production,1988,132.15873523287672
Electricity,1988,-132.15873523287672
Electricity output in GWh,1989,46637.0
Production,1989,80.54529331506849
Electricity,1989,-80.5452933150685
Electricity output in GWh,1990,53804.0
Production,1990,92.92319320547946
Electricity,1990,-92.92319320547944
Electricity output in GWh,1991,57603.0
Production,1991,99.4843264109589
Electricity,1991,-99.4843264109589
Electricity output in GWh,1992,68961.0
Production,1992,119.10037035616438
Electricity,1992,-119.10037035616438
Electricity output in GWh,1993,64913.0
Production,1993,112.10919709589041
Electricity,1993,-112.10919709589041
Electricity output in GWh,1994,78818.0
Production,1994,136.1240844931507
Electricity,1994,-136.1240844931507
Electricity output in GWh,1995,72925.0
Production,1995,125.94646986301372
Electricity,1995,-125.94646986301369
Electricity output in GWh,1996,66091.0
Production,1996,114.14368378082193
Electricity,1996,-114.14368378082192
Electricity output in GWh,1997,63789.0
Production,1997,110.16797210958904
Electricity,1997,-110.16797210958904
Electricity output in GWh,1998,62100.0
Production,1998,107.25095342465755
Electricity,1998,-107.25095342465752
Electricity output in GWh,1999-2002,68731.75
Production,1999-2002,118.7044399041096
Electricity,1999-2002,-118.7044399041096
Electricity output in GWh,1999,72558.0
Production,1999,125.3126357260274
Electricity,1999,-125.3126357260274
Electricity output in GWh,2000,67137.0
Production,2000,115.95019742465753
Electricity,2000,-115.95019742465753
Electricity output in GWh,2001,74634.0
Production,2001,128.89802991780823
Electricity,2001,-128.89802991780823
Electricity output in GWh,2002,60598.0
Production,2002,104.65689654794521
Electricity,2002,-104.65689654794521
Electricity output in GWh,2003,59159.0
Production,2003,102.17164498630136
Electricity,2003,-102.17164498630136
Electricity output in GWh,2004,59875.0
Production,2004,103.40822602739726
Electricity,2004,-103.40822602739726
Electricity output in GWh,2005-2008,57359.75
Production,2005-2008,99.06421700000001
Electricity,2005-2008,-99.064217
Electricity output in GWh,2005,51747.0
Production,2005,89.3706133150685
Electricity,2005,-89.3706133150685
Electricity output in GWh,2006,56161.0
Production,2006,96.9938936438356
Electricity,2006,-96.99389364383563
Electricity output in GWh,2007,57926.0
Production,2007,100.04216953424658
Electricity,2007,-100.04216953424658
Electricity output in GWh,2008,63605.0
Production,2008,109.8501915068493
Electricity,2008,-109.85019150684931
Electricity output in GWh,2009,57203.0
Production,2009,98.79349901369862
Electricity,2009,-98.79349901369862
Electricity output in GWh,2010,62013.0
Production,2010,107.10069846575344
Electricity,2010,-107.10069846575344
Electricity output in GWh,2011,44819.0
Production,2011,77.40548279452055
Electricity,2011,-77.40548279452055
Electricity output in GWh,2012,58717.0
Production,2012,101.40828071232876
Electricity,2012,-101.40828071232878
Electricity output in GWh,2013,70489.0
Production,2013,121.73933101369865
Electricity,2013,-121.73933101369862
Electricity output in GWh,2014,62829.0
Production,2014,108.50998635616438
Electricity,2014,-108.50998635616438
Electricity output in GWh,2015,16769.0
Production,2015,28.961211561643836
Electricity,2015,-28.961211561643832
Electricity output in GWh,2016,60043.0
Production,2016,103.6797171780822
Electricity,2016,-103.6797171780822
