flow,period,value
Electricity output in GWh,1971-1974,552.0
Production,1971-1974,0.9533418082191779
Electricity,1971-1974,-0.9533418082191779
Electricity output in GWh,1971,501.0
Production,1971,0.8652613150684931
Electricity,1971,-0.8652613150684931
Electricity output in GWh,1972,551.0
Production,1972,0.9516147397260274
Electricity,1972,-0.9516147397260274
Electricity output in GWh,1973,559.0
Production,1973,0.9654312876712328
Electricity,1973,-0.9654312876712328
Electricity output in GWh,1974,597.0
Production,1974,1.031059890410959
Electricity,1974,-1.031059890410959
Electricity output in GWh,1975,517.0
Production,1975,0.8928944109589042
Electricity,1975,-0.8928944109589042
Electricity output in GWh,1976,438.0
Production,1976,0.756456
Electricity,1976,-0.756456
Electricity output in GWh,1977,455.0
Production,1977,0.7858161643835616
Electricity,1977,-0.7858161643835616
Electricity output in GWh,1978,470.0
Production,1978,0.811722191780822
Electricity,1978,-0.811722191780822
Electricity output in GWh,1979,496.0
Production,1979,0.8566259726027396
Electricity,1979,-0.8566259726027396
Residential,1980,0.14579671232876712
Electricity output in GWh,1980,495.0
Production,1980,1.000695616438356
Total Consumption,1980,0.14579671232876712
Electricity,1980,-0.854898904109589
Residential,1981,0.18511764383561646
Electricity output in GWh,1981,562.0
Production,1981,1.1557301369863013
Total Consumption,1981,0.18511764383561646
Electricity,1981,-0.970612493150685
Residential,1982,0.23114602739726028
Electricity output in GWh,1982,599.0
Production,1982,1.2656600547945205
Total Consumption,1982,0.23114602739726028
Electricity,1982,-1.0345140273972604
Residential,1983,0.26711323287671235
Electricity output in GWh,1983,603.0
Production,1983,1.3085355342465756
Total Consumption,1983,0.26711323287671235
Electricity,1983,-1.041422301369863
Residential,1984-1987,0.3650641232876712
Electricity output in GWh,1984-1987,590.5
Production,1984-1987,1.3848980684931507
Total Consumption,1984-1987,0.3650641232876712
Electricity,1984-1987,-1.0198339452054794
Residential,1984,0.3073981095890411
Electricity output in GWh,1984,603.0
Production,1984,1.3488204109589044
Total Consumption,1984,0.3073981095890411
Electricity,1984,-1.041422301369863
Residential,1985,0.35631832876712327
Electricity output in GWh,1985,603.0
Production,1985,1.3977406301369861
Total Consumption,1985,0.35631832876712327
Electricity,1985,-1.041422301369863
Residential,1986,0.3908396164383562
Electricity output in GWh,1986,586.0
Production,1986,1.4029017534246577
Total Consumption,1986,0.3908396164383562
Electricity,1986,-1.0120621369863014
Residential,1987,0.40570043835616443
Electricity output in GWh,1987,570.0
Production,1987,1.3901294794520547
Total Consumption,1987,0.40570043835616443
Electricity,1987,-0.9844290410958906
Residential,1988,0.4172276164383562
Electricity output in GWh,1988,566.0
Production,1988,1.3947483835616437
Total Consumption,1988,0.4172276164383562
Electricity,1988,-0.9775207671232878
Residential,1989,0.42393506849315066
Electricity output in GWh,1989,558.0
Production,1989,1.387639287671233
Total Consumption,1989,0.42393506849315066
Electricity,1989,-0.9637042191780822
Residential,1990,0.3903576438356164
Electricity output in GWh,1990,571.0
Production,1990,1.3765137534246574
Total Consumption,1990,0.3903576438356164
Electricity,1990,-0.9861561095890411
Residential,1991,0.3946753150684931
Electricity output in GWh,1991,584.0
Production,1991,1.4032833150684931
Total Consumption,1991,0.3946753150684931
Electricity,1991,-1.008608
Residential,1992,0.3985110136986302
Electricity output in GWh,1992,578.0
Production,1992,1.3967566027397262
Total Consumption,1992,0.3985110136986302
Electricity,1992,-0.998245589041096
Residential,1993,0.39995693150684936
Electricity output in GWh,1993,558.0
Production,1993,1.3636611506849314
Total Consumption,1993,0.39995693150684936
Electricity,1993,-0.9637042191780822
Residential,1994,0.39995693150684936
Electricity output in GWh,1994,568.0
Production,1994,1.3809318356164384
Total Consumption,1994,0.39995693150684936
Electricity,1994,-0.980974904109589
Residential,1995,0.39324947945205485
Electricity output in GWh,1995,574.0
Production,1995,1.384586794520548
Total Consumption,1995,0.39324947945205485
Electricity,1995,-0.9913373150684931
Residential,1996,0.3802964657534247
Electricity output in GWh,1996,555.0
Production,1996,1.3388194794520547
Total Consumption,1996,0.3802964657534247
Electricity,1996,-0.9585230136986301
Residential,1997,0.36878936986301375
Electricity output in GWh,1997,583.0
Production,1997,1.3756703013698628
Total Consumption,1997,0.36878936986301375
Electricity,1997,-1.0068809315068492
Residential,1998,0.3572822739726027
Electricity output in GWh,1998,612.0
Production,1998,1.414248191780822
Total Consumption,1998,0.3572822739726027
Electricity,1998,-1.0569659178082191
Residential,1999-2002,0.3334145890410959
Electricity output in GWh,1999-2002,690.75
Production,1999-2002,1.5263871506849318
Total Consumption,1999-2002,0.3334145890410959
Electricity,1999-2002,-1.1929725616438356
Residential,1999,0.3438472876712329
Electricity output in GWh,1999,619.0
Production,1999,1.4129026849315067
Total Consumption,1999,0.3438472876712329
Electricity,1999,-1.0690553972602739
Residential,2000,0.3323401917808219
Electricity output in GWh,2000,655.0
Production,2000,1.4635700547945205
Total Consumption,2000,0.3323401917808219
Electricity,2000,-1.1312298630136985
Residential,2001,0.32754054794520543
Electricity output in GWh,2001,680.0
Production,2001,1.5019471232876715
Total Consumption,2001,0.32754054794520543
Electricity,2001,-1.1744065753424657
Residential,2002,0.32993032876712325
Electricity output in GWh,2002,809.0
Production,2002,1.7271287397260273
Total Consumption,2002,0.32993032876712325
Electricity,2002,-1.397198410958904
Residential,2003,0.35007276712328766
Electricity output in GWh,2003,934.0
Production,2003,1.9631547397260274
Total Consumption,2003,0.35007276712328766
Electricity,2003,-1.6130819726027397
Residential,2004,0.3706971780821918
Electricity output in GWh,2004,1121.0
Production,2004,2.3067409589041095
Total Consumption,2004,0.3706971780821918
Electricity,2004,-1.9360437808219177
Residential,2005-2008,0.5498253082191782
Commercial,2005-2008,0.08775917808219177
Electricity output in GWh,2005-2008,3765.25
Production,2005-2008,7.140424109589041
Total Consumption,2005-2008,0.6375794657534247
Electricity,2005-2008,-6.502844643835616
Residential,2005,0.4244170410958904
Electricity output in GWh,2005,1506.0
Production,2005,3.025382191780822
Total Consumption,2005,0.4244170410958904
Electricity,2005,-2.6009651506849316
Residential,2006,0.5054687671232877
Commercial,2006,0.04412057534246576
Electricity output in GWh,2006,2714.0
Production,2006,5.236833150684931
Total Consumption,2006,0.5495692602739726
Electricity,2006,-4.687263890410959
Residential,2007,0.592264
Commercial,2007,0.10454789041095891
Electricity output in GWh,2007,4597.0
Production,2007,8.636145753424659
Total Consumption,2007,0.6968118904109589
Electricity,2007,-7.939333863013698
Residential,2008,0.6771514246575342
Commercial,2008,0.2023682465753425
Electricity output in GWh,2008,6244.0
Production,2008,11.663335342465754
Total Consumption,2008,0.8795196712328767
Electricity,2008,-10.783815671232876
Residential,2009,0.7754537534246575
Commercial,2009,0.2584778904109589
Electricity output in GWh,2009,8579.0
Production,2009,15.849970273972604
Total Consumption,2009,1.0339316438356163
Electricity,2009,-14.816520602739725
Residential,2010,0.8569874520547944
Commercial,2010,0.3333041369863014
Electricity output in GWh,2010,11063.0
Production,2010,20.296830246575343
Total Consumption,2010,1.1902715068493153
Electricity,2010,-19.106558739726026
Residential,2011,1.0881334794520547
Commercial,2011,0.19182509589041097
Electricity output in GWh,2011,14819.0
Production,2011,26.87338657534247
Total Consumption,2011,1.2799585753424656
Electricity,2011,-25.593428
Residential,2012,1.3638820547945207
Commercial,2012,0.1515402191780822
Other,2012,0.016788712328767125
Electricity output in GWh,2012,20001.0
Production,2012,35.013160794520545
Total Consumption,2012,1.53221098630137
Electricity,2012,-33.48094980821918
Industry,2013,0.011989068493150686
Residential,2013,1.6199701643835618
Commercial,2013,0.09735846575342466
Other,2013,0.011989068493150686
Electricity output in GWh,2013,21804.0
Production,2013,38.19673041095891
Total Consumption,2013,1.741286684931507
Electricity,2013,-36.45496175342466
Industry,2014,0.005281616438356165
Residential,2014,1.7221081917808219
Commercial,2014,0.2210848493150685
Other,2014,0.031167561643835617
Electricity output in GWh,2014,24192.0
Production,2014,42.80581432876712
Total Consumption,2014,1.979642219178082
Electricity,2014,-40.826172109589045
Residential,2015,0.029741726027397265
Electricity output in GWh,2015,2351.0
Production,2015,4.064173726027398
Total Consumption,2015,0.029741726027397265
Electricity,2015,-4.034432000000001
Industry,2016,0.009117315068493151
Residential,2016,1.750745397260274
Commercial,2016,0.23118619178082192
Other,2016,0.0326134794520548
Electricity output in GWh,2016,30625.0
Production,2016,53.9317301369863
Total Consumption,2016,2.023662383561644
Electricity,2016,-51.90804767123287
