product,flow,value
Coal and coal products,Industry,551.638107589041
Coal and coal products,Transport,27.039647041095893
Coal and coal products,Residential,296.2288162465753
Coal and coal products,Commercial,138.58148205479452
Coal and coal products,Other,79.81647041095891
Gas,Industry,261.2167198082192
Combustible renewables and waste,Industry,0.562040301369863
Gas,Residential,0.10358394520547945
Combustible renewables and waste,Residential,18.001355397260276
Combustible renewables and waste,Commercial,16.207774684931508
Gas,Other,170.56060523287672
Oil Products,Industry,587.4081461095891
Oil Products,Transport,654.5701848493151
Oil Products,Residential,576.6536102739726
Oil Products,Commercial,281.42360191780824
Oil Products,Other,347.44720128767125
Electricity,Industry,317.9049516712329
Electricity,Transport,17.243051835616438
Electricity,Residential,144.44682756164383
Electricity,Commercial,71.63016575342466
Electricity,Other,10.602473479452055
Heat,Industry,31.14615402739726
Heat,Residential,78.63774616438356
Coal and coal products,Electricity output in GWh,262491.0
Gas,Electricity output in GWh,60689.0
Nuclear,Electricity output in GWh,14459.0
Hydro,Electricity output in GWh,17640.0
Combustible renewables and waste,Electricity output in GWh,2976.0
Oil Products,Electricity output in GWh,32308.0
Coal and coal products,Production,2826.9068981643836
"Crude, NGL and feedstocks",Production,128.29233093150685
Gas,Production,348.2252456438356
Nuclear,Production,75.67176709589042
Hydro,Production,30.465488219178084
Combustible renewables and waste,Production,67.51667016438356
Coal and coal products,Imports,278.8133989589041
"Crude, NGL and feedstocks",Imports,2441.3884801643835
Gas,Imports,384.06121400000006
Coal and coal products,Exports,-461.7582500547946
Gas,Exports,-2.3218226849315067
Coal and coal products,Total Consumption,1093.304503260274
Gas,Total Consumption,431.88090898630145
Combustible renewables and waste,Total Consumption,34.771170383561646
Oil Products,Imports,748.176674630137
Electricity,Imports,30.5034837260274
Oil Products,Exports,-215.40476202739725
Electricity,Exports,-18.374281698630135
Oil Products,Total Consumption,2447.5027243561644
Electricity,Total Consumption,561.8274703013699
Electricity,Production,2050.311431972603
Coal and coal products,Electricity,-1473.0210555616438
Gas,Electricity,-269.8734899726028
Nuclear,Electricity,-75.67176709589042
Hydro,Electricity,-30.465488219178084
Combustible renewables and waste,Electricity,-32.745017808219174
Oil Products,Electricity,-168.5346133150685
"Crude, NGL and feedstocks",Oil Products,-2697.877008575342
All products,Heat and Waste,1459.1179132054795
All products,Industry,1749.8760994246577
All products,Transport,698.8528837260274
All products,Residential,1114.071939589041
All products,Commercial,507.84304449315067
All products,Other,608.4267504109589
All products,Total Consumption,4569.286777287672
All primary,Production,3477.078400219178
All primary,Imports,3104.263093123288
All primary,Exports,-464.0800727397261
All primary,Total Consumption,1559.956582630137
All primary,Oil Products,-2697.877008575342
All primary,Electricity,-2050.311431972603
Oil Products,Production,2648.81514969863
All products,Hydrocarbon Heat and Waste,49.061858876711995
All products,Electricity Heat and Waste,1410.0560543287675
