product,flow,value
Coal and coal products,Industry,143.03634478082193
Coal and coal products,Residential,14.934955328767122
Peat,Residential,0.004016438356164384
Coal and coal products,Commercial,6.192710335616438
Coal and coal products,Other,6.3527202191780825
Peat,Other,0.013053424657534243
Gas,Industry,349.1854706232877
Combustible renewables and waste,Industry,49.83110221232877
Gas,Transport,1.836852815068493
Combustible renewables and waste,Transport,54.102699876712336
Gas,Residential,577.2199280821918
Geothermal,Residential,3.3414708698630133
Solar/Wind/Other,Residential,5.827766705479452
Combustible renewables and waste,Residential,96.9973226780822
Gas,Commercial,140.25904794520548
Solar/Wind/Other,Commercial,0.1707237328767123
Combustible renewables and waste,Commercial,0.12804405479452055
Gas,Other,119.54386547945208
Oil Products,Industry,72.57230671917809
Oil Products,Transport,998.7169281232875
Oil Products,Residential,315.4868047534247
Oil Products,Commercial,158.43613256164383
Oil Products,Other,450.9885270616439
Electricity,Industry,408.26301639726034
Electricity,Transport,28.19439315068493
Electricity,Residential,242.8258301369863
Electricity,Commercial,212.72993457534247
Electricity,Other,14.55055205479452
Heat,Industry,111.25555332876714
Heat,Residential,38.359381102739725
Heat,Commercial,31.28906894520548
Heat,Other,102.18307175342467
Coal and coal products,Electricity output in GWh,302258.5
Gas,Electricity output in GWh,77600.25
Nuclear,Electricity output in GWh,154838.25
Hydro,Electricity output in GWh,20339.25
Geothermal,Electricity output in GWh,4.5
Solar/Wind/Other,Electricity output in GWh,37305.75
Combustible renewables and waste,Electricity output in GWh,24054.25
Oil Products,Electricity output in GWh,9495.0
Coal and coal products,Production,1076.6607040273973
Peat,Production,0.2309803493150685
"Crude, NGL and feedstocks",Production,90.11835364383563
Gas,Production,264.43027715753425
Nuclear,Production,810.352310171233
Hydro,Production,35.12727784931507
Geothermal,Production,3.948003267123288
Solar/Wind/Other,Production,70.42807587671233
Combustible renewables and waste,Production,403.4251109657534
Coal and coal products,Imports,607.8473339931506
"Crude, NGL and feedstocks",Imports,2234.8139281506847
Gas,Imports,1482.8584678219174
Combustible renewables and waste,Imports,1.9540876301369863
Coal and coal products,Exports,-15.899859458904109
Peat,Exports,-0.21391048630136986
"Crude, NGL and feedstocks",Exports,-10.686251363013698
Gas,Exports,-184.8816027739726
Combustible renewables and waste,Exports,-31.45597204109589
Coal and coal products,Total Consumption,170.51673066438354
Peat,Total Consumption,0.017069863013698634
Gas,Total Consumption,1188.0451699657535
Geothermal,Total Consumption,3.3414708698630133
Solar/Wind/Other,Total Consumption,5.998490438356164
Combustible renewables and waste,Total Consumption,201.0591688219178
Oil Products,Imports,690.0555884246577
Electricity,Imports,83.3086029041096
Oil Products,Exports,-540.4171879520547
Electricity,Exports,-108.43658594520548
Oil Products,Total Consumption,1996.2006941986301
Electricity,Total Consumption,906.5637263150685
Electricity,Production,2837.819807184931
Coal and coal products,Electricity,-1382.2847377328765
Gas,Electricity,-333.2523650958904
Nuclear,Electricity,-810.352310171233
Hydro,Electricity,-35.12727784931507
Geothermal,Electricity,-0.08260307534246575
Solar/Wind/Other,Electricity,-64.42958543835616
Combustible renewables and waste,Electricity,-161.4309094931507
Oil Products,Electricity,-50.860018328767126
"Crude, NGL and feedstocks",Oil Products,-2493.370716472603
All products,Heat and Waste,1853.365733636986
All products,Industry,1134.143794061644
All products,Transport,1082.8508739657536
All products,Residential,1294.9974660547946
All products,Commercial,549.205662150685
All products,Other,693.6317950136986
All products,Total Consumption,4471.742521136986
All primary,Production,2754.7210933082188
All primary,Imports,4327.47381759589
All primary,Exports,-243.13759612328766
All primary,Total Consumption,1568.978100623288
All primary,Oil Products,-2493.370716472603
All primary,Electricity,-2837.819807184931
Oil Products,Production,2447.726013226028
All products,Hydrocarbon Heat and Waste,45.64470324657486
All products,Electricity Heat and Waste,1807.7210303904112
