flow,period,value
Industry,1971-1974,290.79558930136983
Transport,1971-1974,16.63210135616438
Residential,1971-1974,129.33929591780822
Commercial,1971-1974,72.07834002739726
Other,1971-1974,10.079171726027397
Imports,1971-1974,31.70940930136986
Exports,1971-1974,-15.118757589041095
Total Consumption,1971-1974,518.9244983287671
Production,1971-1974,1911.667941130137
Industry,1971,261.61978947945204
Transport,1971,15.754318794520549
Residential,1971,112.13683019178082
Commercial,1971,68.91866821917809
Other,1971,9.263995397260274
Imports,1971,27.679726739726025
Exports,1971,-15.533254027397263
Total Consumption,1971,467.69360208219183
Production,1971,1753.880769616438
Industry,1972,275.6729458082192
Transport,1972,16.505593589041098
Residential,1972,125.101933369863
Commercial,1972,78.54016679452056
Other,1972,9.942733315068493
Imports,1972,34.65708345205479
Exports,1972,-12.538517260273972
Total Consumption,1972,505.7633728767123
Production,1972,1863.8008069863015
Industry,1973,307.9846702465754
Transport,1973,17.025441205479453
Residential,1973,135.6715925479452
Commercial,1973,69.22435934246576
Other,1973,10.507484712328768
Imports,1973,33.997343287671235
Exports,1973,-14.028977369863012
Total Consumption,1973,540.4135480547945
Production,1973,1978.6787559452057
Industry,1974,317.9049516712329
Transport,1974,17.243051835616438
Residential,1974,144.44682756164383
Commercial,1974,71.63016575342466
Other,1974,10.602473479452055
Imports,1974,30.5034837260274
Exports,1974,-18.374281698630135
Total Consumption,1974,561.8274703013699
Production,1974,2050.311431972603
Industry,1975,296.6499197260274
Transport,1975,17.14806306849315
Residential,1975,153.72636657534247
Commercial,1975,76.79237347945205
Other,1975,10.94788717808219
Imports,1975,32.73831035616438
Exports,1975,-18.265476383561644
Total Consumption,1975,555.2646100273972
Production,1975,1993.1152813150684
Industry,1976,320.8236974246575
Transport,1976,17.85097994520548
Residential,1976,165.51533610958907
Commercial,1976,83.40704580821917
Other,1976,11.296755013698629
Imports,1976,24.615907232876715
Exports,1976,-22.425984383561644
Total Consumption,1976,598.8938143013698
Production,1976,2198.243825150685
Industry,1977,325.52650493150685
Transport,1977,17.724903945205483
Residential,1977,173.82080849315068
Commercial,1977,87.76098547945206
Other,1977,11.54199873972603
Imports,1977,34.116511013698634
Exports,1977,-23.00973353424658
Total Consumption,1977,616.3752015890411
Production,1977,2223.0677035616436
Industry,1978,337.2982037808219
Transport,1978,18.65061265753425
Residential,1978,187.54064060273973
Commercial,1978,94.47410071232878
Other,1978,12.322633698630137
Imports,1978,35.27364690410959
Exports,1978,-28.667609917808214
Total Consumption,1978,650.2861914520548
Production,1978,2324.864896
Industry,1979,351.0076734794521
Transport,1979,20.488213534246576
Residential,1979,192.96018153424657
Commercial,1979,98.37727550684932
Other,1979,12.540244328767123
Imports,1979,33.84018005479452
Exports,1979,-30.53629802739726
Total Consumption,1979,675.3735883835617
Production,1979,2457.673209808219
Industry,1980,344.63133660273974
Transport,1980,20.688553479452054
Residential,1980,198.64050980821918
Commercial,1980,100.56892542465754
Other,1980,12.260459232876713
Imports,1980,40.36331775342465
Exports,1980,-28.019959232876708
Total Consumption,1980,676.7897845479451
Production,1980,2465.3877034520547
Industry,1981,340.66771441095887
Transport,1981,21.274029698630137
Residential,1981,201.4487231780822
Commercial,1981,105.6724128219178
Other,1981,12.45907210958904
Imports,1981,45.05403578082192
Exports,1981,-28.582983561643836
Total Consumption,1981,681.521952219178
Production,1981,2497.6406272328763
Industry,1982,333.4502951780822
Transport,1982,20.62810608219178
Residential,1982,204.33638169863013
Commercial,1982,107.44265802739724
Other,1982,12.389989369863015
Imports,1982,42.32354049315069
Exports,1982,-28.7418738630137
Total Consumption,1982,678.2474303561644
Production,1982,2494.779919013699
Industry,1983,339.1029903561644
Transport,1983,20.70237002739726
Residential,1983,210.3120386849315
Commercial,1983,110.70336334246575
Other,1983,12.602418794520549
Imports,1983,48.86222180821918
Exports,1983,-28.56916701369863
Total Consumption,1983,693.4231812054795
Production,1983,2508.874364328767
Industry,1984-1987,364.2840807534247
Transport,1984-1987,22.536948534246577
Residential,1984-1987,230.6322948082192
Commercial,1984-1987,121.47336246575341
Other,1984-1987,13.050161301369862
Imports,1984-1987,43.688356369863016
Exports,1984-1987,-34.93427794520548
Total Consumption,1984-1987,751.9768478630137
Production,1984-1987,2731.299167767123
Industry,1984,354.9471167123288
Transport,1984,21.420830520547945
Residential,1984,219.8523650410959
Commercial,1984,115.3526317260274
Other,1984,12.750946684931508
Imports,1984,40.928069150684934
Exports,1984,-33.61738821917808
Total Consumption,1984,724.3238906849316
Production,1984,2657.4756953150686
Industry,1985,362.8415467945206
Transport,1985,22.71095068493151
Residential,1985,229.03691528767123
Commercial,1985,119.33697873972602
Other,1985,13.091179178082191
Imports,1985,38.92294263013699
Exports,1985,-34.548278136986305
Total Consumption,1985,747.0175706849316
Production,1985,2767.1318727671237
Industry,1986,367.5892580821918
Transport,1986,23.032185424657534
Residential,1986,232.10591600000004
Commercial,1986,122.69785402739726
Other,1986,13.084270904109587
Imports,1986,44.022975890410954
Exports,1986,-33.49649342465754
Total Consumption,1986,758.5094844383563
Production,1986,2727.828111534246
Industry,1987,371.7584014246576
Transport,1987,22.983827506849316
Residential,1987,241.5339829041096
Commercial,1987,128.50598536986303
Other,1987,13.274248438356164
Imports,1987,50.87943780821918
Exports,1987,-38.074951999999996
Total Consumption,1987,778.0564456438356
Production,1987,2772.760991452055
Industry,1988,387.4712705753425
Transport,1988,23.256704328767125
Residential,1988,235.19046032876713
Commercial,1988,131.4506371506849
Other,1988,12.630051890410957
Imports,1988,48.87776542465753
Exports,1988,-45.625695452054785
Total Consumption,1988,789.9991242739726
Production,1988,2854.193154520548
Industry,1989,396.28450109589045
Transport,1989,23.650475945205482
Residential,1989,235.4011626849315
Commercial,1989,135.08611632876713
Other,1989,12.467707452054794
Imports,1989,46.95726526027397
Exports,1989,-45.43571791780822
Total Consumption,1989,802.8899635068493
Production,1989,2902.6250952876712
Industry,1990,373.8740603287671
Transport,1990,23.605572164383563
Residential,1990,236.701645260274
Commercial,1990,139.2967093150685
Other,1990,12.474615726027396
Imports,1990,54.69453210958905
Exports,1990,-53.088358410958904
Total Consumption,1990,785.9526027945205
Production,1990,2771.336782493151
Industry,1991,370.4786436712329
Transport,1991,26.45350810958904
Residential,1991,210.9683247123288
Commercial,1991,162.39106920547945
Other,1991,16.08246180821918
Imports,1991,52.530515287671236
Exports,1991,-53.52357967123287
Total Consumption,1991,786.3740075068492
Production,1991,2726.6909775068493
Industry,1992,365.9865385205479
Transport,1992,25.72468520547945
Residential,1992,212.0891921643836
Commercial,1992,159.85918679452055
Other,1992,15.120484657534245
Imports,1992,49.07983243835616
Exports,1992,-58.267836821917804
Total Consumption,1992,778.7800873424657
Production,1992,2711.6097334520546
Industry,1993,349.21324931506854
Transport,1993,25.90084619178082
Residential,1993,217.77124750684933
Commercial,1993,162.454970739726
Other,1993,15.046220712328765
Imports,1993,58.07785928767123
Exports,1993,-56.575309698630136
Total Consumption,1993,770.3865344657534
Production,1993,2636.241789835616
Industry,1994,347.8367757260274
Transport,1994,26.6054901369863
Residential,1994,215.07702065753426
Commercial,1994,162.3375300821918
Other,1994,14.224136109589042
Imports,1994,62.0155754520548
Exports,1994,-57.97941638356165
Total Consumption,1994,766.0809527123288
Production,1994,2636.688156712329
Industry,1995,353.5723701917808
Transport,1995,27.96296597260274
Residential,1995,219.6416626849315
Commercial,1995,164.23557835616438
Other,1995,13.856270520547945
Imports,1995,68.62506657534247
Exports,1995,-60.29368816438356
Total Consumption,1995,779.2688477260274
Production,1995,2599.3504420547947
Industry,1996,347.36355895890415
Transport,1996,28.57434821917808
Residential,1996,231.68796542465753
Commercial,1996,170.56528438356165
Other,1996,13.424503397260272
Imports,1996,64.59926991780823
Exports,1996,-73.69401260273972
Total Consumption,1996,791.6156603835617
Production,1996,2711.7082165205475
Industry,1997,356.2890489315069
Transport,1997,29.116647726027395
Residential,1997,225.92128372602738
Commercial,1997,172.81738169863016
Other,1997,13.28979205479452
Imports,1997,65.64932756164384
Exports,1997,-69.70621145205479
Total Consumption,1997,797.4341541369862
Production,1997,2679.910977753425
Industry,1998,359.73627764383565
Transport,1998,27.774715506849315
Residential,1998,225.34098871232877
Commercial,1998,178.67905216438356
Other,1998,13.502221479452055
Imports,1998,66.1726293150685
Exports,1998,-67.27449901369863
Total Consumption,1998,805.0332555068493
Production,1998,2640.756467369863
Industry,1999-2002,372.9448974794521
Transport,1999-2002,27.77730610958904
Residential,1999-2002,229.82143615068492
Commercial,1999-2002,202.76043169863016
Other,1999-2002,13.265613095890412
