flow,period,value
Electricity output in GWh,1971-1974,14881.75
Production,1971-1974,25.701801547945205
Electricity,1971-1974,-25.701801547945205
Electricity output in GWh,1971,13455.0
Production,1971,23.23770657534247
Electricity,1971,-23.23770657534247
Electricity output in GWh,1972,13199.0
Production,1972,22.795577041095893
Electricity,1972,-22.795577041095893
Electricity output in GWh,1973,15233.0
Production,1973,26.308434356164383
Electricity,1973,-26.308434356164383
Electricity output in GWh,1974,17640.0
Production,1974,30.465488219178084
Electricity,1974,-30.465488219178084
Electricity output in GWh,1975,17053.0
Production,1975,29.451699013698633
Electricity,1975,-29.451699013698633
Electricity output in GWh,1976,13848.0
Production,1976,23.91644449315069
Electricity,1976,-23.916444493150685
Electricity output in GWh,1977,17573.0
Production,1977,30.349774630136988
Electricity,1977,-30.349774630136984
Electricity output in GWh,1978,18358.0
Production,1978,31.705523397260276
Electricity,1978,-31.705523397260272
Electricity output in GWh,1979,18377.0
Production,1979,31.73833769863014
Electricity,1979,-31.73833769863014
Electricity output in GWh,1980,19069.0
Production,1980,32.93346909589041
Electricity,1980,-32.93346909589041
Electricity output in GWh,1981,19905.0
Production,1981,34.37729835616438
Electricity,1981,-34.37729835616438
Electricity output in GWh,1982,19737.0
Production,1982,34.087150849315066
Electricity,1982,-34.087150849315066
Electricity output in GWh,1983,18703.0
Production,1983,32.30136202739726
Electricity,1983,-32.30136202739726
Electricity output in GWh,1984-1987,18686.75
Production,1984-1987,32.27329716438356
Electricity,1984-1987,-32.273297164383564
Electricity output in GWh,1984,18474.0
Production,1984,31.905863342465754
Electricity,1984,-31.905863342465754
Electricity output in GWh,1985,17371.0
Production,1985,30.00090679452055
Electricity,1985,-30.000906794520553
Electricity output in GWh,1986,18566.0
Production,1986,32.064753643835616
Electricity,1986,-32.064753643835616
Electricity output in GWh,1987,20336.0
Production,1987,35.12166487671233
Electricity,1987,-35.12166487671233
Electricity output in GWh,1988,20065.0
Production,1988,34.65362931506849
Electricity,1988,-34.65362931506849
Electricity output in GWh,1989,18219.0
Production,1989,31.465460876712328
Electricity,1989,-31.465460876712328
Electricity output in GWh,1990,17426.0
Production,1990,30.095895561643836
Electricity,1990,-30.095895561643832
Electricity output in GWh,1991,14891.0
Production,1991,25.717776931506847
Electricity,1991,-25.71777693150685
Electricity output in GWh,1992,17397.0
Production,1992,30.04581057534247
Electricity,1992,-30.045810575342465
Electricity output in GWh,1993,17878.0
Production,1993,30.87653052054795
Electricity,1993,-30.876530520547945
Electricity output in GWh,1994,19930.0
Production,1994,34.420475068493154
Electricity,1994,-34.420475068493154
Electricity output in GWh,1995,21780.0
Production,1995,37.61555178082192
Electricity,1995,-37.61555178082191
Electricity output in GWh,1996,21957.0
Production,1996,37.92124290410959
Electricity,1996,-37.92124290410958
Electricity output in GWh,1997,17357.0
Production,1997,29.97672783561644
Electricity,1997,-29.976727835616437
Electricity output in GWh,1998,17216.0
Production,1998,29.733211178082193
Electricity,1998,-29.733211178082193
Electricity output in GWh,1999-2002,21809.0
Production,1999-2002,37.66563676712328
Electricity,1999-2002,-37.66563676712329
Electricity output in GWh,1999,19647.0
Production,1999,33.93171468493151
Electricity,1999,-33.93171468493151
Electricity output in GWh,2000,21732.0
Production,2000,37.532652493150685
Electricity,2000,-37.532652493150685
Electricity output in GWh,2001,22733.0
Production,2001,39.26144805479452
Electricity,2001,-39.26144805479452
Electricity output in GWh,2002,23124.0
Production,2002,39.936731835616435
Electricity,2002,-39.936731835616435
Electricity output in GWh,2003,19264.0
Production,2003,33.2702474520548
Electricity,2003,-33.2702474520548
Electricity output in GWh,2004,21077.0
Production,2004,36.40142263013699
Electricity,2004,-36.401422630136985
Electricity output in GWh,2005-2008,20339.25
Production,2005-2008,35.12727784931507
Electricity,2005-2008,-35.12727784931507
Electricity output in GWh,2005,19581.0
Production,2005,33.81772816438356
Electricity,2005,-33.81772816438357
Electricity output in GWh,2006,19931.0
Production,2006,34.4222021369863
Electricity,2006,-34.4222021369863
Electricity output in GWh,2007,20903.0
Production,2007,36.100912712328764
Electricity,2007,-36.10091271232877
Electricity output in GWh,2008,20942.0
Production,2008,36.16826838356164
Electricity,2008,-36.168268383561646
Electricity output in GWh,2009,18660.0
Production,2009,32.22709808219178
Electricity,2009,-32.22709808219178
Electricity output in GWh,2010,20427.0
Production,2010,35.27882810958904
Electricity,2010,-35.27882810958904
Electricity output in GWh,2011,17268.0
Production,2011,29.823018739726027
Electricity,2011,-29.823018739726027
Electricity output in GWh,2012,21194.0
Production,2012,36.603489643835616
Electricity,2012,-36.60348964383562
Electricity output in GWh,2013,22998.0
Production,2013,39.71912120547945
Electricity,2013,-39.71912120547945
Electricity output in GWh,2014,19587.0
Production,2014,33.828090575342465
Electricity,2014,-33.828090575342465
Electricity output in GWh,2015,54440.0
Production,2015,94.0216087671233
Electricity,2015,-94.02160876712328
Industry,2016,23.0
Transport,2016,23.0
Residential,2016,23.0
Commercial,2016,23.0
Other,2016,23.0
Electricity output in GWh,2016,20547.0
Production,2016,23.0
Imports,2016,23.0
Exports,2016,23.0
Total Consumption,2016,23.0
Electricity,2016,23.0
