flow,period,value
Industry,1971-1974,602.2709159999999
Transport,1971-1974,648.7912831369864
Residential,1971-1974,610.6038206575342
Commercial,1971-1974,296.2534520753424
Other,1971-1974,332.2305379931507
Electricity output in GWh,1971-1974,39384.0
Imports,1971-1974,753.9745941780822
Exports,1971-1974,-190.5710885273972
Total Consumption,1971-1974,2490.1500098630136
Electricity,1971-1974,-197.48627579452054
Production,1971-1974,2638.2384768150687
Industry,1971,571.7853857534246
Transport,1971,616.749493479452
Residential,1971,576.548761150685
Commercial,1971,283.4249128219178
Other,1971,299.8822489041096
Electricity output in GWh,1971,38158.0
Imports,1971,685.9970879178082
Exports,1971,-180.17746482191782
Total Consumption,1971,2348.390822191781
Electricity,1971,-187.2852955342466
Production,1971,2497.1711457534248
Industry,1972,601.0838576438356
Transport,1972,649.9674268219178
Residential,1972,611.8380119178082
Commercial,1972,297.11387860273976
Other,1972,327.809508739726
Electricity output in GWh,1972,42237.0
Imports,1972,753.3189407397259
Exports,1972,-171.9348898630137
Total Consumption,1972,2487.8126837260274
Electricity,1972,-210.92681482191784
Production,1972,2592.3389857808215
Industry,1973,648.8062744931507
Transport,1973,673.8780273972603
Residential,1973,677.3748992876712
Commercial,1973,323.0514149589041
Other,1973,353.78319304109584
Electricity output in GWh,1973,44833.0
Imports,1973,828.4056734246576
Exports,1973,-194.76723739726026
Total Consumption,1973,2676.893809178082
Electricity,1973,-223.1983795068493
Production,1973,2814.6286260273973
Industry,1974,587.4081461095891
Transport,1974,654.5701848493151
Residential,1974,576.6536102739726
Commercial,1974,281.42360191780824
Other,1974,347.44720128767125
Electricity output in GWh,1974,32308.0
Imports,1974,748.176674630137
Exports,1974,-215.40476202739725
Total Consumption,1974,2447.5027243561644
Electricity,1974,-168.5346133150685
Production,1974,2648.81514969863
Industry,1975,562.0737181369864
Transport,1975,693.3717707945204
Residential,1975,579.5314285205479
Commercial,1975,283.3860738630137
Other,1975,298.53834863013697
Electricity output in GWh,1975,31657.0
Imports,1975,753.1471375890411
Exports,1975,-171.0621178082192
Total Consumption,1975,2416.9013801095894
Electricity,1975,-159.1451845479452
Production,1975,2390.932194219178
Industry,1976,532.8650538082192
Transport,1976,709.2338707123288
Residential,1976,648.336391369863
Commercial,1976,315.6956294246575
Other,1976,324.4670889863014
Electricity output in GWh,1976,35989.0
Imports,1976,827.2374120000001
Exports,1976,-160.38202665753425
Total Consumption,1976,2530.5980142191784
Electricity,1976,-190.9765630410959
Production,1976,2574.6469764657536
Industry,1977,526.621560630137
Transport,1977,753.5673172876712
Residential,1977,642.5868799452055
Commercial,1977,289.3247796164383
Other,1977,325.75108408219177
Electricity output in GWh,1977,30762.0
Imports,1977,833.2041324109589
Exports,1977,-152.59242561643836
Total Consumption,1977,2537.8516416438356
Electricity,1977,-172.2130483013699
Production,1977,2577.2206499178083
Industry,1978,522.4322547671233
Transport,1978,818.7297721917809
Residential,1978,637.1923815068493
Commercial,1978,340.267576739726
Other,1978,343.8978345479452
Electricity output in GWh,1978,33203.0
Imports,1978,936.6400919452057
Exports,1978,-147.5958558082192
Total Consumption,1978,2662.5198398356165
Electricity,1978,-201.32079961643836
Production,1978,2564.0105841643835
Industry,1979,524.1988249315068
Transport,1979,844.5471969589042
Residential,1979,638.9453359452054
Commercial,1979,354.94050967123286
Other,1979,370.2759340273973
Electricity output in GWh,1979,29371.0
Imports,1979,813.9202680000001
Exports,1979,-157.30302501369863
Total Consumption,1979,2732.9078216164385
Electricity,1979,-186.53568756164384
Production,1979,2828.4220794520543
Industry,1980,359.7007924109589
Transport,1980,860.673297369863
Residential,1980,502.6523401369863
Commercial,1980,300.55580561643836
Other,1980,440.12338353424656
Electricity output in GWh,1980,26741.0
Imports,1980,760.1012792876711
Exports,1980,-222.15494898630135
Total Consumption,1980,2463.705619068493
Electricity,1980,-165.0977670958904
Production,1980,2774.1269018082194
Industry,1981,302.77900465753424
Transport,1981,834.143195780822
Residential,1981,450.78813189041097
Commercial,1981,260.7770603835616
Other,1981,404.5438446849315
Electricity output in GWh,1981,20873.0
Imports,1981,697.2937224383562
Exports,1981,-206.13514361643837
Total Consumption,1981,2253.031197232877
Electricity,1981,-132.3799004109589
Production,1981,2448.74245830137
Industry,1982,254.32915057534245
Transport,1982,837.6083177260273
Residential,1982,428.9110741369863
Commercial,1982,218.88946410958903
Other,1982,405.04826917808214
Electricity output in GWh,1982,17721.0
Imports,1982,736.0384155342465
Exports,1982,-277.6023825479452
Total Consumption,1982,2144.7862757260273
