flow,period,value
Production,1984-1987,0.8716072876712329
Exports,1984-1987,-0.8716072876712329
Production,1986,1.6789515616438355
Exports,1986,-1.6789515616438355
Production,1987,1.807477589041096
Exports,1987,-1.807477589041096
Production,1988,1.7070666301369863
Exports,1988,-1.7070666301369863
Production,1989,1.7070666301369863
Exports,1989,-1.7070666301369863
Production,1990,1.7072674520547944
Exports,1990,-1.7072674520547944
Production,1991,1.297530493150685
Exports,1991,-1.297530493150685
Residential,1992,0.040164383561643834
Production,1992,0.7833460547945206
Exports,1992,-0.743161589041096
Total Consumption,1992,0.040164383561643834
Residential,1993,1.6992345753424658
Production,1993,2.3500180821917804
Imports,1993,0.29725660273972604
Exports,1993,-0.8998227671232877
Total Consumption,1993,1.6992345753424658
Residential,1994,0.040164383561643834
Production,1994,0.723079397260274
Exports,1994,-0.6829150136986302
Total Consumption,1994,0.040164383561643834
Residential,1995,0.040164383561643834
Production,1995,0.6829150136986302
Exports,1995,-0.6427305479452055
Total Consumption,1995,0.040164383561643834
Residential,1996,0.040164383561643834
Production,1996,0.6507634246575342
Exports,1996,-0.6105990410958905
Total Consumption,1996,0.040164383561643834
Residential,1997,0.040164383561643834
Production,1997,0.6146154794520549
Exports,1997,-0.574451095890411
Total Consumption,1997,0.040164383561643834
Residential,1998,0.036147945205479454
Production,1998,0.5985497260273973
Exports,1998,-0.5624017808219178
Total Consumption,1998,0.036147945205479454
Residential,1999-2002,0.01405753424657534
Other,1999-2002,0.024098630136986304
Production,1999-2002,0.5824839726027398
Exports,1999-2002,-0.5463360273972603
Total Consumption,1999-2002,0.03815616438356164
Residential,1999,0.032131506849315074
Production,1999,0.5824839726027398
Exports,1999,-0.5503524657534247
Total Consumption,1999,0.032131506849315074
Residential,2000,0.008032876712328768
Other,2000,0.032131506849315074
Production,2000,0.5824839726027398
Exports,2000,-0.5503524657534247
Total Consumption,2000,0.040164383561643834
Residential,2001,0.008032876712328768
Other,2001,0.032131506849315074
Production,2001,0.5824839726027398
Exports,2001,-0.5423195890410959
Total Consumption,2001,0.040164383561643834
Residential,2002,0.008032876712328768
Other,2002,0.032131506849315074
Production,2002,0.5824839726027398
Exports,2002,-0.5423195890410959
Total Consumption,2002,0.040164383561643834
Residential,2003,0.008032876712328768
Other,2003,0.032131506849315074
Production,2003,0.5824839726027398
Exports,2003,-0.5423195890410959
Total Consumption,2003,0.040164383561643834
Residential,2004,0.008032876712328768
Other,2004,0.036147945205479454
Production,2004,0.5342666301369863
Exports,2004,-0.4900858082191781
Total Consumption,2004,0.04418082191780822
Residential,2005-2008,0.004016438356164384
Other,2005-2008,0.013053424657534243
Production,2005-2008,0.2309803493150685
Exports,2005-2008,-0.21391048630136986
Total Consumption,2005-2008,0.017069863013698634
Residential,2005,0.008032876712328768
Other,2005,0.02811506849315068
Production,2005,0.5182008767123287
Exports,2005,-0.4820529315068493
Total Consumption,2005,0.036147945205479454
Residential,2006,0.008032876712328768
Other,2006,0.0240986301369863
Production,2006,0.40572052054794516
Exports,2006,-0.3735890136986302
Total Consumption,2006,0.032131506849315074
Industry,2016,23.0
Transport,2016,23.0
Residential,2016,23.0
Commercial,2016,23.0
Other,2016,23.0
Production,2016,23.0
Imports,2016,23.0
Exports,2016,23.0
Total Consumption,2016,23.0
Electricity,2016,23.0
