product,flow,value
Combustible renewables and waste,Industry,7.661376246575342
Combustible renewables and waste,Residential,63.68436542465754
Combustible renewables and waste,Commercial,0.10342328767123289
Combustible renewables and waste,Other,0.11125534246575343
Oil Products,Industry,7.716526965753425
Oil Products,Transport,28.55288537671233
Oil Products,Residential,4.447693383561644
Oil Products,Commercial,1.926329020547945
Oil Products,Other,2.030600780821918
Electricity,Industry,2.6605490136986303
Electricity,Residential,2.3803321506849318
Electricity,Commercial,2.001240616438356
Coal and coal products,Electricity output in GWh,514.25
Hydro,Electricity output in GWh,1987.25
Combustible renewables and waste,Electricity output in GWh,847.5
Oil Products,Electricity output in GWh,2471.25
"Crude, NGL and feedstocks",Production,24.909368301369863
Hydro,Production,3.432116863013699
Combustible renewables and waste,Production,78.30348310273973
Coal and coal products,Imports,2.536892917808219
"Crude, NGL and feedstocks",Imports,16.555342198630136
"Crude, NGL and feedstocks",Exports,-22.389409691780823
Combustible renewables and waste,Total Consumption,71.56041026027397
Oil Products,Imports,43.37466249315069
Electricity,Imports,0.20897528767123286
Electricity,Exports,-0.8928944109589041
Oil Products,Total Consumption,44.674040547945204
Electricity,Total Consumption,7.042121780821917
Electricity,Production,24.639639363013696
Coal and coal products,Electricity,-2.536892917808219
Hydro,Electricity,-3.432116863013699
Combustible renewables and waste,Electricity,-6.649735835616437
Oil Products,Electricity,-12.020893746575343
"Crude, NGL and feedstocks",Oil Products,-19.07529578767123
All products,Industry,18.038457246575344
All products,Transport,28.55288537671233
All products,Residential,70.51239095890412
All products,Commercial,4.030987904109589
All products,Other,2.1418561232876714
All products,Total Consumption,123.27657258904108
All primary,Production,106.64496826712329
All primary,Imports,19.092235116438356
All primary,Exports,-22.389409691780823
All primary,Total Consumption,71.56041026027397
All primary,Oil Products,-19.07529578767123
All primary,Electricity,-24.639639363013696
Oil Products,Production,16.21284041780822
