product,flow,value
Combustible renewables and waste,Residential,101.49614030136986
Combustible renewables and waste,Commercial,2.92661797260274
Oil Products,Industry,10.503970328767123
Oil Products,Transport,37.193263452054794
Oil Products,Residential,5.527442547945205
Oil Products,Commercial,0.17814912328767127
Oil Products,Other,0.7108493424657535
Electricity,Industry,5.398816109589041
Electricity,Residential,4.397116383561644
Electricity,Commercial,3.573304712328767
Coal and coal products,Electricity output in GWh,1238.0
Hydro,Electricity output in GWh,4458.0
Geothermal,Electricity output in GWh,246.0
Combustible renewables and waste,Electricity output in GWh,1591.0
Oil Products,Electricity output in GWh,1879.0
"Crude, NGL and feedstocks",Production,11.790335123287674
Hydro,Production,7.699271342465753
Geothermal,Production,4.247002
Combustible renewables and waste,Production,141.71030761643834
Coal and coal products,Imports,7.140424109589041
"Crude, NGL and feedstocks",Exports,-9.93727095890411
Combustible renewables and waste,Total Consumption,104.42277835616439
Oil Products,Imports,71.21815950684932
Electricity,Imports,0.6424694794520548
Oil Products,Exports,-2.622131780821918
Electricity,Exports,-0.597565698630137
Oil Products,Total Consumption,54.11365471232877
Electricity,Total Consumption,13.36923720547945
Electricity,Production,61.98936819178082
Coal and coal products,Electricity,-6.150432301369863
Hydro,Electricity,-7.699271342465754
Geothermal,Electricity,-4.247002
Combustible renewables and waste,Electricity,-36.350373698630136
Oil Products,Electricity,-7.542288849315068
"Crude, NGL and feedstocks",Oil Products,-1.4661606575342465
All products,Heat and Waste,48.058050520547944
All products,Industry,15.902806520547944
All products,Transport,37.193263452054794
All products,Residential,111.42071931506848
All products,Commercial,6.678051726027397
All products,Other,0.7108493424657535
All products,Total Consumption,171.9056702739726
All primary,Production,165.44691608219176
All primary,Imports,7.140424109589041
All primary,Exports,-9.93727095890411
All primary,Total Consumption,104.42277835616439
All primary,Oil Products,-1.4661606575342465
All primary,Electricity,-61.98936819178082
Oil Products,Production,1.39440698630137
All products,Hydrocarbon Heat and Waste,0.07175367123287657
All products,Electricity Heat and Waste,47.98629684931507
