flow,period,value
Production,1971-1974,40.442903479452056
Imports,1971-1974,18.51021805479452
Total Consumption,1971-1974,36.764860095890405
Oil Products,1971-1974,-18.433850500000002
Electricity,1971-1974,-3.8067250479452053
Production,1971,38.83419942465754
Imports,1971,17.044057397260275
Total Consumption,1971,35.18819717808219
Oil Products,1971,-16.514610493150684
Electricity,1971,-3.132902246575342
Production,1972,39.82053627397261
Imports,1972,18.184404575342466
Total Consumption,1972,36.211485260273975
Oil Products,1972,-18.14367789041096
Electricity,1972,-4.025917150684933
Production,1973,40.994039150684934
Imports,1973,19.263661726027397
Total Consumption,1973,37.30144621917808
Oil Products,1973,-19.731998520547947
Electricity,1973,-4.400068465753424
Production,1974,42.12283906849316
Imports,1974,19.548748520547946
Total Consumption,1974,38.358311726027395
Oil Products,1974,-19.34511509589041
Electricity,1974,-3.668012328767123
Production,1975,49.09224323287671
Imports,1975,15.45571668493151
Total Consumption,1975,45.13779860273972
Oil Products,1975,-15.435353342465755
Electricity,1975,-5.4538011506849315
Production,1976,52.28828389041096
Imports,1976,14.478276246575344
Total Consumption,1976,47.6547398630137
Oil Products,1976,-14.783726383561643
Electricity,1976,-6.978822712328766
Production,1977,53.10147208219178
Imports,1977,14.804089726027396
Total Consumption,1977,48.62605523287671
Oil Products,1977,-14.539366273972604
Electricity,1977,-8.129070410958905
Production,1978,53.42403224657535
Imports,1978,16.16843367123288
Total Consumption,1978,49.49352558904109
Oil Products,1978,-16.514610493150684
Electricity,1978,-8.350737643835616
Production,1979,55.72970884931507
Imports,1979,15.964800246575342
Total Consumption,1979,50.24016139726027
Oil Products,1979,-16.086980301369863
Electricity,1979,-8.887213315068493
Production,1980,51.87422926027398
Imports,1980,15.463247506849317
Exports,1980,-2.1788776438356163
Total Consumption,1980,46.676094493150686
Oil Products,1980,-15.007723150684933
Electricity,1980,-10.685734246575342
Production,1981,53.591577972602735
Imports,1981,15.104700054794518
Exports,1981,-1.8530641643835617
Total Consumption,1981,48.24610016438356
Oil Products,1981,-14.905906438356165
Electricity,1981,-9.150229780821917
Production,1982,57.87768
Imports,1982,12.043471150684931
Exports,1982,-4.317008520547946
Total Consumption,1982,49.452718575342466
Oil Products,1982,-12.584505479452055
Electricity,1982,-8.178352109589042
