flow,period,value
Industry,1971-1974,0.6023151369863013
Residential,1971-1974,0.3575031780821918
Commercial,1971-1974,0.37175149315068495
Total Consumption,1971-1974,1.3315698082191783
Production,1971-1974,3.8067250479452053
Industry,1971,0.6027469041095891
Residential,1971,0.2763309589041096
Commercial,1971,0.2866933698630137
Total Consumption,1971,1.1657712328767122
Production,1971,3.132902246575342
Industry,1972,0.5215746849315068
Residential,1972,0.3557761095890411
Commercial,1972,0.3695926575342466
Total Consumption,1972,1.2469434520547946
Production,1972,4.025917150684933
Industry,1973,0.6217446575342466
Residential,1973,0.383409205479452
Commercial,1973,0.4006798904109589
Total Consumption,1973,1.4058337534246577
Production,1973,4.400068465753424
Industry,1974,0.663194301369863
Residential,1974,0.4144964383561644
Commercial,1974,0.4300400547945206
Total Consumption,1974,1.5077307945205478
Production,1974,3.668012328767123
Industry,1975,0.6269258630136987
Residential,1975,0.49394158904109586
Commercial,1975,0.5129393424657535
Total Consumption,1975,1.633806794520548
Production,1975,5.4538011506849315
Industry,1976,0.6942815342465753
Residential,1976,0.5440265753424658
Commercial,1976,0.564751397260274
Total Consumption,1976,1.8030595068493154
Production,1976,6.978822712328766
Industry,1977,0.8756237260273971
Residential,1977,0.6269258630136987
Commercial,1977,0.6511048219178082
Total Consumption,1977,2.153654410958904
Production,1977,8.129070410958905
Industry,1978,1.0068809315068492
Residential,1978,0.6891003287671233
Commercial,1978,0.718460493150685
Total Consumption,1978,2.4144417534246574
Production,1978,8.350737643835616
Industry,1979,1.371292383561644
Residential,1979,0.6511048219178082
Commercial,1979,0.6787379178082192
Total Consumption,1979,2.701135123287671
Production,1979,8.887213315068493
Industry,1980,1.4196503013698627
Residential,1980,0.7616372054794521
Commercial,1980,0.6459236164383562
Other,1980,0.005181205479452055
Total Consumption,1980,2.8323923287671233
Production,1980,10.685734246575342
Industry,1981,0.9257087123287672
Residential,1981,0.7547289315068494
Commercial,1981,0.663194301369863
Other,1981,0.005181205479452055
Total Consumption,1981,2.3488131506849315
Production,1981,9.150229780821917
Industry,1982,0.7961785753424658
Residential,1982,0.7754537534246575
Commercial,1982,0.6752837808219178
Other,1982,0.005181205479452055
Total Consumption,1982,2.252097315068493
Production,1982,8.178352109589042
Industry,1983,0.756456
Residential,1983,0.8082680547945205
Commercial,1983,0.6925544657534246
Other,1983,0.005181205479452055
Total Consumption,1983,2.262459726027397
Production,1983,6.210779287671232
Industry,1984-1987,0.833742315068493
Residential,1984-1987,0.8898720410958906
Commercial,1984-1987,0.8285611095890411
Other,1984-1987,0.006476506849315069
Exports,1984-1987,-0.042744945205479445
Total Consumption,1984-1987,2.5586519726027395
Production,1984-1987,6.134230993150685
Industry,1984,0.7633642739726029
Residential,1984,0.8462635616438356
Commercial,1984,0.7201875616438357
Other,1984,0.005181205479452055
Total Consumption,1984,2.334996602739726
Production,1984,7.366549589041096
Industry,1985,0.8341740821917807
Residential,1985,0.8635342465753425
Commercial,1985,0.7288229041095892
Other,1985,0.005181205479452055
Total Consumption,1985,2.4317124383561644
Production,1985,7.771205753424658
Industry,1986,0.8756237260273971
Residential,1986,0.9395252602739725
Commercial,1986,0.7650913424657534
Other,1986,0.006908273972602739
Exports,1986,-0.15198202739726027
Total Consumption,1986,2.587148602739726
Production,1986,4.182377506849314
Industry,1987,0.8618071780821918
Residential,1987,0.910165095890411
Commercial,1987,1.1001426301369863
Other,1987,0.008635342465753424
Exports,1987,-0.018997753424657534
