flow,period,value
Industry,1971-1974,5.047744253424657
Transport,1971-1974,5.9055349931506855
Residential,1971-1974,1.2964259726027396
Commercial,1971-1974,0.06750628767123287
Other,1971-1974,0.9699296986301369
Electricity output in GWh,1971-1974,535.75
Imports,1971-1974,1.9864199589041098
Exports,1971-1974,-0.169152301369863
Total Consumption,1971-1974,13.287136184931505
Electricity,1971-1974,-3.0641860068493147
Production,1971-1974,18.082151075342466
Industry,1971,5.475208767123288
Transport,1971,4.6263144383561645
Residential,1971,1.1596662465753425
Commercial,1971,0.062315041095890415
Other,1971,0.8873115616438356
Electricity output in GWh,1971,393.0
Imports,1971,2.198216794520548
Exports,1971,-0.676609205479452
Total Consumption,1971,12.21081605479452
Electricity,1971,-2.44456504109589
Production,1971,16.15284989041096
Industry,1972,4.894873589041096
Transport,1972,5.579636164383561
Residential,1972,1.289075890410959
Commercial,1972,0.062315041095890415
Other,1972,0.8923923561643836
Electricity output in GWh,1972,522.0
Imports,1972,1.3709911506849317
Total Consumption,1972,12.71829304109589
Electricity,1972,-3.3597506849315075
Production,1972,18.108313150684932
Industry,1973,4.374744821917808
Transport,1973,6.444114273972603
Residential,1973,1.3974795616438354
Commercial,1973,0.08308002739726027
Other,1973,1.1123124383561644
Electricity output in GWh,1973,594.0
Imports,1973,1.7892630410958903
Total Consumption,1973,13.411731123287671
Electricity,1973,-3.635599671232877
Production,1973,18.85346287671233
Industry,1974,5.446149835616438
Transport,1974,6.972075095890412
Residential,1974,1.339482191780822
Commercial,1974,0.062315041095890415
Other,1974,0.9877024383561643
Electricity output in GWh,1974,634.0
Imports,1974,2.587208849315068
Total Consumption,1974,14.807704520547945
Electricity,1974,-2.816828630136986
Production,1974,19.213978383561646
Industry,1975,4.489514547945205
Transport,1975,7.832235534246575
Residential,1975,1.4756193698630138
Commercial,1975,0.10384501369863014
Other,1975,1.0354779726027397
Electricity output in GWh,1975,724.0
Imports,1975,4.825610109589041
Total Consumption,1975,14.936692438356165
Electricity,1975,-4.441076301369863
Production,1975,17.955728657534245
Industry,1976,3.8687137534246574
Transport,1976,6.671223780821919
Residential,1976,1.4756193698630138
Commercial,1976,0.08308002739726027
Other,1976,0.993948
Electricity output in GWh,1976,820.0
Imports,1976,7.691358958904111
Total Consumption,1976,13.092564849315067
Electricity,1976,-5.673821643835615
Production,1976,14.784027616438358
Industry,1977,3.828408794520548
Transport,1977,8.107180821917808
Residential,1977,1.5613301643835615
Commercial,1977,0.12461
Other,1977,1.2095905753424658
Electricity output in GWh,1977,1113.0
Imports,1977,11.678115835616438
Exports,1977,-0.11344430136986301
Total Consumption,1977,14.831120356164382
Electricity,1977,-6.982096109589041
Production,1977,14.542037205479451
Industry,1978,4.864268328767123
Transport,1978,8.625883753424658
Residential,1978,1.6940935342465755
Commercial,1978,0.12461
Other,1978,1.3109855616438355
Electricity output in GWh,1978,1253.0
Imports,1978,11.734566876712329
Exports,1978,-0.13358673972602741
Total Consumption,1978,16.619841178082194
Electricity,1978,-7.192798465753424
Production,1978,16.560759369863014
Industry,1979,6.536070630136987
Transport,1979,9.11291706849315
Residential,1979,1.826856904109589
Commercial,1979,0.14537498630136986
Other,1979,1.4123403835616437
Electricity output in GWh,1979,1357.0
Imports,1979,14.92604887671233
Exports,1979,-0.19622309589041098
Total Consumption,1979,19.03358005479452
Electricity,1979,-6.8560401917808225
Production,1979,16.12431309589041
Industry,1980,4.118034164383562
Transport,1980,9.11775687671233
Residential,1980,1.9335937534246577
Commercial,1980,0.4361450410958904
Other,1980,1.0316021095890409
Electricity output in GWh,1980,1532.0
Imports,1980,14.404132794520548
Exports,1980,-0.24160884931506849
Total Consumption,1980,16.637111863013697
Electricity,1980,-8.655123424657534
Production,1980,15.133678657534245
Industry,1981,2.615323917808219
Transport,1981,8.455205205479452
Residential,1981,2.190726136986301
Commercial,1981,0.4361450410958904
Other,1981,1.108958712328767
Electricity output in GWh,1981,1176.0
Imports,1981,10.651835506849315
Exports,1981,-0.2001993698630137
Total Consumption,1981,14.806379095890412
Electricity,1981,-6.597743041095891
Production,1981,14.973864575342466
Industry,1982,2.4234586575342467
Transport,1982,7.88436890410959
Residential,1982,2.148714191780822
Commercial,1982,0.39461506849315064
Other,1982,1.0861252602739726
Electricity output in GWh,1982,1042.0
Imports,1982,10.480755315068494
Exports,1982,-0.20019936986301368
Total Consumption,1982,13.937282082191778
Electricity,1982,-4.930499397260274
Production,1982,12.491745835616438
Industry,1983,2.694608410958904
Transport,1983,7.597916520547946
Residential,1983,2.1184503287671235
Commercial,1983,0.3738500821917808
Other,1983,1.1435402465753426
Electricity output in GWh,1983,698.0
Imports,1983,9.52508397260274
Total Consumption,1983,13.928365589041096
Electricity,1983,-3.358264602739726
Production,1983,11.909543013698629
Industry,1984-1987,3.146573198630137
Transport,1984-1987,8.635166746575342
Residential,1984-1987,2.1293599794520546
Commercial,1984-1987,0.43101906164383563
Other,1984-1987,1.4693587465753426
Electricity output in GWh,1984-1987,600.75
Imports,1984-1987,10.178879808219179
Total Consumption,1984-1987,15.811472712328769
Electricity,1984-1987,-2.5428472876712327
Production,1984-1987,12.462586493150685
Industry,1984,2.8451244383561645
Transport,1984,8.251109890410959
Residential,1984,2.226854
Commercial,1984,0.39461506849315064
Other,1984,1.5667322739726028
Electricity output in GWh,1984,1026.0
