product,flow,value
Coal and coal products,Industry,0.46716198630136996
Combustible renewables and waste,Industry,2.513507205479452
Combustible renewables and waste,Residential,20.59333878767123
Combustible renewables and waste,Commercial,0.14773464383561646
Oil Products,Industry,0.8508523424657534
Oil Products,Transport,2.1148355342465757
Oil Products,Residential,0.3739504931506849
Oil Products,Commercial,0.005251493150684932
Oil Products,Other,0.031157520547945208
Electricity,Industry,0.28928397260273975
Electricity,Residential,0.23056364383561645
Electricity,Commercial,0.012089479452054795
Hydro,Electricity output in GWh,263.5
Combustible renewables and waste,Electricity output in GWh,15.75
Oil Products,Electricity output in GWh,170.75
Hydro,Production,0.4550825479452054
Combustible renewables and waste,Production,28.241571239726028
Coal and coal products,Imports,0.48572295205479454
Coal and coal products,Total Consumption,0.46716198630136996
Combustible renewables and waste,Total Consumption,23.254585657534246
Oil Products,Imports,4.937181746575343
Oil Products,Total Consumption,3.3760373424657533
Electricity,Total Consumption,0.5319370958904109
Electricity,Production,1.7198991506849315
Hydro,Electricity,-0.4550825479452054
Combustible renewables and waste,Electricity,-0.13151827397260274
Oil Products,Electricity,-1.1332983287671234
All products,Heat and Waste,1.1443535753424658
All products,Industry,4.120805506849315
All products,Transport,2.1148305136986303
All products,Residential,21.197852924657532
All products,Commercial,0.16507561643835614
All products,Other,0.031157520547945208
All products,Total Consumption,27.62972208219178
All primary,Production,28.696653787671234
All primary,Imports,0.48572295205479454
All primary,Total Consumption,23.721747643835617
All primary,Electricity,-1.7198991506849315
All products,Hydrocarbon Heat and Waste,0.0
All products,Electricity Heat and Waste,1.1443535753424658
