flow,period,value
Electricity output in GWh,1971-1974,79.0
Production,1971-1974,0.13643841095890413
Electricity,1971-1974,-0.13643841095890413
Electricity output in GWh,1971,27.0
Production,1971,0.046630849315068494
Electricity,1971,-0.046630849315068494
Electricity output in GWh,1972,79.0
Production,1972,0.1364384109589041
Electricity,1972,-0.1364384109589041
Electricity output in GWh,1973,84.0
Production,1973,0.14507375342465753
Electricity,1973,-0.14507375342465753
Electricity output in GWh,1974,126.0
Production,1974,0.2176106301369863
Electricity,1974,-0.2176106301369863
Electricity output in GWh,1975,172.0
Production,1975,0.2970557808219178
Electricity,1975,-0.2970557808219178
Electricity output in GWh,1976,170.0
Production,1976,0.29360164383561643
Electricity,1976,-0.29360164383561643
Electricity output in GWh,1977,154.0
Production,1977,0.26596854794520547
Electricity,1977,-0.26596854794520547
Electricity output in GWh,1978,190.0
Production,1978,0.32814301369863014
Electricity,1978,-0.32814301369863014
Electricity output in GWh,1979,194.0
Production,1979,0.3350512876712329
Electricity,1979,-0.3350512876712329
Electricity output in GWh,1980,220.0
Production,1980,0.3799550684931507
Electricity,1980,-0.3799550684931507
Electricity output in GWh,1981,249.0
Production,1981,0.4300400547945206
Electricity,1981,-0.4300400547945206
Electricity output in GWh,1982,242.0
Production,1982,0.41795057534246577
Electricity,1982,-0.41795057534246577
Electricity output in GWh,1983,197.0
Production,1983,0.34023249315068493
Electricity,1983,-0.34023249315068493
Electricity output in GWh,1984-1987,263.5
Production,1984-1987,0.4550825479452054
Electricity,1984-1987,-0.4550825479452054
Electricity output in GWh,1984,200.0
Production,1984,0.345413698630137
Electricity,1984,-0.345413698630137
Electricity output in GWh,1985,216.0
Production,1985,0.37304679452054795
Electricity,1985,-0.37304679452054795
Electricity output in GWh,1986,318.0
Production,1986,0.5492077808219178
Electricity,1986,-0.5492077808219178
Electricity output in GWh,1987,320.0
Production,1987,0.5526619178082192
Electricity,1987,-0.5526619178082192
Electricity output in GWh,1988,392.0
Production,1988,0.6770108493150686
Electricity,1988,-0.6770108493150686
Electricity output in GWh,1989,406.0
Production,1989,0.701189808219178
Electricity,1989,-0.701189808219178
Electricity output in GWh,1990,457.0
Production,1990,0.7892703013698631
Electricity,1990,-0.7892703013698631
Electricity output in GWh,1991,332.0
Production,1991,0.5733867397260274
Electricity,1991,-0.5733867397260274
Electricity output in GWh,1992,321.0
Production,1992,0.5543889863013699
Electricity,1992,-0.5543889863013699
Electricity output in GWh,1993,274.0
Production,1993,0.4732167671232877
Electricity,1993,-0.4732167671232877
Electricity output in GWh,1994,233.0
Production,1994,0.40240695890410966
Electricity,1994,-0.40240695890410966
Electricity output in GWh,1995,253.0
Production,1995,0.4369483287671233
Electricity,1995,-0.4369483287671233
Electricity output in GWh,1996,272.0
Production,1996,0.46976263013698627
Electricity,1996,-0.46976263013698627
Electricity output in GWh,1997,200.0
Production,1997,0.345413698630137
Electricity,1997,-0.345413698630137
Electricity output in GWh,1998,306.0
Production,1998,0.5284829589041096
Electricity,1998,-0.5284829589041096
Electricity output in GWh,1999-2002,307.75
Production,1999-2002,0.5315053287671233
Electricity,1999-2002,-0.5315053287671233
Electricity output in GWh,1999,405.0
Production,1999,0.6994627397260273
Electricity,1999,-0.6994627397260273
Electricity output in GWh,2000,283.0
Production,2000,0.4887603835616439
Electricity,2000,-0.4887603835616439
Electricity output in GWh,2001,283.0
Production,2001,0.4887603835616439
Electricity,2001,-0.4887603835616439
Electricity output in GWh,2002,260.0
Production,2002,0.44903780821917805
Electricity,2002,-0.44903780821917805
Electricity output in GWh,2003,255.0
Production,2003,0.4404024657534247
Electricity,2003,-0.4404024657534247
Electricity output in GWh,2004,260.0
Production,2004,0.44903780821917805
Electricity,2004,-0.44903780821917805
Electricity output in GWh,2005-2008,217.75
Production,2005-2008,0.3760691643835617
Electricity,2005-2008,-0.3760691643835617
Electricity output in GWh,2005,265.0
Production,2005,0.45767315068493153
Electricity,2005,-0.45767315068493153
Electricity output in GWh,2006,271.0
Production,2006,0.4680355616438357
Electricity,2006,-0.4680355616438357
Electricity output in GWh,2007,154.0
Production,2007,0.26596854794520547
Electricity,2007,-0.26596854794520547
Electricity output in GWh,2008,181.0
Production,2008,0.31259939726027397
Electricity,2008,-0.31259939726027397
Electricity output in GWh,2009,207.0
Production,2009,0.3575031780821918
Electricity,2009,-0.3575031780821918
Electricity output in GWh,2010,177.0
Production,2010,0.30569112328767123
Electricity,2010,-0.30569112328767123
Electricity output in GWh,2011,120.0
Production,2011,0.2072482191780822
Electricity,2011,-0.2072482191780822
Electricity output in GWh,2012,160.0
Production,2012,0.2763309589041096
Electricity,2012,-0.2763309589041096
Electricity output in GWh,2013,141.0
Production,2013,0.24351665753424656
Electricity,2013,-0.24351665753424656
Electricity output in GWh,2014,90.0
Production,2014,0.15543616438356164
Electricity,2014,-0.15543616438356164
Electricity output in GWh,2016,71.0
Production,2016,0.12260178082191782
Electricity,2016,-0.12260178082191782
Electricity output in GWh,2015,83.0
Production,2015,0.14334668493150685
Electricity,2015,-0.14334668493150685
