product,flow,value
Coal and coal products,Industry,1.4076612328767122
Combustible renewables and waste,Industry,4.443029294520548
Combustible renewables and waste,Residential,21.88257533561644
Oil Products,Industry,3.6843843356164387
Oil Products,Transport,14.716988239726025
Oil Products,Residential,1.2098566643835618
Oil Products,Commercial,1.3343863356164385
Oil Products,Other,2.5626935136986306
Electricity,Industry,1.6109231369863013
Electricity,Residential,2.3444954794520547
Electricity,Commercial,1.6709387671232876
Hydro,Electricity output in GWh,1977.5
Combustible renewables and waste,Electricity output in GWh,6.5
Oil Products,Electricity output in GWh,1782.0
Hydro,Production,3.4152779452054793
Combustible renewables and waste,Production,26.90454409589041
Coal and coal products,Imports,1.6180422739726026
Coal and coal products,Total Consumption,1.4076612328767122
Combustible renewables and waste,Total Consumption,26.32559960958904
Oil Products,Imports,31.57163040410959
Electricity,Imports,0.49437335616438355
Oil Products,Exports,-0.26814746575342463
Electricity,Exports,-0.0047494383561643835
Oil Products,Total Consumption,23.508309089041095
Electricity,Total Consumption,5.626357383561645
Electricity,Production,10.790216869863013
Hydro,Electricity,-3.4152779452054793
Combustible renewables and waste,Electricity,-0.5789545273972603
Oil Products,Electricity,-6.795984397260274
All products,Industry,11.145998
All products,Transport,14.716993260273973
All products,Residential,25.436927479452056
All products,Commercial,3.005325102739726
All products,Other,2.5626884931506853
All products,Total Consumption,56.86792731506849
All primary,Production,30.31982204109589
All primary,Imports,1.6180422739726026
All primary,Total Consumption,27.733260842465754
All primary,Electricity,-10.790216869863013
