flow,period,value
Industry,1971-1974,2.6724828561643834
Residential,1971-1974,17.64528809589041
Production,1971-1974,20.52229301369863
Total Consumption,1971-1974,20.317765931506845
Industry,1971,2.5469641369863014
Residential,1971,17.16836616438356
Production,1971,19.909043123287674
Total Consumption,1971,19.715310219178082
Industry,1972,2.6481382191780822
Residential,1972,17.486307424657532
Production,1972,20.335388054794517
Total Consumption,1972,20.134465726027397
Industry,1973,2.634723315068493
Residential,1973,17.80426876712329
Production,1973,20.64710383561644
Total Consumption,1973,20.438972
Industry,1974,2.8601057534246572
Residential,1974,18.122210027397262
Production,1974,21.197637041095895
Total Consumption,1974,20.982315780821914
Industry,1975,2.944511205479452
Residential,1975,18.447842767123287
Production,1975,21.60765515068493
Total Consumption,1975,21.39235397260274
Industry,1976,3.0505050136986305
Residential,1976,18.787372383561642
Production,1976,22.060368
Total Consumption,1976,21.83785731506849
Industry,1977,3.3344069589041094
Residential,1977,19.127383972602743
Production,1977,22.691470958904112
Total Consumption,1977,22.46177084931507
Industry,1978,3.4811475342465754
Residential,1978,19.50364391780822
Production,1978,23.192140082191784
Total Consumption,1978,22.984791452054793
Industry,1979,3.6763263561643833
Residential,1979,19.85036295890411
Production,1979,23.74122736986301
Total Consumption,1979,23.52668931506849
Industry,1980,4.6234627671232875
Residential,1980,20.21196290410959
Production,1980,25.049963726027396
Total Consumption,1980,24.835425671232876
Industry,1981,4.553918136986302
Residential,1981,20.580752273972603
Production,1981,25.35639789041096
Total Consumption,1981,25.1346704109589
Industry,1982,4.829204821917808
Residential,1982,20.949039589041096
Production,1982,26.007161315068494
Total Consumption,1982,25.7782444109589
Industry,1983,4.8934678356164385
Residential,1983,21.332207808219177
Production,1983,26.46180205479452
Total Consumption,1983,26.22567564383562
Industry,1984-1987,4.802580856164384
Residential,1984-1987,22.317123842465755
Production,1984-1987,27.368769061643835
Total Consumption,1984-1987,27.11970469863014
Industry,1984,4.747671123287671
Residential,1984,21.715396109589044
Production,1984,26.699173561643832
Total Consumption,1984,26.463067232876714
Industry,1985,4.860854356164383
Residential,1985,22.112943178082194
Production,1985,27.22478476712329
Total Consumption,1985,26.97379753424658
Industry,1986,4.443626739726027
Residential,1986,22.517699753424658
Production,1986,27.2123137260274
Total Consumption,1986,26.961326493150683
Industry,1987,5.158171205479452
Residential,1987,22.922456328767126
Production,1987,28.33880419178082
Total Consumption,1987,28.080627534246577
Industry,1988,5.236833150684931
Residential,1988,23.334382246575345
Production,1988,28.82939205479452
Total Consumption,1988,28.57121539726027
