product,flow,value
Coal and coal products,Industry,231.32431207534248
Coal and coal products,Transport,143.49763774657535
Coal and coal products,Residential,35.80462005479452
Coal and coal products,Commercial,58.0475803630137
Coal and coal products,Other,27.31295060958904
Gas,Industry,2.4122377328767124
Combustible renewables and waste,Industry,335.66970370547944
Gas,Residential,0.024922000000000003
Combustible renewables and waste,Residential,1584.6166405616439
Combustible renewables and waste,Commercial,70.28435767123288
Gas,Other,4.089417041095891
Oil Products,Industry,79.01396092465754
Oil Products,Transport,136.4335008630137
Oil Products,Residential,74.08425979452056
Oil Products,Other,92.40762309589041
Electricity,Industry,64.55004846575342
Electricity,Transport,2.8177122465753426
Electricity,Residential,7.8728417260273975
Electricity,Commercial,5.09701089041096
Electricity,Other,14.430520794520547
Coal and coal products,Electricity output in GWh,36567.0
Gas,Electricity output in GWh,418.5
Nuclear,Electricity output in GWh,1731.25
Hydro,Electricity output in GWh,28023.5
Oil Products,Electricity output in GWh,4853.25
Coal and coal products,Production,764.1771057054796
"Crude, NGL and feedstocks",Production,151.32824160273972
Gas,Production,13.307454342465753
Nuclear,Production,9.060567815068493
Hydro,Production,48.39850391780822
Combustible renewables and waste,Production,1990.570701938356
"Crude, NGL and feedstocks",Imports,271.5524314931507
Coal and coal products,Exports,-4.644006849315068
"Crude, NGL and feedstocks",Exports,-0.092358
Coal and coal products,Total Consumption,495.98709582876705
Gas,Total Consumption,6.526576773972602
Combustible renewables and waste,Total Consumption,1990.570701938356
Oil Products,Imports,58.07660415068493
Oil Products,Exports,-3.312979260273973
Electricity,Exports,-0.009498876712328767
Oil Products,Total Consumption,381.93933463698636
Electricity,Total Consumption,94.76813412328767
Electricity,Production,291.9747754383561
Coal and coal products,Electricity,-191.33672710958905
Gas,Electricity,-5.5963395273972605
Nuclear,Electricity,-9.060567815068493
Hydro,Electricity,-48.39850391780823
Oil Products,Electricity,-37.58263706849315
"Crude, NGL and feedstocks",Oil Products,-417.77534817808214
All products,Heat and Waste,193.24421903424644
All products,Industry,712.9702679246575
All products,Transport,282.74884583561646
All products,Residential,1702.4032841369865
All products,Commercial,133.42894892465753
All products,Other,138.2405015
All products,Total Consumption,2969.7918433013697
All primary,Production,2976.8425753219176
All primary,Imports,271.5524314931507
All primary,Exports,-4.736364849315068
All primary,Total Consumption,2493.0843745410957
All primary,Oil Products,-417.77534817808214
All primary,Electricity,-291.9747754383561
Oil Products,Production,414.17968696575343
All products,Hydrocarbon Heat and Waste,3.5956612123287073
All products,Electricity Heat and Waste,189.64855782191773
