product,flow,value
Coal and coal products,Industry,392.18849709589045
Coal and coal products,Transport,101.81430246575341
Coal and coal products,Residential,48.9340357260274
Coal and coal products,Commercial,62.5669922739726
Coal and coal products,Other,46.10003682191781
Gas,Industry,2.700733479452055
Combustible renewables and waste,Industry,405.28086112328765
Gas,Residential,0.23261202739726028
Combustible renewables and waste,Residential,1913.2352106027397
Combustible renewables and waste,Commercial,84.86007271232877
Gas,Other,20.514079397260275
Oil Products,Industry,108.72323915068493
Oil Products,Transport,268.57063769863015
Oil Products,Residential,121.56479668493151
Oil Products,Other,134.33058410958904
Electricity,Industry,106.23198301369862
Electricity,Transport,4.547371342465754
Electricity,Residential,20.883712219178083
Electricity,Commercial,10.096442410958904
Electricity,Other,38.08358734246575
Coal and coal products,Electricity output in GWh,80390.0
Gas,Electricity output in GWh,1986.0
Nuclear,Electricity output in GWh,2022.0
Hydro,Electricity output in GWh,48384.0
Oil Products,Electricity output in GWh,7518.0
Coal and coal products,Production,1248.0094750410958
"Crude, NGL and feedstocks",Production,436.29714361643835
Gas,Production,49.157128794520546
Nuclear,Production,10.582210547945206
Hydro,Production,83.56248197260274
Combustible renewables and waste,Production,2403.3761444383563
Coal and coal products,Imports,18.623220547945206
"Crude, NGL and feedstocks",Imports,347.86049279452055
Coal and coal products,Exports,-1.3947082191780822
"Crude, NGL and feedstocks",Exports,-93.4250471780822
Coal and coal products,Total Consumption,651.6038844657534
Gas,Total Consumption,23.447424904109592
Combustible renewables and waste,Total Consumption,2403.3761444383563
Oil Products,Imports,102.07253936986301
Electricity,Imports,0.01036241095890411
Oil Products,Exports,-15.583037780821918
Electricity,Exports,-0.13471134246575342
Oil Products,Total Consumption,633.1892375616438
Electricity,Total Consumption,179.84309632876713
Electricity,Production,648.9364874246577
Coal and coal products,Electricity,-481.3195700273973
Gas,Electricity,-17.41457383561644
Nuclear,Electricity,-10.582210547945206
Hydro,Electricity,-83.56248197260273
Oil Products,Electricity,-56.057651041095895
"Crude, NGL and feedstocks",Oil Products,-681.0488760273972
All products,Heat and Waste,457.11765717808225
All products,Industry,1015.1253339452055
All products,Transport,374.9323115068493
All products,Residential,2104.8503672602737
All products,Commercial,157.52350739726026
All products,Other,239.0282675890411
All products,Total Consumption,3891.45978769863
All primary,Production,4230.984584410959
All primary,Imports,366.48371334246576
All primary,Exports,-94.81975539726028
All primary,Total Consumption,3078.427453808219
All primary,Oil Products,-681.0488760273972
All primary,Electricity,-648.9364874246577
Oil Products,Production,674.8472140547944
All products,Hydrocarbon Heat and Waste,6.201661972602778
All products,Electricity Heat and Waste,450.9159952054795
