flow,period,value
Industry,1987,144.31211621917808
Transport,1987,6.245079671232877
Residential,1987,38.202755068493154
Commercial,1987,15.269012547945206
Other,1987,72.28817884931507
Imports,1987,1.5284556164383563
Exports,1987,-0.05181205479452055
Total Consumption,1987,276.31714235616437
Production,1987,1114.8554061369862
Industry,1971-1974,64.55004846575342
Transport,1971-1974,2.8177122465753426
Residential,1971-1974,7.8728417260273975
Commercial,1971-1974,5.09701089041096
Other,1971-1974,14.430520794520547
Exports,1971-1974,-0.009498876712328767
Total Consumption,1971-1974,94.76813412328767
Production,1971-1974,291.9747754383561
Industry,1971,62.66322613698631
Transport,1971,2.820302849315068
Residential,1971,7.093070301369863
Commercial,1971,5.100033260273973
Other,1971,11.645622849315068
Total Consumption,1971,89.32225539726026
Production,1971,253.90252449315068
Industry,1972,64.46455857534247
Transport,1972,3.162262410958904
Residential,1972,7.441938136986302
Commercial,1972,4.804704547945206
Other,1972,13.681836602739725
Total Consumption,1972,93.5553002739726
Production,1972,278.57743320547945
Industry,1973,65.07594082191781
Transport,1973,2.6441418630136986
Residential,1973,8.022233150684933
Commercial,1973,5.160480657534246
Other,1973,14.85451610958904
Exports,1973,-0.018997753424657534
Total Consumption,1973,95.75731260273974
Production,1973,296.06376071232876
Industry,1974,65.99646832876712
Transport,1974,2.6441418630136986
Residential,1974,8.934125315068492
Commercial,1974,5.322825095890411
Other,1974,17.540107616438355
Exports,1974,-0.018997753424657534
Total Consumption,1974,100.43766821917808
Production,1974,339.35538334246576
Industry,1975,74.72679956164383
Transport,1975,3.203712054794521
Residential,1975,10.053265698630137
Commercial,1975,6.056829205479452
Other,1975,19.85265232876712
Imports,1975,0.01036241095890411
Exports,1975,-0.04144964383561644
Total Consumption,1975,113.89325884931506
Production,1975,384.0705723013699
Industry,1976,82.56250931506848
Transport,1976,3.7442844931506856
Residential,1976,10.94443304109589
Commercial,1976,7.153517698630136
Other,1976,21.38801621917808
Imports,1976,0.013816547945205478
Exports,1976,-0.05526619178082191
Total Consumption,1976,125.79276076712328
Production,1976,432.1820816164384
Industry,1977,84.74725095890412
Transport,1977,3.9670763287671233
Residential,1977,11.78033419178082
Commercial,1977,7.647459287671232
Other,1977,22.579693479452054
Imports,1977,0.01036241095890411
Exports,1977,-0.05353912328767123
Total Consumption,1977,130.72181424657535
Production,1977,424.7340184109589
Industry,1978,93.61402060273973
Transport,1978,3.7753717260273976
Residential,1978,13.084270904109587
Commercial,1978,7.479933643835617
Other,1978,26.721203726027394
Imports,1978,0.01036241095890411
Exports,1978,-0.08635342465753425
Total Consumption,1978,144.6748006027397
Production,1978,397.16050638356165
Industry,1979,91.4120082739726
Transport,1979,3.9739846027397263
Residential,1979,14.510829479452054
Commercial,1979,8.042957972602741
Other,1979,28.961211561643836
Imports,1979,0.01036241095890411
Exports,1979,-0.0690827397260274
Total Consumption,1979,146.90099189041095
Production,1979,452.51461800000004
Industry,1980,95.39290115068493
Transport,1980,3.9135372054794524
Residential,1980,15.968475287671232
Commercial,1980,8.086134684931507
Other,1980,31.266848
Imports,1980,0.008635342465753424
Exports,1980,-0.07253687671232877
Total Consumption,1980,154.62789632876712
Production,1980,531.8645991780821
Industry,1981,104.9125026849315
Transport,1981,4.326306575342466
Residential,1981,18.028868
Commercial,1981,8.970393753424657
Other,1981,32.8885653150685
Imports,1981,0.008635342465753424
Exports,1981,-0.16234443835616438
Total Consumption,1981,169.12663632876712
Production,1981,596.2877683561644
Industry,1982,106.23198301369862
Transport,1982,4.547371342465754
Residential,1982,20.883712219178083
Commercial,1982,10.096442410958904
Other,1982,38.08358734246575
Imports,1982,0.01036241095890411
Exports,1982,-0.13471134246575342
Total Consumption,1982,179.84309632876713
Production,1982,648.9364874246577
Industry,1983,114.50809523287671
Transport,1983,4.680355616438356
Residential,1983,22.85775150684932
Commercial,1983,11.331296383561643
Other,1983,39.28044580821918
Imports,1983,0.006908273972602739
Exports,1983,-0.15370909589041096
Total Consumption,1983,192.6579445479452
Production,1983,729.9870486849314
Industry,1984-1987,136.8762228219178
Transport,1984-1987,5.5296415479452055
Residential,1984-1987,32.04014291780822
Commercial,1984-1987,13.315698082191782
Other,1984-1987,56.691886821917805
Imports,1984-1987,0.4650131917808219
Exports,1984-1987,-0.13600664383561642
Total Consumption,1984-1987,244.45359219178084
Production,1984-1987,935.5660611849316
Industry,1984,126.9896192328767
Transport,1984,4.973957260273973
Residential,1984,26.779924054794524
Commercial,1984,11.980674136986302
Other,1984,44.430564054794516
Imports,1984,0.01036241095890411
Exports,1984,-0.191704602739726
Total Consumption,1984,215.15473873972604
Production,1984,769.9984059452055
Industry,1985,134.85123501369864
Transport,1985,5.322825095890411
Residential,1985,29.805748054794524
Commercial,1985,12.590329315068495
Other,1985,49.02974745205479
Imports,1985,0.027633095890410957
Exports,1985,-0.1847963287671233
Total Consumption,1985,231.59988493150684
Production,1985,870.6201274520549
Industry,1986,141.35192082191782
Transport,1986,5.576704164383562
Residential,1986,33.372144493150685
Commercial,1986,13.422776328767124
Other,1986,61.01905693150686
Imports,1986,0.29360164383561643
Exports,1986,-0.11571358904109588
Total Consumption,1986,254.74260273972604
Production,1986,986.7903052054794
Industry,1988,161.94721260273974
Transport,1988,6.972175506849316
Residential,1988,42.5014285479452
Commercial,1988,17.381217315068493
Other,1988,77.14296838356164
Imports,1988,2.240007835616438
Exports,1988,-0.16752564383561644
Total Consumption,1988,305.94500235616437
Production,1988,1177.1234749863013
Industry,1989,173.5116632328767
Transport,1989,7.029168767123288
Residential,1989,51.08150482191781
Commercial,1989,16.49004997260274
Other,1989,88.99583945205478
Imports,1989,2.4213500273972604
Exports,1989,-0.1813421917808219
Total Consumption,1989,337.1082262465753
Production,1989,1293.0393720273971
Industry,1990,182.35252684931504
Transport,1990,7.101705643835617
Residential,1990,55.23510454794521
Commercial,1990,19.31035282191781
Other,1990,101.67770339726027
Imports,1990,2.4869786301369863
Exports,1990,-0.11053238356164383
Total Consumption,1990,365.67739326027396
Production,1990,1413.6949073150688
Industry,1991,192.804745369863
Transport,1991,7.806349589041097
Residential,1991,61.92231375342466
Commercial,1991,20.78008810958904
Other,1991,117.35603117808219
Imports,1991,2.600965150684931
Exports,1991,-0.0915346301369863
Total Consumption,1991,400.66952800000007
Production,1991,1554.261333287671
Industry,1992,201.82522410958904
Transport,1992,8.75278312328767
Residential,1992,68.59397934246574
Commercial,1992,21.852597643835615
Other,1992,126.18998652054793
