flow,period,value
Electricity output in GWh,1987,47462.0
Production,1987,81.9701248219178
Electricity,1987,-81.97012482191782
Electricity output in GWh,1971-1974,28023.5
Production,1971-1974,48.39850391780822
Electricity,1971-1974,-48.39850391780823
Electricity output in GWh,1971,28030.0
Production,1971,48.4097298630137
Electricity,1971,-48.4097298630137
Electricity output in GWh,1972,27203.0
Production,1972,46.98144421917808
Electricity,1972,-46.98144421917809
Electricity output in GWh,1973,28979.0
Production,1973,50.04871786301369
Electricity,1973,-50.04871786301371
Electricity output in GWh,1974,27882.0
Production,1974,48.1541237260274
Electricity,1974,-48.1541237260274
Electricity output in GWh,1975,33311.0
Production,1975,57.530378575342475
Electricity,1975,-57.530378575342475
Electricity output in GWh,1976,34844.0
Production,1976,60.17797457534246
Electricity,1976,-60.17797457534247
Electricity output in GWh,1977,38019.0
Production,1977,65.66141704109589
Electricity,1977,-65.66141704109589
Electricity output in GWh,1978,47172.0
Production,1978,81.46927495890411
Electricity,1978,-81.46927495890411
Electricity output in GWh,1979,45492.0
Production,1979,78.56779989041095
Electricity,1979,-78.56779989041095
Electricity output in GWh,1980,46557.0
Production,1980,80.40712783561644
Electricity,1980,-80.40712783561644
Electricity output in GWh,1981,49583.0
Production,1981,85.63323709589041
Electricity,1981,-85.63323709589041
Electricity output in GWh,1982,48384.0
Production,1982,83.56248197260274
Electricity,1982,-83.56248197260273
Electricity output in GWh,1983,49972.0
Production,1983,86.30506673972602
Electricity,1983,-86.30506673972603
Electricity output in GWh,1984-1987,51581.5
Production,1984-1987,89.08478347945206
Electricity,1984-1987,-89.08478347945206
Electricity output in GWh,1984,53966.0
Production,1984,93.20297830136985
Electricity,1984,-93.20297830136987
Electricity output in GWh,1985,51039.0
Production,1985,88.1478488219178
Electricity,1985,-88.1478488219178
Electricity output in GWh,1986,53859.0
Production,1986,93.01818197260273
Electricity,1986,-93.01818197260273
Electricity output in GWh,1988,57884.0
Production,1988,99.96963265753425
Electricity,1988,-99.96963265753423
Electricity output in GWh,1989,62132.0
Production,1989,107.30621961643836
Electricity,1989,-107.30621961643836
Electricity output in GWh,1990,71656.0
Production,1990,123.75481994520547
Electricity,1990,-123.75481994520547
Electricity output in GWh,1991,72775.0
Production,1991,125.68740958904108
Electricity,1991,-125.6874095890411
Electricity output in GWh,1992,69886.0
Production,1992,120.69790871232877
Electricity,1992,-120.69790871232878
Electricity output in GWh,1993,70478.0
Production,1993,121.72033326027397
Electricity,1993,-121.72033326027397
Electricity output in GWh,1994,82727.0
Production,1994,142.8751952328767
Electricity,1994,-142.8751952328767
Electricity output in GWh,1995,72596.0
Production,1995,125.37826432876713
Electricity,1995,-125.37826432876712
Electricity output in GWh,1996,68930.0
Production,1996,119.04683123287671
Electricity,1996,-119.04683123287673
Electricity output in GWh,1997,74661.0
Production,1997,128.94466076712328
Electricity,1997,-128.94466076712328
Electricity output in GWh,1998,83003.0
Production,1998,143.3518661369863
Electricity,1998,-143.3518661369863
Electricity output in GWh,1999-2002,73279.0
Production,1999-2002,126.55785210958905
Electricity,1999-2002,-126.55785210958905
Electricity output in GWh,1999,80853.0
Production,1999,139.63866887671233
Electricity,1999,-139.63866887671233
Electricity output in GWh,2000,74462.0
Production,2000,128.6009741369863
Electricity,2000,-128.60097413698628
Electricity output in GWh,2001,73697.0
Production,2001,127.27976673972603
Electricity,2001,-127.27976673972601
Electricity output in GWh,2002,64104.0
Production,2002,110.71199868493152
Electricity,2002,-110.71199868493149
Electricity output in GWh,2003,75339.0
Production,2003,130.1156132054795
Electricity,2003,-130.11561320547943
Electricity output in GWh,2004,84723.0
Production,2004,146.32242394520546
Electricity,2004,-146.3224239452055
Electricity output in GWh,2005-2008,111571.0
Production,2005-2008,192.69075884931507
Electricity,2005-2008,-192.69075884931507
Electricity output in GWh,2005,101730.0
Production,2005,175.69467780821918
Electricity,2005,-175.69467780821918
Electricity output in GWh,2006,113720.0
Production,2006,196.40222904109586
Electricity,2006,-196.40222904109592
Electricity output in GWh,2007,120589.0
Production,2007,208.26546252054794
Electricity,2007,-208.2654625205479
Electricity output in GWh,2008,110245.0
Production,2008,190.40066602739725
Electricity,2008,-190.40066602739725
Electricity output in GWh,2009,106909.0
Production,2009,184.63916553424662
Electricity,2009,-184.6391655342466
Electricity output in GWh,2010,114424.0
Production,2010,197.618085260274
Electricity,2010,-197.618085260274
Electricity output in GWh,2011,130668.0
Production,2011,225.67258586301372
Electricity,2011,-225.67258586301372
Electricity output in GWh,2012,125827.0
Production,2012,217.3118472876712
Electricity,2012,-217.31184728767124
Electricity output in GWh,2013,141637.0
Production,2013,244.61680016438353
Electricity,2013,-244.6168001643836
Electricity output in GWh,2014,131643.0
Production,2014,227.3564776438356
Electricity,2014,-227.35647764383563
Electricity output in GWh,2015,18977.0
Production,2015,32.77457879452055
Electricity,2015,-32.77457879452055
Electricity output in GWh,2016,137533.0
Production,2016,237.4861560821918
Electricity,2016,-237.48615608219177
