product,flow,value
Solar/Wind/Other,Residential,14.541294164383563
Combustible renewables and waste,Residential,0.08775917808219177
Combustible renewables and waste,Other,0.08864279452054794
Oil Products,Industry,5.2349052602739725
Oil Products,Transport,67.66857186301371
Oil Products,Residential,16.007093342465755
Oil Products,Other,62.97452019178082
Electricity,Industry,20.375954082191782
Electricity,Residential,23.693652657534248
Electricity,Commercial,22.59523709589041
Electricity,Other,6.702752821917809
Coal and coal products,Electricity output in GWh,36282.0
Gas,Electricity output in GWh,5627.0
Hydro,Electricity output in GWh,28.0
Solar/Wind/Other,Electricity output in GWh,11.0
Oil Products,Electricity output in GWh,6654.0
Coal and coal products,Production,0.6031083835616439
"Crude, NGL and feedstocks",Production,0.040807013698630136
Gas,Production,27.01906279452055
Hydro,Production,0.04835791780821918
Solar/Wind/Other,Production,14.56029191780822
Combustible renewables and waste,Production,0.08775917808219177
Coal and coal products,Imports,154.98849216438356
"Crude, NGL and feedstocks",Imports,226.35513939726025
Combustible renewables and waste,Imports,0.08864279452054794
Solar/Wind/Other,Total Consumption,14.541294164383563
Combustible renewables and waste,Total Consumption,0.17640197260273976
Oil Products,Imports,63.5374842739726
Oil Products,Exports,-84.15195454794522
Electricity,Exports,-2.8790231780821918
Oil Products,Total Consumption,151.88507057534247
Electricity,Total Consumption,73.36759665753425
Electricity,Production,212.33821134246577
Coal and coal products,Electricity,-149.61271032876712
Gas,Electricity,-27.01906279452055
Hydro,Electricity,-0.04835791780821918
Solar/Wind/Other,Electricity,-0.018997753424657534
Oil Products,Electricity,-35.63908254794521
"Crude, NGL and feedstocks",Oil Products,-245.17062684931506
All products,Heat and Waste,134.7551015616438
All products,Industry,25.61085934246575
All products,Transport,67.66855178082193
All products,Residential,54.32979934246575
All products,Commercial,22.59523709589041
All products,Other,69.76591580821918
All products,Total Consumption,239.970363369863
All primary,Production,42.35938720547946
All primary,Imports,381.4322743561643
All primary,Total Consumption,14.717696136986303
All primary,Oil Products,-245.17062684931506
All primary,Electricity,-212.33821134246577
Oil Products,Production,241.2136518630137
All products,Hydrocarbon Heat and Waste,3.9569749863013612
All products,Electricity Heat and Waste,130.79812657534245
