product,flow,value
Coal and coal products,Industry,46.44187589041096
Coal and coal products,Residential,1.4312176438356166
Coal and coal products,Other,3.2695615616438354
Gas,Industry,318.4894639452055
Combustible renewables and waste,Industry,5.310675369863014
Gas,Transport,5.78385197260274
Gas,Residential,313.0189142465753
Solar/Wind/Other,Residential,0.19710671232876711
Combustible renewables and waste,Residential,22.30111331506849
Gas,Commercial,116.49960602739726
Gas,Other,21.39922208219178
Geothermal,Other,4.275779780821917
Combustible renewables and waste,Other,1.1079947671232877
Oil Products,Industry,140.33590249315068
Oil Products,Transport,776.8084177534246
Oil Products,Residential,132.91525147945205
Oil Products,Commercial,18.599764547945206
Oil Products,Other,214.60741868493153
Electricity,Industry,231.16293660273973
Electricity,Transport,14.315670739726029
Electricity,Residential,104.86241769863014
Electricity,Commercial,93.08553764383561
Electricity,Other,8.086134684931507
Coal and coal products,Electricity output in GWh,28225.0
Gas,Electricity output in GWh,86983.0
Hydro,Electricity output in GWh,45365.0
Geothermal,Electricity output in GWh,4403.0
Solar/Wind/Other,Electricity output in GWh,1077.0
Combustible renewables and waste,Electricity output in GWh,1823.0
Oil Products,Electricity output in GWh,91379.0
Coal and coal products,Production,0.5772626027397261
"Crude, NGL and feedstocks",Production,103.17107542465753
Gas,Production,287.35238706849316
Hydro,Production,78.34846219178083
Geothermal,Production,80.2903097260274
Solar/Wind/Other,Production,0.9224754794520548
Combustible renewables and waste,Production,36.17726520547945
Coal and coal products,Imports,239.4946764931507
"Crude, NGL and feedstocks",Imports,1768.1486045753425
Gas,Imports,813.6492186575343
Combustible renewables and waste,Imports,7.509956520547945
Coal and coal products,Exports,-1.7432145753424657
"Crude, NGL and feedstocks",Exports,-5.541620575342466
Gas,Exports,-0.8385319178082193
Combustible renewables and waste,Exports,-0.023014191780821914
Coal and coal products,Total Consumption,51.14265509589041
Gas,Total Consumption,775.1910381917809
Geothermal,Total Consumption,4.275779780821917
Solar/Wind/Other,Total Consumption,0.19710671232876711
Combustible renewables and waste,Total Consumption,28.719783452054795
Oil Products,Imports,388.1565151232877
Electricity,Imports,73.46603956164384
Oil Products,Exports,-406.56365128767123
Electricity,Exports,-0.9118921643835617
Oil Products,Total Consumption,1283.2667750410958
Electricity,Total Consumption,451.512697369863
Electricity,Production,999.1394072328768
Coal and coal products,Electricity,-125.45437583561645
Gas,Electricity,-328.3602226849315
Hydro,Electricity,-78.34846219178081
Geothermal,Electricity,-76.01452994520548
Solar/Wind/Other,Electricity,-0.7253687671232876
Combustible renewables and waste,Electricity,-8.845080876712329
Oil Products,Electricity,-381.3913669315068
"Crude, NGL and feedstocks",Oil Products,-1913.3031486575342
All products,Heat and Waste,582.7201592602742
All products,Industry,741.7408743835616
All products,Transport,796.9079605479452
All products,Residential,574.7260411780821
All products,Commercial,228.18490821917806
All products,Other,252.74611156164383
All products,Total Consumption,2594.3058356438355
All primary,Production,586.8392376986301
All primary,Imports,2828.8024562465753
All primary,Exports,-8.146381260273975
All primary,Total Consumption,859.5263632328767
All primary,Oil Products,-1913.3031486575342
All primary,Electricity,-999.1394072328768
Oil Products,Production,1914.0446434246574
All products,Hydrocarbon Heat and Waste,-0.7414947671231857
All products,Electricity Heat and Waste,583.4616540273973
