flow,period,value
Industry,1971-1974,167.7938364863014
Transport,1971-1974,2.5130101712328767
Residential,1971-1974,65.27494530136987
Other,1971-1974,0.035605726027397255
Electricity output in GWh,1971-1974,3719.25
Production,1971-1974,240.51719141095893
Imports,1971-1974,31.508436767123293
Total Consumption,1971-1974,235.61739768493152
Electricity,1971-1974,-17.460306006849315
Industry,1971,144.5397478630137
Transport,1971,1.901040520547945
Residential,1971,45.593262712328766
Other,1971,0.030645424657534247
Electricity output in GWh,1971,2752.0
Production,1971,221.31065347945207
Imports,1971,0.5493885205479452
Total Consumption,1971,192.06469652054795
Electricity,1971,-13.235268904109587
Industry,1972,163.41128471232878
Transport,1972,2.182853917808219
Residential,1972,54.06188282191781
Other,1972,0.030645424657534247
Electricity output in GWh,1972,3623.0
Production,1972,234.55327246575345
Imports,1972,23.88891180821918
Total Consumption,1972,219.68666687671237
Electricity,1972,-17.683855945205476
Industry,1973,173.45037238356161
Transport,1973,2.4789256712328767
Residential,1973,72.15055558904109
Other,1973,0.03237249315068493
Electricity output in GWh,1973,4482.0
Production,1973,253.33373657534244
Imports,1973,33.033378000000006
Total Consumption,1973,248.1122060547945
Electricity,1973,-20.564124219178083
Industry,1974,189.77394098630134
Transport,1974,3.489220575342466
Residential,1974,89.29408008219177
Other,1974,0.04875956164383561
Electricity output in GWh,1974,4020.0
Production,1974,252.87110312328767
Imports,1974,68.56206873972603
Total Consumption,1974,282.60602128767124
Electricity,1974,-18.35797495890411
Industry,1975,199.1799375616438
Transport,1975,5.059246328767124
Residential,1975,110.65532673972604
Other,1975,0.06689378082191781
Electricity output in GWh,1975,7673.0
Production,1975,241.0181316438356
Imports,1975,143.7715638630137
Total Consumption,1975,314.9614044109589
Electricity,1975,-34.27285087671233
Industry,1976,223.47193912328768
Transport,1976,5.968126164383562
Residential,1976,131.83918739726028
Other,1976,0.09926627397260272
Electricity output in GWh,1976,13988.0
Production,1976,258.9894039178082
Imports,1976,195.6328802739726
Total Consumption,1976,361.37851895890407
Electricity,1976,-63.13987695890411
Industry,1977,225.73160742465754
Transport,1977,5.962523232876713
Residential,1977,139.20041520547946
Other,1977,0.09018912328767123
Electricity output in GWh,1977,11257.0
Production,1977,227.1972258630137
Imports,1977,213.51914463013702
Total Consumption,1977,370.98475506849314
Electricity,1977,-63.24087030136987
Industry,1978,178.94206863013702
Transport,1978,4.8823021369863016
Residential,1978,155.15153947945205
Other,1978,42.70952021917809
Electricity output in GWh,1978,10986.0
Production,1978,226.9261966027397
Imports,1978,232.72643564383563
Total Consumption,1978,381.6854304657535
Electricity,1978,-46.23844328767123
Industry,1979,185.45309676712327
Transport,1979,4.983295479452055
Residential,1979,158.28815693150685
Other,1979,43.36725216438356
Electricity output in GWh,1979,11088.0
Production,1979,221.40819268493152
Imports,1979,241.6559822191781
Total Consumption,1979,392.0918013424657
Electricity,1979,-48.151593369863015
Industry,1980,181.5897248767123
Transport,1980,5.153331397260275
Residential,1980,167.81412452054795
Other,1980,41.574073095890405
Electricity output in GWh,1980,9226.0
Production,1980,206.04053641095888
Imports,1980,236.24067863013698
Total Consumption,1980,396.1312538904109
Electricity,1980,-39.80206065753424
Industry,1981,173.58546528767124
Transport,1981,5.1460013972602745
Residential,1981,172.57517038356164
Other,1981,34.77689380821918
Electricity output in GWh,1981,8672.0
Production,1981,230.9030730410959
Imports,1981,228.4349515890411
Total Consumption,1981,386.0835308767124
Electricity,1981,-37.39175583561644
Industry,1982,157.85616890410958
Transport,1982,5.135217260273972
Residential,1982,178.74743202739725
Other,1982,30.053843452054792
Electricity output in GWh,1982,11985.0
Production,1982,237.08656063013697
Imports,1982,221.75300391780823
Total Consumption,1982,371.79264156164385
Electricity,1982,-53.0135924109589
Industry,1983,152.71966638356164
Transport,1983,5.124413041095891
Residential,1983,191.52048920547946
Other,1983,29.743111698630138
Electricity output in GWh,1983,13654.0
Production,1983,212.58869652054796
Imports,1983,243.13409178082193
Total Consumption,1983,379.1077004109589
Electricity,1983,-59.585489671232885
Industry,1984-1987,172.9103873493151
Transport,1984-1987,4.909282561643836
Residential,1984-1987,235.87849630136986
Other,1984-1987,39.34267047945205
Electricity output in GWh,1984-1987,27047.25
Production,1984-1987,245.5724464041096
Imports,1984-1987,338.1637010616438
Exports,1984-1987,-0.6901847671232878
Total Consumption,1984-1987,453.0408266506849
Electricity,1984-1987,-103.49681359589043
Industry,1984,163.68490457534247
Transport,1984,5.11535597260274
Residential,1984,206.62962742465754
Other,1984,38.0291846849315
Electricity output in GWh,1984,24874.0
Production,1984,225.00011358904106
Imports,1984,315.546599479452
Total Consumption,1984,413.4590726575343
Electricity,1984,-103.48012027397259
Industry,1985,156.8355115890411
Transport,1985,4.808078356164383
Residential,1985,231.28802857534248
Other,1985,39.1102693150685
Electricity output in GWh,1985,24712.0
Production,1985,231.6514158356164
Imports,1985,322.0278658082192
Total Consumption,1985,432.0418878356165
Electricity,1985,-93.61448249315069
Industry,1986,167.51979991780823
Transport,1986,4.85856498630137
Residential,1986,246.07392383561643
Other,1986,41.02902232876712
Electricity output in GWh,1986,26871.0
Production,1986,259.58927906849317
Imports,1986,331.5499575342466
Exports,1986,-2.760739068493151
Total Consumption,1986,459.48131106849314
Electricity,1986,-99.37847317808222
Industry,1987,203.60133331506847
Transport,1987,4.855130931506849
Residential,1987,259.522405369863
Other,1987,39.2022055890411
Electricity output in GWh,1987,31732.0
Production,1987,266.04897712328767
Imports,1987,383.5303814246575
Total Consumption,1987,507.1810350410958
Electricity,1987,-117.51417843835615
