flow,period,value
Electricity output in GWh,1971-1974,2556.5
Production,1971-1974,44.13607879452055
Electricity,1971-1974,-44.13607879452055
Electricity output in GWh,1971,2664.0
Production,1971,45.991994630136986
Electricity,1971,-45.991994630136986
Electricity output in GWh,1972,2582.0
Production,1972,44.57632060273973
Electricity,1972,-44.57632060273973
Electricity output in GWh,1973,2480.0
Production,1973,42.81535336986301
Electricity,1973,-42.81535336986301
Electricity output in GWh,1974,2500.0
Production,1974,43.16064657534246
Electricity,1974,-43.16064657534246
Electricity output in GWh,1975,2483.0
Production,1975,42.867145342465754
Electricity,1975,-42.867145342465754
Electricity output in GWh,1976,2523.0
Production,1976,43.557731753424655
Electricity,1976,-43.557731753424655
Electricity output in GWh,1977,2501.0
Production,1977,43.17791726027397
Electricity,1977,-43.17791726027397
Electricity output in GWh,1978,2494.0
Production,1978,43.05706263013698
Electricity,1978,-43.05706263013698
Electricity output in GWh,1979,2500.0
Production,1979,43.16064657534246
Electricity,1979,-43.16064657534246
Electricity output in GWh,1980,2672.0
Production,1980,46.1300998630137
Electricity,1980,-46.1300998630137
Electricity output in GWh,1981,2664.0
Production,1981,45.991994630136986
Electricity,1981,-45.991994630136986
Electricity output in GWh,1982,2737.0
Production,1982,47.25227265753424
Electricity,1982,-47.25227265753424
Electricity output in GWh,1983,2714.0
Production,1983,46.85520756164384
Electricity,1983,-46.85520756164384
Electricity output in GWh,1984-1987,2816.75
Production,1984-1987,48.6290976849315
Electricity,1984-1987,-48.6290976849315
Electricity output in GWh,1984,2840.0
Production,1984,49.03049049315069
Electricity,1984,-49.03049049315069
Electricity output in GWh,1985,2681.0
Production,1985,46.285475780821926
Electricity,1985,-46.285475780821926
Electricity output in GWh,1986,2760.0
Production,1986,47.64935783561644
Electricity,1986,-47.64935783561644
Electricity output in GWh,1987,2986.0
Production,1987,51.55106663013698
Electricity,1987,-51.55106663013698
Electricity output in GWh,1988,3082.0
Production,1988,53.208449917808224
Electricity,1988,-53.208449917808224
Other,1989,4.028327013698631
Electricity output in GWh,1989,3155.0
Production,1989,58.497054958904116
Total Consumption,1989,4.028327013698631
Electricity,1989,-54.46872794520548
Other,1990,4.028327013698631
Electricity output in GWh,1990,3222.0
Production,1990,59.65376912328768
Total Consumption,1990,4.028327013698631
Electricity,1990,-55.625442109589045
Other,1991,4.028327013698631
Electricity output in GWh,1991,3182.0
Production,1991,58.96320279452055
Total Consumption,1991,4.028327013698631
Electricity,1991,-54.93487578082192
Other,1992,4.337171041095891
Electricity output in GWh,1992,3459.0
Production,1992,64.05423923287671
Total Consumption,1992,4.337171041095891
Electricity,1992,-59.71706819178082
Other,1993,4.275779780821917
Electricity output in GWh,1993,3667.0
Production,1993,67.58382501369863
Total Consumption,1993,4.275779780821917
Electricity,1993,-63.30804523287671
Other,1994,4.275779780821917
Electricity output in GWh,1994,3417.0
Production,1994,63.26776035616437
Total Consumption,1994,4.275779780821917
Electricity,1994,-58.99198057534246
Other,1995,4.275779780821917
Electricity output in GWh,1995,3436.0
Production,1995,63.595782876712335
Total Consumption,1995,4.275779780821917
Electricity,1995,-59.31998301369863
Other,1996,4.275779780821917
Electricity output in GWh,1996,3762.0
Production,1996,69.22391753424658
Total Consumption,1996,4.275779780821917
Electricity,1996,-64.94813775342466
Other,1997,4.275779780821917
Electricity output in GWh,1997,3905.0
Production,1997,71.69270169863013
Total Consumption,1997,4.275779780821917
Electricity,1997,-67.41692191780822
Other,1998,4.275779780821917
Electricity output in GWh,1998,4214.0
Production,1998,77.02737528767123
Total Consumption,1998,4.275779780821917
Electricity,1998,-72.75159550684931
Other,1999-2002,4.317741520547944
Electricity output in GWh,1999-2002,4569.25
Production,1999-2002,83.20245345890412
Total Consumption,1999-2002,4.317741520547944
Electricity,1999-2002,-78.88471193835616
Other,1999,4.275779780821917
Electricity output in GWh,1999,4403.0
Production,1999,80.2903097260274
Total Consumption,1999,4.275779780821917
Electricity,1999,-76.01452994520548
Other,2000,4.275779780821917
Electricity output in GWh,2000,4705.0
Production,2000,85.50410860273972
Total Consumption,2000,4.275779780821917
Electricity,2000,-81.22832882191781
Other,2001,4.359703260273973
Electricity output in GWh,2001,4507.0
Production,2001,82.1697217260274
Total Consumption,2001,4.359703260273973
Electricity,2001,-77.81001846575342
Other,2002,4.359703260273973
Electricity output in GWh,2002,4662.0
Production,2002,84.84567378082193
Total Consumption,2002,4.359703260273973
Electricity,2002,-80.48597052054794
Other,2003,4.359703260273973
Electricity output in GWh,2003,5341.0
Production,2003,96.56811101369864
Total Consumption,2003,4.359703260273973
Electricity,2003,-92.20840775342467
Other,2004,4.275779780821917
Electricity output in GWh,2004,5437.0
Production,2004,98.14635038356165
Total Consumption,2004,4.275779780821917
Electricity,2004,-93.87057060273975
Other,2005-2008,4.275779780821917
Electricity output in GWh,2005-2008,5485.0
Production,2005-2008,98.97574992465753
Total Consumption,2005-2008,4.275779780821917
Electricity,2005-2008,-94.6999701438356
Other,2005,4.275779780821917
Electricity output in GWh,2005,5324.0
Production,2005,96.19883967123289
Total Consumption,2005,4.275779780821917
Electricity,2005,-91.92305989041095
Other,2006,4.275779780821917
Electricity output in GWh,2006,5527.0
Production,2006,99.70157556164384
Total Consumption,2006,4.275779780821917
Electricity,2006,-95.42579578082191
Other,2007,4.275779780821917
Electricity output in GWh,2007,5569.0
Production,2007,100.42282747945207
Total Consumption,2007,4.275779780821917
Electricity,2007,-96.14704769863013
Other,2008,4.275779780821917
Electricity output in GWh,2008,5520.0
Production,2008,99.57975698630136
Total Consumption,2008,4.275779780821917
Electricity,2008,-95.30397720547944
Other,2009,4.275779780821917
Electricity output in GWh,2009,5342.0
Production,2009,96.49856638356162
Total Consumption,2009,4.275779780821917
Electricity,2009,-92.22278660273972
Industry,2010,0.05131000000000001
Residential,2010,0.026849890410958904
Commercial,2010,1.5274113424657536
Other,2010,0.9087593424657534
Electricity output in GWh,2010,5376.0
Production,2010,95.89049769863014
Total Consumption,2010,2.514350657534247
Electricity,2010,-92.8112149041096
Industry,2011,0.05131000000000001
Residential,2011,0.026849890410958904
Commercial,2011,1.5274113424657536
Other,2011,0.9087593424657534
Electricity output in GWh,2011,113.54471232876712
Production,2011,100.69570430136987
Total Consumption,2011,2.514350657534247
Electricity,2011,-97.61644158904109
Industry,2012,0.03835698630136986
Residential,2012,0.030685589041095893
Commercial,2012,1.5461078630136988
Other,2012,0.7586650410958904
Electricity output in GWh,2012,5592.0
Production,2012,99.53372860273973
Total Consumption,2012,2.3738355616438356
Electricity,2012,-96.53646147945206
Industry,2013,0.04699232876712329
Residential,2013,0.028295808219178084
Commercial,2013,1.5499435616438357
Other,2013,0.7663364383561644
Electricity output in GWh,2013,5659.0
Production,2013,100.717774630137
Total Consumption,2013,2.3915882191780824
Electricity,2013,-97.70227287671233
Industry,2014,0.039320931506849316
Residential,2014,0.009117315068493151
Commercial,2014,1.485198575342466
Other,2014,0.7011094794520547
Electricity output in GWh,2014,5916.0
Production,2014,105.10912742465754
Total Consumption,2014,2.234766383561644
Electricity,2014,-102.14109997260275
Industry,2016,0.04701241095890411
Residential,2016,0.017752657534246576
Commercial,2016,1.5281744657534246
Other,2016,0.9118118356164384
Electricity output in GWh,2016,6289.0
Production,2016,111.86991778082192
Total Consumption,2016,2.5047513698630137
Electricity,2016,-108.58858805479453
