flow,period,value
Electricity output in GWh,1971-1974,38936.75
Production,1971-1974,67.24643415068493
Electricity,1971-1974,-67.24643415068495
Electricity output in GWh,1971,39079.0
Production,1971,67.49210964383562
Electricity,1971,-67.49210964383562
Electricity output in GWh,1972,41348.0
Production,1972,71.41082805479452
Electricity,1972,-71.41082805479452
Electricity output in GWh,1973,37523.0
Production,1973,64.80479106849315
Electricity,1973,-64.80479106849315
Electricity output in GWh,1974,37797.0
Production,1974,65.27800783561644
Electricity,1974,-65.27800783561645
Electricity output in GWh,1975,41021.0
Production,1975,70.84607665753424
Electricity,1975,-70.84607665753424
Electricity output in GWh,1976,39176.0
Production,1976,67.65963528767124
Electricity,1976,-67.65963528767124
Electricity output in GWh,1977,51139.0
Production,1977,88.32055567123287
Electricity,1977,-88.32055567123288
Electricity output in GWh,1978,45491.0
Production,1978,78.56607282191781
Electricity,1978,-78.5660728219178
Electricity output in GWh,1979,45947.0
Production,1979,79.35361605479451
Electricity,1979,-79.35361605479451
Electricity output in GWh,1980,45244.0
Production,1980,78.13948690410959
Electricity,1980,-78.1394869041096
Electricity output in GWh,1981,43034.0
Production,1981,74.32266553424657
Electricity,1981,-74.32266553424658
Electricity output in GWh,1982,41462.0
Production,1982,71.6077138630137
Electricity,1982,-71.6077138630137
Electricity output in GWh,1983,41445.0
Production,1983,71.57835369863014
Electricity,1983,-71.57835369863014
Electricity output in GWh,1984-1987,41023.5
Production,1984-1987,70.85039432876712
Electricity,1984-1987,-70.85039432876712
Electricity output in GWh,1984,42401.0
Production,1984,73.2294311780822
Electricity,1984,-73.2294311780822
Electricity output in GWh,1985,41092.0
Production,1985,70.96869852054795
Electricity,1985,-70.96869852054795
Electricity output in GWh,1986,41096.0
Production,1986,70.97560679452054
Electricity,1986,-70.97560679452056
Electricity output in GWh,1987,39505.0
Production,1987,68.22784082191781
Electricity,1987,-68.22784082191781
Electricity output in GWh,1988,40676.0
Production,1988,70.25023802739726
Electricity,1988,-70.25023802739726
Electricity output in GWh,1989,34057.0
Production,1989,58.81877167123288
Electricity,1989,-58.818771671232874
Electricity output in GWh,1990,31626.0
Production,1990,54.62026816438355
Electricity,1990,-54.62026816438356
Electricity output in GWh,1991,42239.0
Production,1991,72.94964608219178
Electricity,1991,-72.94964608219178
Electricity output in GWh,1992,42200.0
Production,1992,72.8822904109589
Electricity,1992,-72.8822904109589
Electricity output in GWh,1993,41425.0
Production,1993,71.54381232876712
Electricity,1993,-71.54381232876713
Electricity output in GWh,1994,44658.0
Production,1994,77.12742476712329
Electricity,1994,-77.12742476712329
Electricity output in GWh,1995,37782.0
Production,1995,65.25210180821918
Electricity,1995,-65.25210180821918
Electricity output in GWh,1996,42037.0
Production,1996,72.60077824657533
Electricity,1996,-72.60077824657535
Electricity output in GWh,1997,41603.0
Production,1997,71.85123052054794
Electricity,1997,-71.85123052054794
Electricity output in GWh,1998,41220.0
Production,1998,71.18976328767124
Electricity,1998,-71.18976328767124
Electricity output in GWh,1999-2002,43975.25
Production,1999-2002,75.94826875342466
Electricity,1999-2002,-75.94826875342467
Electricity output in GWh,1999,45365.0
Production,1999,78.34846219178083
Electricity,1999,-78.34846219178081
Electricity output in GWh,2000,44205.0
Production,2000,76.34506273972603
Electricity,2000,-76.34506273972603
Electricity output in GWh,2001,46811.0
Production,2001,80.84580323287672
Electricity,2001,-80.84580323287672
Electricity output in GWh,2002,39520.0
Production,2002,68.25374684931506
Electricity,2002,-68.25374684931506
Electricity output in GWh,2003,36670.0
Production,2003,63.33160164383561
Electricity,2003,-63.33160164383561
Electricity output in GWh,2004,42338.0
Production,2004,73.1206258630137
Electricity,2004,-73.1206258630137
Electricity output in GWh,2005-2008,36875.0
Production,2005-2008,63.68565068493151
Electricity,2005-2008,-63.6856506849315
Electricity output in GWh,2005,36067.0
Production,2005,62.290179342465755
Electricity,2005,-62.29017934246575
Electricity output in GWh,2006,36994.0
Production,2006,63.89117183561643
Electricity,2006,-63.89117183561645
Electricity output in GWh,2007,32816.0
Production,2007,56.67547967123288
Electricity,2007,-56.67547967123287
Electricity output in GWh,2008,41623.0
Production,2008,71.88577189041096
Electricity,2008,-71.88577189041096
Electricity output in GWh,2009,49138.0
Production,2009,84.86469161643836
Electricity,2009,-84.86469161643835
Electricity output in GWh,2010,51116.0
Production,2010,88.2808330958904
Electricity,2010,-88.28083309589042
Electricity output in GWh,2011,920.2262739726028
Production,2011,79.13945956164383
Electricity,2011,-79.13945956164383
Electricity output in GWh,2012,41875.0
Production,2012,72.32099315068493
Electricity,2012,-72.32099315068493
Electricity output in GWh,2013,52774.0
Production,2013,91.14431265753426
Electricity,2013,-91.14431265753424
Electricity output in GWh,2014,58545.0
Production,2014,101.11122493150684
Electricity,2014,-101.11122493150685
Electricity output in GWh,2015,24.0
Production,2015,0.04144964383561644
Electricity,2015,-0.04144964383561644
Electricity output in GWh,2016,42432.0
Production,2016,73.26977630136986
Electricity,2016,-73.26977630136987
