product,flow,value
Combustible renewables and waste,Residential,0.27088868493150686
Oil Products,Industry,17.164209150684933
Oil Products,Transport,6.582299835616438
Oil Products,Residential,1.4840137260273973
Oil Products,Other,1.959580109589041
Electricity,Industry,1.0448764383561644
Electricity,Residential,0.5682055342465754
Electricity,Commercial,0.04835791780821918
Electricity,Other,0.21588356164383563
Hydro,Electricity output in GWh,135.0
Combustible renewables and waste,Electricity output in GWh,299.0
Oil Products,Electricity output in GWh,1536.0
Hydro,Production,0.23315424657534245
Combustible renewables and waste,Production,4.729456575342466
"Crude, NGL and feedstocks",Imports,22.139471753424658
Combustible renewables and waste,Total Consumption,0.27088868493150686
Oil Products,Imports,22.763405369863012
Oil Products,Exports,-1.133900794520548
Oil Products,Total Consumption,27.190102821917808
Electricity,Total Consumption,1.8773234520547946
Electricity,Production,12.230295780821919
Hydro,Electricity,-0.23315424657534245
Combustible renewables and waste,Electricity,-3.4355810410958902
Oil Products,Electricity,-8.561560493150687
"Crude, NGL and feedstocks",Oil Products,-22.139471753424658
All products,Heat and Waste,14.213311808219178
All products,Industry,18.209085589041095
All products,Transport,6.582299835616438
All products,Residential,2.323087863013699
All products,Commercial,0.04835791780821918
All products,Other,2.175443589041096
All products,Total Consumption,29.33831495890411
All primary,Production,4.962610821917808
All primary,Imports,22.139471753424658
All primary,Total Consumption,0.27088868493150686
All primary,Oil Products,-22.139471753424658
All primary,Electricity,-12.230295780821919
Oil Products,Production,17.189352054794522
All products,Hydrocarbon Heat and Waste,4.950119698630136
All products,Electricity Heat and Waste,9.263192109589042
