flow,period,value
Imports,1971-1974,34.62637276027397
Oil Products,1971-1974,-35.061162253424655
Imports,1971,30.90032791780822
Oil Products,1971,-34.84376750684932
Imports,1972,38.423197287671236
Oil Products,1972,-34.398866630136986
Imports,1973,37.007603589041096
Oil Products,1973,-37.8165142739726
Imports,1974,32.17436224657534
Oil Products,1974,-33.18550060273973
Imports,1975,29.131789698630136
Oil Products,1975,-29.131789698630136
Imports,1976,24.64615101369863
Oil Products,1976,-24.64615101369863
Imports,1977,19.129271698630134
Oil Products,1977,-19.129271698630134
Imports,1978,19.53754265753425
Oil Products,1978,-19.53754265753425
Imports,1979,21.838640520547944
Oil Products,1979,-21.838640520547944
Imports,1980,17.79161698630137
Oil Products,1980,-17.79161698630137
Imports,1981,14.936953506849317
Oil Products,1981,-14.936953506849317
Imports,1982,22.139471753424658
Oil Products,1982,-22.139471753424658
Imports,1983,19.653256246575342
Oil Products,1983,-19.653256246575342
Imports,1984-1987,14.648372410958904
Oil Products,1984-1987,-14.648372410958904
Imports,1984,12.78837989041096
Oil Products,1984,-12.78837989041096
Imports,1985,17.301069287671233
Oil Products,1985,-17.301069287671233
Imports,1986,15.861999506849315
Oil Products,1986,-15.861999506849315
Imports,1987,12.64204095890411
Oil Products,1987,-12.64204095890411
Imports,1988,14.257030739726027
Oil Products,1988,-14.337921808219177
Imports,1989,13.872798164383564
Oil Products,1989,-17.06797528767123
Imports,1990,27.098467780821917
Oil Products,1990,-25.864878986301374
Imports,1991,18.32178684931507
Oil Products,1991,-17.755549369863015
Imports,1992,24.085275479452058
Oil Products,1992,-24.166166547945206
Imports,1993,14.84349098630137
Oil Products,1993,-14.84349098630137
Imports,1994,16.178193616438357
Oil Products,1994,-16.178193616438357
Imports,1995,14.600817780821918
Oil Products,1995,-14.600817780821918
Imports,1996,14.176139671232876
Oil Products,1996,-14.176139671232876
Imports,1997,14.216585205479452
Oil Products,1997,-14.216585205479452
Imports,1998,14.39859010958904
Oil Products,1998,-14.39859010958904
Imports,1999-2002,19.150925321917807
Oil Products,1999-2002,-19.110479787671235
Imports,1999,10.33381391780822
Oil Products,1999,-10.33381391780822
Imports,2000,21.415870219178085
Oil Products,2000,-21.415870219178085
Imports,2001,21.415870219178085
Oil Products,2001,-21.415870219178085
Imports,2002,23.438146931506854
Oil Products,2002,-23.27636479452055
Imports,2003,17.856663205479453
Oil Products,2003,-17.856663205479453
Imports,2004,15.268169095890412
Oil Products,2004,-15.268169095890412
Imports,2005-2008,17.57354948630137
Oil Products,2005-2008,-17.52299256849315
Imports,2005,9.423789397260276
Oil Products,2005,-9.423789397260276
Imports,2006,20.7282961369863
Oil Products,2006,-20.526068465753422
Imports,2007,17.290425726027397
Oil Products,2007,-17.290425726027397
Imports,2008,22.851686684931508
Oil Products,2008,-22.851686684931508
Imports,2009,24.065052712328768
Oil Products,2009,-24.065052712328768
Imports,2010,23.195473726027398
Oil Products,2010,-23.195473726027398
Imports,2011,24.550399123287676
Oil Products,2011,-24.550399123287676
Imports,2012,24.429062520547944
Oil Products,2012,-24.429062520547944
Imports,2013,23.620151835616436
Oil Products,2013,-23.620151835616436
Imports,2014,19.373370739726028
Oil Products,2014,-19.373370739726028
Imports,2016,24.752626794520552
Oil Products,2016,-24.752626794520552
Imports,2015,24.631290191780817
Oil Products,2015,-24.631290191780817
