flow,period,value
Electricity output in GWh,1971-1974,122.0
Production,1971-1974,0.21070235616438357
Electricity,1971-1974,-0.21070235616438357
Electricity output in GWh,1971,126.0
Production,1971,0.2176106301369863
Electricity,1971,-0.2176106301369863
Electricity output in GWh,1972,141.0
Production,1972,0.24351665753424656
Electricity,1972,-0.24351665753424656
Electricity output in GWh,1973,99.0
Production,1973,0.17097978082191778
Electricity,1973,-0.17097978082191778
Electricity output in GWh,1974,122.0
Production,1974,0.21070235616438357
Electricity,1974,-0.21070235616438357
Electricity output in GWh,1975,131.0
Production,1975,0.22624597260273974
Electricity,1975,-0.22624597260273974
Electricity output in GWh,1976,110.0
Production,1976,0.18997753424657535
Electricity,1976,-0.18997753424657535
Electricity output in GWh,1977,109.0
Production,1977,0.18825046575342466
Electricity,1977,-0.18825046575342466
Electricity output in GWh,1978,115.0
Production,1978,0.19861287671232877
Electricity,1978,-0.19861287671232877
Electricity output in GWh,1979,115.0
Production,1979,0.19861287671232877
Electricity,1979,-0.19861287671232877
Electricity output in GWh,1980,120.0
Production,1980,0.2072482191780822
Electricity,1980,-0.2072482191780822
Electricity output in GWh,1981,125.0
Production,1981,0.21588356164383563
Electricity,1981,-0.21588356164383563
Electricity output in GWh,1982,135.0
Production,1982,0.23315424657534245
Electricity,1982,-0.23315424657534245
Electricity output in GWh,1983,150.0
Production,1983,0.25906027397260273
Electricity,1983,-0.25906027397260273
Electricity output in GWh,1984-1987,143.75
Production,1984-1987,0.24826609589041096
Electricity,1984-1987,-0.24826609589041096
Electricity output in GWh,1984,150.0
Production,1984,0.25906027397260273
Electricity,1984,-0.25906027397260273
Electricity output in GWh,1985,150.0
Production,1985,0.25906027397260273
Electricity,1985,-0.25906027397260273
Electricity output in GWh,1986,150.0
Production,1986,0.25906027397260273
Electricity,1986,-0.25906027397260273
Electricity output in GWh,1987,125.0
Production,1987,0.21588356164383563
Electricity,1987,-0.21588356164383563
Electricity output in GWh,1988,101.0
Production,1988,0.17443391780821918
Electricity,1988,-0.17443391780821918
Electricity output in GWh,1989,127.0
Production,1989,0.219337698630137
Electricity,1989,-0.219337698630137
Electricity output in GWh,1990,88.0
Production,1990,0.15198202739726027
Electricity,1990,-0.15198202739726027
Electricity output in GWh,1991,96.0
Production,1991,0.16579857534246575
Electricity,1991,-0.16579857534246575
Electricity output in GWh,1992,87.0
Production,1992,0.1502549589041096
Electricity,1992,-0.1502549589041096
Electricity output in GWh,1993,72.0
Production,1993,0.12434893150684932
Electricity,1993,-0.12434893150684932
Electricity output in GWh,1994,89.0
Production,1994,0.15370909589041096
Electricity,1994,-0.15370909589041096
Electricity output in GWh,1995,96.0
Production,1995,0.16579857534246575
Electricity,1995,-0.16579857534246575
Electricity output in GWh,1996,102.0
Production,1996,0.17616098630136987
Electricity,1996,-0.17616098630136987
Electricity output in GWh,1997,110.0
Production,1997,0.18997753424657535
Electricity,1997,-0.18997753424657535
Electricity output in GWh,1998,114.0
Production,1998,0.1968858082191781
Electricity,1998,-0.1968858082191781
Electricity output in GWh,1999-2002,96.25
Production,1999-2002,0.16623034246575344
Electricity,1999-2002,-0.16623034246575344
Electricity output in GWh,1999,116.0
Production,1999,0.20033994520547946
Electricity,1999,-0.20033994520547946
Electricity output in GWh,2000,115.0
Production,2000,0.19861287671232877
Electricity,2000,-0.19861287671232877
Electricity output in GWh,2001,60.0
Production,2001,0.1036241095890411
Electricity,2001,-0.1036241095890411
Electricity output in GWh,2002,94.0
Production,2002,0.16234443835616438
Electricity,2002,-0.16234443835616438
Electricity output in GWh,2003,117.0
Production,2003,0.20206701369863012
Electricity,2003,-0.20206701369863012
Electricity output in GWh,2004,134.0
Production,2004,0.23142717808219176
Electricity,2004,-0.23142717808219176
Electricity output in GWh,2005-2008,159.0
Production,2005-2008,0.2746038904109589
Electricity,2005-2008,-0.2746038904109589
Electricity output in GWh,2005,152.0
Production,2005,0.2625144109589041
Electricity,2005,-0.2625144109589041
Electricity output in GWh,2006,166.0
Production,2006,0.2866933698630137
Electricity,2006,-0.2866933698630137
Electricity output in GWh,2007,160.0
Production,2007,0.2763309589041096
Electricity,2007,-0.2763309589041096
Electricity output in GWh,2008,158.0
Production,2008,0.2728768219178082
Electricity,2008,-0.2728768219178082
Electricity output in GWh,2009,140.0
Production,2009,0.24178958904109588
Electricity,2009,-0.24178958904109588
Electricity output in GWh,2010,152.0
Production,2010,0.2625144109589041
Electricity,2010,-0.2625144109589041
Electricity output in GWh,2011,2.028301369863014
Production,2011,0.17443391780821918
Electricity,2011,-0.17443391780821918
Electricity output in GWh,2012,151.0
Production,2012,0.2607873424657534
Electricity,2012,-0.2607873424657534
Electricity output in GWh,2013,116.0
Production,2013,0.20033994520547946
Electricity,2013,-0.20033994520547946
Electricity output in GWh,2014,136.0
Production,2014,0.23488131506849314
Electricity,2014,-0.23488131506849314
Electricity output in GWh,2016,119.0
Production,2016,0.20548098630136985
Electricity,2016,-0.20548098630136985
Electricity output in GWh,2015,129.0
Production,2015,0.22279183561643834
Electricity,2015,-0.22279183561643834
