product,flow,value
Coal and coal products,Industry,399.14534989041096
"Crude, NGL and feedstocks",Industry,1.590047698630137
Coal and coal products,Transport,0.5719408219178082
Coal and coal products,Residential,82.19187238356164
Coal and coal products,Commercial,21.678003068493148
Coal and coal products,Other,1.1328565205479453
Gas,Industry,30.74565487671233
Gas,Residential,22.801802520547945
Gas,Commercial,8.34346789041096
Gas,Other,0.44106517808219176
Oil Products,Industry,997.805869369863
Oil Products,Transport,843.5598359178082
Oil Products,Residential,182.30561484931505
Oil Products,Commercial,306.2773023835617
Oil Products,Other,764.4916078904109
Electricity,Industry,483.67589391780814
Electricity,Transport,24.03388515068493
Electricity,Residential,151.99238980821917
Electricity,Commercial,66.51631594520548
Electricity,Other,2.158835616438356
Heat,Commercial,1.1322540547945206
Coal and coal products,Electricity output in GWh,42317.0
Gas,Electricity output in GWh,20280.0
Nuclear,Electricity output in GWh,25125.0
Hydro,Electricity output in GWh,83406.0
Geothermal,Electricity output in GWh,100.0
Oil Products,Electricity output in GWh,301918.0
Coal and coal products,Production,266.3429402465753
"Crude, NGL and feedstocks",Production,14.13471010958904
Gas,Production,43.1354835890411
Nuclear,Production,131.49270934246576
Hydro,Production,144.04787473972604
Geothermal,Production,1.7264258630136986
Coal and coal products,Imports,892.0520835068493
"Crude, NGL and feedstocks",Imports,4579.5443391232875
Gas,Imports,117.53751394520549
Coal and coal products,Exports,-7.374120575342466
Coal and coal products,Total Consumption,504.7200226849315
"Crude, NGL and feedstocks",Total Consumption,1.590047698630137
Gas,Total Consumption,62.33199046575343
Oil Products,Imports,415.42624383561645
Oil Products,Exports,-24.924650849315068
Oil Products,Total Consumption,3094.440210328767
Electricity,Total Consumption,728.3773204383562
Electricity,Production,1907.7827147945206
Coal and coal products,Electricity,-226.4922806849315
"Crude, NGL and feedstocks",Electricity,-430.2080021643836
Gas,Electricity,-89.00320961643835
Nuclear,Electricity,-131.49270934246576
Hydro,Electricity,-144.047874739726
Geothermal,Electricity,-1.7264258630136986
Oil Products,Electricity,-884.8122123835617
"Crude, NGL and feedstocks",Oil Products,-4160.066452849315
All products,Heat and Waste,1066.8478221643836
All products,Industry,1912.962795671233
All products,Transport,868.1656418082192
All products,Residential,439.2916594794521
All products,Commercial,403.94736342465757
All products,Other,768.2243852876712
All products,Total Consumption,4391.459591616438
All primary,Production,600.8801438904109
All primary,Imports,5589.133936575342
All primary,Exports,-7.374120575342466
All primary,Total Consumption,568.642060849315
All primary,Oil Products,-4160.066452849315
All primary,Electricity,-1907.7827147945206
Oil Products,Production,4226.464665424658
All products,Hydrocarbon Heat and Waste,-66.39821257534277
All products,Electricity Heat and Waste,1133.2460347397264
