product,flow,value
Coal and coal products,Industry,588.0502440684932
"Crude, NGL and feedstocks",Industry,0.5302250890410959
Coal and coal products,Commercial,10.743766760273974
Coal and coal products,Other,7.714192410958904
"Crude, NGL and feedstocks",Other,11.189777178082192
Gas,Industry,145.3692277328767
Combustible renewables and waste,Industry,52.64687652739726
Gas,Residential,185.436815130137
Solar/Wind/Other,Residential,10.20845083561644
Combustible renewables and waste,Residential,0.445126801369863
Gas,Commercial,295.12768958904115
Geothermal,Commercial,2.3789866438356166
Solar/Wind/Other,Commercial,0.3529646027397261
Gas,Other,7.22485466438356
Geothermal,Other,1.781697075342466
Oil Products,Industry,540.6340304383561
Oil Products,Transport,1607.7493825410959
Oil Products,Residential,290.95273245205476
Oil Products,Commercial,450.3267435342466
Oil Products,Other,879.9687943904111
Electricity,Industry,580.4007966438356
Electricity,Transport,32.60316724657534
Electricity,Residential,492.1549366849315
Electricity,Commercial,590.5127826712329
Electricity,Other,4.821111698630137
Heat,Residential,0.636023095890411
Heat,Commercial,11.154266842465752
Coal and coal products,Electricity output in GWh,300215.75
"Crude, NGL and feedstocks",Electricity output in GWh,35162.75
Gas,Electricity output in GWh,268997.75
Nuclear,Electricity output in GWh,282535.25
Hydro,Electricity output in GWh,78612.75
Geothermal,Electricity output in GWh,3025.0
Solar/Wind/Other,Electricity output in GWh,4271.75
Combustible renewables and waste,Electricity output in GWh,22460.75
Oil Products,Electricity output in GWh,101135.5
"Crude, NGL and feedstocks",Production,15.39433044520548
Gas,Production,66.36767258219177
Nuclear,Production,1478.6597835753423
Hydro,Production,135.7696036849315
Geothermal,Production,56.385427554794525
Solar/Wind/Other,Production,17.93877426712329
Combustible renewables and waste,Production,143.9105426712329
Coal and coal products,Imports,2287.8869136438357
"Crude, NGL and feedstocks",Imports,4181.771998643836
Gas,Imports,1515.7678784520547
Coal and coal products,Exports,-21.102552883561643
Coal and coal products,Total Consumption,606.5082132808219
"Crude, NGL and feedstocks",Total Consumption,11.720002267123288
Gas,Total Consumption,633.1585820958904
Geothermal,Total Consumption,4.160683719178082
Solar/Wind/Other,Total Consumption,10.56141041780822
Combustible renewables and waste,Total Consumption,53.092008349315066
Oil Products,Imports,940.359082917808
Oil Products,Exports,-268.55994393150684
Oil Products,Total Consumption,3769.631678335617
Electricity,Total Consumption,1700.4927949452056
Electricity,Production,4543.035255863013
Coal and coal products,Electricity,-1249.404092890411
"Crude, NGL and feedstocks",Electricity,-150.0797618630137
Gas,Electricity,-993.6806608424657
Nuclear,Electricity,-1478.6597835753423
Hydro,Electricity,-135.7696036849315
Geothermal,Electricity,-52.22461330136986
Solar/Wind/Other,Electricity,-7.377604835616439
Combustible renewables and waste,Electricity,-87.34383819178083
Oil Products,Electricity,-388.49529667808224
"Crude, NGL and feedstocks",Oil Products,-4132.999529171234
All products,Heat and Waste,2773.693759054794
All products,Industry,1907.631390458904
All products,Transport,1640.3525598287674
All products,Residential,979.8340850000001
All products,Commercial,1360.5971956232877
All products,Other,912.7004073356164
All products,Total Consumption,6789.325373410959
All primary,Production,1914.4261347808217
All primary,Imports,7985.426790739727
All primary,Exports,-21.102552883561643
All primary,Total Consumption,1319.200900130137
All primary,Oil Products,-4132.999529171234
All primary,Electricity,-4543.035255863013
Oil Products,Production,4096.383066431507
All products,Hydrocarbon Heat and Waste,36.61646273972656
All products,Electricity Heat and Waste,2737.0772963150675
