flow,period,value
Industry,1971-1974,372.2560130342466
Transport,1971-1974,7.508003527397261
Residential,1971-1974,88.61457402054795
Commercial,1971-1974,18.328840719178086
Other,1971-1974,0.7485536575342467
Electricity output in GWh,1971-1974,41015.25
Production,1971-1974,383.8129529246575
Imports,1971-1974,779.497493520548
Exports,1971-1974,-6.520632445205479
Total Consumption,1971-1974,487.45598495890414
Electricity,1971-1974,-250.32478161643837
Industry,1971,335.3119143561644
Transport,1971,12.147898547945205
Residential,1971,95.50889589041094
Commercial,1971,17.83664126027397
Other,1971,0.46867819178082193
Electricity output in GWh,1971,45400.0
Production,1971,471.18213986301373
Imports,1971,647.149212520548
Exports,1971,-4.096726958904109
Total Consumption,1971,461.2740081643836
Electricity,1971,-279.36833016438356
Industry,1972,387.87132791780823
Transport,1972,10.611510465753424
Residential,1972,87.96232953424658
Commercial,1972,18.85816210958904
Other,1972,0.6322476438356165
Electricity output in GWh,1972,41600.0
Production,1972,398.05420408219186
Imports,1972,713.9603350410958
Exports,1972,-4.096726958904109
Total Consumption,1972,505.9355575890411
Electricity,1972,-250.3617127671233
Industry,1973,374.49433898630133
Transport,1973,4.024491315068493
Residential,1973,86.06187139726028
Commercial,1973,18.022200712328768
Other,1973,0.8825520821917809
Electricity output in GWh,1973,37300.0
Production,1973,359.5308970684932
Imports,1973,829.3137499726029
Exports,1973,-8.193474
Total Consumption,1973,483.4854946575342
Electricity,1973,-240.30712164383564
Industry,1974,391.3464708767123
Transport,1974,3.2481137808219183
Residential,1974,84.92519926027398
Commercial,1974,18.598358794520546
Other,1974,1.0107367123287672
Electricity output in GWh,1974,39761.0
Production,1974,306.4845706849315
Imports,1974,927.5666765479451
Exports,1974,-9.695601863013698
Total Consumption,1974,499.12887942465755
Electricity,1974,-231.26196189041093
Industry,1975,399.14534989041096
Transport,1975,0.5719408219178082
Residential,1975,82.19187238356164
Commercial,1975,21.678003068493148
Other,1975,1.1328565205479453
Electricity output in GWh,1975,42317.0
Production,1975,266.3429402465753
Imports,1975,892.0520835068493
Exports,1975,-7.374120575342466
Total Consumption,1975,504.7200226849315
Electricity,1975,-226.4922806849315
Industry,1976,389.4592669863014
Transport,1976,0.14258356164383562
Residential,1976,79.47898917808219
Commercial,1976,14.945568767123287
Electricity output in GWh,1976,43770.0
Production,1976,278.179825890411
Imports,1976,869.3057078356164
Exports,1976,-7.647238383561645
Total Consumption,1976,484.0264084931507
Electricity,1976,-232.48245709589042
Industry,1977,373.715290520548
Residential,1977,71.66097183561644
Commercial,1977,13.744091397260275
