flow,period,value
Industry,1971-1974,3.59291497260274
Production,1971-1974,16.34233039041096
Imports,1971-1974,4472.663023541097
Total Consumption,1971-1974,3.59291497260274
Electricity,1971-1974,-319.18486004109593
Oil Products,1971-1974,-4152.011857246575
Industry,1971,7.522186575342467
Production,1971,17.10018712328767
Imports,1971,3852.664989534246
Total Consumption,1971,7.522186575342467
Electricity,1971,-177.51548997260275
Oil Products,1971,-3663.86993490411
Industry,1972,3.241265753424658
Production,1972,16.351442684931506
Imports,1972,4154.021371726028
Total Consumption,1972,3.241265753424658
Electricity,1972,-276.95513350684934
Oil Products,1972,-3871.9463838356164
Industry,1973,1.8958392328767122
Production,1973,16.309952876712327
Imports,1973,4996.420095479452
Total Consumption,1973,1.8958392328767122
Electricity,1973,-413.260359369863
Oil Products,1973,-4585.253445178082
Industry,1974,1.7123683287671234
Production,1974,15.60773887671233
Imports,1974,4887.545637424658
Total Consumption,1974,1.7123683287671234
Electricity,1974,-409.0084573150685
Oil Products,1974,-4486.9776650684935
Industry,1975,1.590047698630137
Production,1975,14.13471010958904
Imports,1975,4579.5443391232875
Total Consumption,1975,1.590047698630137
Electricity,1975,-430.2080021643836
Oil Products,1975,-4160.066452849315
Industry,1976,1.2842762465753426
Production,1976,13.940214082191781
Imports,1976,4679.277544136987
Total Consumption,1976,1.2842762465753426
Electricity,1976,-382.6235901369863
Oil Products,1976,-4308.216275917808
Industry,1977,1.4881305753424658
Production,1977,14.22680704109589
Imports,1977,4839.981126849315
Total Consumption,1977,1.4881305753424658
Electricity,1977,-463.11257298630136
Oil Products,1977,-4436.7067176712335
Industry,1978,1.4881305753424658
Production,1978,13.25071210958904
Imports,1978,4704.922302219178
Total Consumption,1978,1.4881305753424658
Electricity,1978,-434.7589682191781
Oil Products,1978,-4398.607004328767
Industry,1979,1.6104512054794522
Other,1979,6.830756712328768
Production,1979,12.31321515068493
Imports,1979,4881.988352739726
Total Consumption,1979,8.441207917808219
Electricity,1979,-400.65693646575346
Oil Products,1979,-4497.590982931507
Industry,1980,1.3861933698630138
Other,1980,14.495647342465753
Production,1980,11.246951178082194
Imports,1980,4468.668991890411
Total Consumption,1980,15.881860794520547
Electricity,1980,-288.4505616438356
Oil Products,1980,-4155.347137780822
Industry,1981,1.0600384931506848
Other,1981,28.40515575342466
Production,1981,10.520518054794522
Imports,1981,4002.1137086849317
Total Consumption,1981,29.465194246575344
Electricity,1981,-297.31841572602735
Oil Products,1981,-3789.8059620273975
Other,1982,31.71909895890411
Production,1982,9.900078739726029
Imports,1982,3732.9347211506847
Total Consumption,1982,31.71909895890411
