flow,period,value
Industry,1971-1974,33.613080589041104
Residential,1971-1974,17.543606938356167
Commercial,1971-1974,6.271517876712329
Other,1971-1974,0.2850466301369863
Electricity output in GWh,1971-1974,9211.5
Production,1971-1974,44.603888431506846
Imports,1971-1974,48.76322162328766
Total Consumption,1971-1974,57.71325203424658
Electricity,1971-1974,-37.718573424657535
Industry,1971,35.9779494520548
Residential,1971,10.265233232876712
Commercial,1971,3.762820356164384
Other,1971,0.09882446575342467
Electricity output in GWh,1971,5500.0
Production,1971,43.090599890410964
Imports,1971,23.4716038630137
Total Consumption,1971,50.1048475890411
Electricity,1971,-22.116055917808218
Industry,1972,32.537950328767124
Residential,1972,11.953964821917808
Commercial,1972,4.259131643835617
Other,1972,0.1428446301369863
Electricity output in GWh,1972,5500.0
Production,1972,43.82771673972603
Imports,1972,25.332520164383563
Total Consumption,1972,48.89387134246576
Electricity,1972,-21.736703315068493
Industry,1973,32.85601208219178
Residential,1973,21.637015315068492
Commercial,1973,7.662882410958904
Other,1973,0.3823649315068493
Electricity output in GWh,1973,10500.0
Production,1973,45.95102695890411
Imports,1973,55.922799123287675
Total Consumption,1973,62.538274739726035
Electricity,1973,-40.22111575342466
Industry,1974,33.08041049315068
Residential,1974,26.318214383561646
Commercial,1974,9.40123709589041
Other,1974,0.516152493150685
Electricity output in GWh,1974,15346.0
Production,1974,45.546210136986296
Imports,1974,90.32596334246576
Total Consumption,1974,69.31601446575343
Electricity,1974,-66.80041871232878
Industry,1975,30.74565487671233
Residential,1975,22.801802520547945
Commercial,1975,8.34346789041096
Other,1975,0.44106517808219176
Electricity output in GWh,1975,20280.0
Production,1975,43.1354835890411
Imports,1975,117.53751394520549
Total Consumption,1975,62.33199046575343
Electricity,1975,-89.00320961643835
Industry,1976,32.515076712328764
Residential,1976,38.96957347945205
Commercial,1976,9.817701589041096
Other,1976,0.023295342465753422
Electricity output in GWh,1976,24328.0
Production,1976,44.14405142465753
Imports,1976,139.19481227397262
Total Consumption,1976,81.32564712328767
Electricity,1976,-100.78065197260274
Industry,1977,44.610580821917814
Residential,1977,44.81513802739726
Commercial,1977,11.566398602739726
Other,1977,0.01813421917808219
Electricity output in GWh,1977,36200.0
Production,1977,49.65127120547945
Imports,1977,177.40525882191784
Total Consumption,1977,101.01025167123287
Electricity,1977,-124.67303799999999
Industry,1978,44.72364356164384
Residential,1978,56.48901652054795
Commercial,1978,14.581338054794521
Other,1978,0.2908704657534247
Electricity output in GWh,1978,54158.0
Production,1978,46.7658217260274
Imports,1978,269.82344515068496
Total Consumption,1978,116.08486860273975
Electricity,1978,-195.85860410958907
Industry,1979,44.296836739726025
Residential,1979,59.3679794520548
Commercial,1979,15.601975287671234
Other,1979,0.3288458904109589
Electricity output in GWh,1979,72980.0
Production,1979,42.74534684931507
Imports,1979,334.656371369863
Total Consumption,1979,119.59565745205481
Electricity,1979,-256.9023621369863
Industry,1980,42.91624630136987
Residential,1980,58.71976646575343
Commercial,1980,15.242062246575344
Other,1980,0.37200252054794525
Electricity output in GWh,1980,81107.0
Production,1980,38.90398504109589
Imports,1980,392.29764380821916
Total Consumption,1980,117.25009761643837
Electricity,1980,-312.92484926027396
Industry,1981,42.47172698630137
Residential,1981,62.218044109589044
Commercial,1981,16.32658093150685
Other,1981,0.34137717808219176
Electricity output in GWh,1981,78500.0
Production,1981,37.221740000000004
Imports,1981,404.5140025479452
Total Consumption,1981,121.35772920547944
Electricity,1981,-319.0556813424658
Industry,1982,42.35521010958904
Residential,1982,58.20578284931507
Commercial,1982,22.900205260273975
Other,1982,0.3128805479452055
Electricity output in GWh,1982,79026.0
Production,1982,36.2476934520548
Imports,1982,420.0710941369863
Total Consumption,1982,123.77407876712329
Electricity,1982,-322.06801010958907
Industry,1983,43.73190460273973
Residential,1983,66.17853347945206
Commercial,1983,26.79898205479452
Other,1983,0.33661769863013696
Electricity output in GWh,1983,90668.0
Production,1983,36.9200653150685
Imports,1983,450.55694569863016
Total Consumption,1983,137.04603783561643
Electricity,1983,-339.58010306849314
Industry,1984-1987,55.65748324657534
Residential,1984-1987,88.18517659589041
Commercial,1984-1987,37.01749406849315
Other,1984-1987,0.34266243835616444
Electricity output in GWh,1984-1987,129048.75
Production,1984-1987,38.207860965753426
Imports,1984-1987,661.2472876917808
Total Consumption,1984-1987,181.20282639041093
Electricity,1984-1987,-509.4917522739727
Industry,1984,52.31316572602739
Residential,1984,84.21627780821917
Commercial,1984,34.95859747945206
Other,1984,0.3297094246575342
Electricity output in GWh,1984,122956.0
Production,1984,37.76938136986302
Imports,1984,618.5026889041096
Total Consumption,1984,171.81777052054792
Electricity,1984,-472.4610943287671
Industry,1985,55.01606808219179
Residential,1985,82.69501161643836
Commercial,1985,34.59392495890411
Other,1985,0.31936709589041096
Electricity output in GWh,1985,128043.0
Production,1985,39.39899098630137
Imports,1985,662.2022410958904
Total Consumption,1985,172.62437175342464
Electricity,1985,-516.4489263835616
Industry,1986,56.20244364383562
Residential,1986,92.09753397260275
Commercial,1986,38.38220953424658
Other,1986,0.3663995890410959
Electricity output in GWh,1986,129900.0
Production,1986,37.27395369863014
Imports,1986,679.1416501917809
Total Consumption,1986,187.04860682191782
Electricity,1986,-515.7627379726027
Industry,1987,59.09825553424658
Residential,1987,93.73188298630137
Commercial,1987,40.135244301369866
Other,1987,0.35517364383561645
Electricity output in GWh,1987,135296.0
Production,1987,38.389117808219176
Imports,1987,685.1425705753425
Total Consumption,1987,193.32055646575344
Electricity,1987,-533.294250410959
Industry,1988,61.22285101369863
Residential,1988,97.39632068493151
Commercial,1988,41.281897287671235
Other,1988,1.3585803561643834
Electricity output in GWh,1988,140486.0
Production,1988,37.12548605479452
Imports,1988,722.5507335616438
Total Consumption,1988,201.25964934246576
Electricity,1988,-561.892416109589
Industry,1989,70.511025369863
Residential,1989,107.66715684931506
Commercial,1989,45.68214649315068
Other,1989,1.586432904109589
Electricity output in GWh,1989,150472.0
Production,1989,35.56752969863014
Imports,1989,779.7885146027397
Total Consumption,1989,225.44678169863013
Electricity,1989,-592.490045150685
Industry,1990,74.20134901369863
Residential,1990,147.66343238356163
Commercial,1990,78.0958081369863
Other,1990,6.059620630136986
Electricity output in GWh,1990,167084.0
Production,1990,38.49699934246575
Imports,1990,850.170511890411
Total Consumption,1990,306.02021016438357
Electricity,1990,-668.4806772876713
Industry,1991,81.70801205479452
Residential,1991,155.282294630137
Commercial,1991,83.766597369863
Other,1991,5.934468410958904
Electricity output in GWh,1991,179474.0
Production,1991,40.46409019178082
Imports,1991,894.135028520548
Total Consumption,1991,326.69137246575343
Electricity,1991,-714.8930323561643
Industry,1992,86.5588253150685
Residential,1992,161.66515821917807
Commercial,1992,86.99729989041096
Other,1992,5.280210684931507
Electricity output in GWh,1992,178505.0
Production,1992,40.073511643835616
Imports,1992,918.3938141369864
Total Consumption,1992,340.50149410958903
Electricity,1992,-710.1980167397261
Industry,1993,91.21024249315067
Residential,1993,170.8385427671233
Commercial,1993,96.21382098630139
Other,1993,5.0739264109589035
Electricity output in GWh,1993,178012.0
Production,1993,41.40102484931507
Imports,1993,944.4017184931506
Total Consumption,1993,363.33653265753424
Electricity,1993,-712.9885176164385
Industry,1994,96.61646893150683
Residential,1994,160.1029042739726
Commercial,1994,105.55292378082193
Other,1994,4.796852410958905
Electricity output in GWh,1994,191675.0
Production,1994,41.897757863013695
Imports,1994,998.605582410959
Total Consumption,1994,367.0691493972603
Electricity,1994,-760.4603890410959
Industry,1995,104.09680421917808
Residential,1995,171.98607936986303
Commercial,1995,113.53214087671232
Other,1995,5.194339232876712
Electricity output in GWh,1995,195640.0
Production,1995,41.10670024657534
Imports,1995,1028.9416609863015
Total Consumption,1995,394.80936369863014
Electricity,1995,-771.881794219178
Industry,1996,110.76925301369864
Residential,1996,174.70105112328767
Commercial,1996,119.28534742465754
Other,1996,4.5379126301369865
Electricity output in GWh,1996,207604.0
Production,1996,40.81366090410958
Imports,1996,1093.653310849315
Total Consumption,1996,409.29360435616434
Electricity,1996,-809.930820109589
Industry,1997,112.5266054520548
Residential,1997,172.60969167123287
Commercial,1997,134.98271312328768
Other,1997,4.017884273972602
Electricity output in GWh,1997,217100.0
Production,1997,42.664214794520554
Imports,1997,1138.0222024931506
Total Consumption,1997,424.13689452054797
Electricity,1997,-835.9249279999999
Industry,1998,95.52072430136987
Residential,1998,172.1034597808219
Commercial,1998,152.2975989589041
Other,1998,2.9989540273972604
Electricity output in GWh,1998,224969.0
Production,1998,42.38627726027397
Imports,1998,1164.5816642465754
Total Consumption,1998,422.92073706849317
Electricity,1998,-861.1020722465754
Industry,1999-2002,100.66725787671233
Residential,1999-2002,179.77336593835616
Commercial,1999-2002,180.78743629452055
Other,1999-2002,3.979361609589041
Electricity output in GWh,1999-2002,249950.5
Production,1999-2002,46.152240479452054
Imports,1999-2002,1269.7207091164385
Total Consumption,1999-2002,465.207436780822
Electricity,1999-2002,-933.8270488082192
Industry,1999,98.82522887671233
Residential,1999,176.66900550684932
Commercial,1999,163.5744123561644
Other,1999,3.479279890410959
Electricity output in GWh,1999,243320.0
Production,1999,42.54725610958904
Imports,1999,1226.936528328767
Total Consumption,1999,442.5479467123288
Electricity,1999,-916.9113668219178
Industry,2000,102.67868016438355
Residential,2000,180.5906358356164
Commercial,2000,176.88693745205478
Other,2000,3.679097698630137
Electricity output in GWh,2000,251335.0
Production,2000,45.89276852054794
Imports,2000,1274.9888353424658
Total Consumption,2000,463.8353712328767
Electricity,2000,-941.5322343561643
Industry,2001,99.05352323287671
Residential,2001,178.08411723287674
Commercial,2001,182.96123816438353
Other,2001,3.453393945205479
Electricity output in GWh,2001,250859.0
Production,2001,45.642885808219184
Imports,2001,1281.4437739178081
Total Consumption,2001,463.5522725753425
Electricity,2001,-935.438092438356
Industry,2002,102.11159923287673
Residential,2002,183.74970517808217
Commercial,2002,199.72715720547947
Other,2002,5.305674904109589
Electricity output in GWh,2002,254288.0
Production,2002,50.52605147945206
Imports,2002,1295.5136988767124
Total Consumption,2002,490.8941566027397
Electricity,2002,-941.4265016164385
Industry,2003,106.80747838356164
Residential,2003,184.35174920547942
Commercial,2003,210.7234625479452
Other,2003,6.315106273972603
Electricity output in GWh,2003,263737.0
Production,2003,52.115074986301366
Imports,2003,1378.5500876712326
Total Consumption,2003,508.19779641095886
Electricity,2003,-976.558589150685
Industry,2004,114.3603304657534
Residential,2004,179.6627783287671
Commercial,2004,238.26861852054796
Other,2004,7.032381917808219
Electricity output in GWh,2004,252616.0
Production,2004,54.099416438356165
Imports,2004,1366.5741127671233
Total Consumption,2004,539.3240891506849
Electricity,2004,-937.5346330958904
Industry,2005-2008,145.3692277328767
Residential,2005-2008,185.436815130137
Commercial,2005-2008,295.12768958904115
Other,2005-2008,7.22485466438356
Electricity output in GWh,2005-2008,268997.75
Production,2005-2008,66.36767258219177
Imports,2005-2008,1515.7678784520547
Total Consumption,2005-2008,633.1585820958904
Electricity,2005-2008,-993.6806608424657
Industry,2005,131.37741747945205
Residential,2005,188.0839241369863
Commercial,2005,250.24802747945208
Other,2005,7.019850630136986
Electricity output in GWh,2005,239039.0
Production,2005,58.09400536986301
Imports,2005,1361.109627890411
Total Consumption,2005,576.7292398082192
Electricity,2005,-887.810865178082
Industry,2006,145.33685021917807
Residential,2006,185.00082572602741
Commercial,2006,294.04726767123293
Other,2006,7.1769536164383565
Electricity output in GWh,2006,263446.0
Production,2006,64.08112928767125
Imports,2006,1489.8134830958904
Total Consumption,2006,631.5618972328767
Electricity,2006,-976.4873776986301
Industry,2007,155.70179153424658
Residential,2007,186.5648268219178
Commercial,2007,319.481624630137
Other,2007,7.698287315068494
Electricity output in GWh,2007,289046.0
Production,2007,71.79925780821918
Imports,2007,1608.0259595068494
Total Consumption,2007,669.4465102191781
Electricity,2007,-1070.1864664657535
Industry,2008,149.06085169863013
Residential,2008,182.09768383561646
Commercial,2008,316.7338385753425
Other,2008,7.004327095890412
Electricity output in GWh,2008,284460.0
Production,2008,71.4962978630137
Imports,2008,1604.1224433150685
Total Consumption,2008,654.8966811232876
Electricity,2008,-1040.2379340273974
Industry,2009,147.45714810958904
Residential,2009,181.54829531506854
Commercial,2009,311.9111002191781
Other,2009,6.139467424657534
Electricity output in GWh,2009,287498.0
Production,2009,68.79640783561645
Imports,2009,1561.652865123288
Total Consumption,2009,647.0559909863014
Electricity,2009,-1039.6894090410958
Industry,2010,156.6943940273973
Residential,2010,184.1005812328767
Commercial,2010,343.909582630137
Other,2010,7.163578876712329
Electricity output in GWh,2010,304515.0
Production,2010,64.44321120547944
Imports,2010,1662.5647341369865
Total Consumption,2010,691.8680966027398
Electricity,2010,-1083.6254491232876
Industry,2011,168.9780682739726
Residential,2011,184.05007452054792
Commercial,2011,349.7529783013699
Other,2011,7.115662767123288
Electricity output in GWh,2011,7509.876191780822
Production,2011,64.27618761643835
Imports,2011,1959.9333352602741
Total Consumption,2011,709.8967838630138
Electricity,2011,-1356.5587421643836
Industry,2012,167.66350808219178
Residential,2012,184.01858564383562
Commercial,2012,341.0349172876712
Other,2012,7.169181808219179
Electricity output in GWh,2012,397219.0
Production,2012,61.34629624657535
Imports,2012,2048.990907369863
Total Consumption,2012,699.886172739726
Electricity,2012,-1433.4500606027398
Industry,2013,151.39604912328767
Transport,2013,1.6999374520547945
Residential,2013,175.77823980821918
Commercial,2013,345.8248614246575
Other,2013,7.003463561643835
Electricity output in GWh,2013,401708.0
Production,2013,54.87193819178083
Imports,2013,2082.738970410959
Total Consumption,2013,681.702551369863
Electricity,2013,-1448.520781589041
Industry,2014,280.7485591232877
Transport,2014,1.582115232876712
Residential,2014,177.1445919726027
Commercial,2014,135.47038906849315
Other,2014,7.435873315068492
Electricity output in GWh,2014,420825.0
Production,2014,51.93296967123288
Imports,2014,2114.009834849315
Total Consumption,2014,602.3815287123288
Electricity,2014,-1542.2807193972603
Industry,2015,166.0982217260274
Transport,2015,21.83165191780822
Residential,2015,341.0098747945205
Commercial,2015,130.4801853150685
Other,2015,14.27275509589041
Electricity output in GWh,2015,110860.0
Production,2015,111.33332161643835
Imports,2015,1007.376740739726
Exports,2015,-3.633792273972603
Total Consumption,2015,673.6926888493151
Electricity,2015,-408.79040487671233
Industry,2016,221.81453575342462
Transport,2016,1.2467225479452055
Residential,2016,176.38958189041097
Commercial,2016,241.57900717808218
Other,2016,4.893628493150685
Electricity output in GWh,2016,406498.0
Production,2016,49.185826246575346
Imports,2016,1992.48367630137
Total Consumption,2016,645.9234959452054
Electricity,2016,-1493.1467855342466
