flow,period,value
Electricity output in GWh,1971-1974,79689.5
Production,1971-1974,137.6292246849315
Electricity,1971-1974,-137.6292246849315
Electricity output in GWh,1971,84200.0
Production,1971,145.41916712328768
Electricity,1971,-145.41916712328768
Electricity output in GWh,1972,85100.0
Production,1972,146.9735287671233
Electricity,1972,-146.9735287671233
Electricity output in GWh,1973,66778.0
Production,1973,115.33017983561645
Electricity,1973,-115.33017983561645
Electricity output in GWh,1974,82680.0
Production,1974,142.79402301369862
Electricity,1974,-142.79402301369862
Electricity output in GWh,1975,83406.0
Production,1975,144.04787473972604
Electricity,1975,-144.047874739726
Electricity output in GWh,1976,83590.0
Production,1976,144.36565534246577
Electricity,1976,-144.36565534246577
Electricity output in GWh,1977,72968.0
Production,1977,126.02073380821916
Electricity,1977,-126.02073380821916
Electricity output in GWh,1978,70047.0
Production,1978,120.97596673972605
Electricity,1978,-120.97596673972603
Electricity output in GWh,1979,80743.0
Production,1979,139.44869134246576
Electricity,1979,-139.44869134246576
Electricity output in GWh,1980,88292.0
Production,1980,152.48633139726027
Electricity,1980,-152.48633139726027
Electricity output in GWh,1981,87594.0
Production,1981,151.2808375890411
Electricity,1981,-151.28083758904108
Electricity output in GWh,1982,81606.0
Production,1982,140.9391514520548
Electricity,1982,-140.9391514520548
Electricity output in GWh,1983,84273.0
Production,1983,145.5452431232877
Electricity,1983,-145.54524312328766
Electricity output in GWh,1984-1987,77523.5
Production,1984-1987,133.88839432876713
Electricity,1984-1987,-133.88839432876713
Electricity output in GWh,1984,71617.0
Production,1984,123.68746427397261
Electricity,1984,-123.68746427397261
Electricity output in GWh,1985,82874.0
Production,1985,143.12907430136985
Electricity,1985,-143.12907430136985
Electricity output in GWh,1986,80816.0
Production,1986,139.57476734246578
Electricity,1986,-139.57476734246575
Electricity output in GWh,1987,74787.0
Production,1987,129.16227139726027
Electricity,1987,-129.16227139726027
Electricity output in GWh,1988,90291.0
Production,1988,155.93874131506848
Electricity,1988,-155.93874131506848
Electricity output in GWh,1989,91741.0
Production,1989,158.442990630137
Electricity,1989,-158.44299063013702
Electricity output in GWh,1990,89305.0
Production,1990,154.23585178082192
Electricity,1990,-154.23585178082192
Electricity output in GWh,1991,97493.0
Production,1991,168.37708860273972
Electricity,1991,-168.37708860273975
Electricity output in GWh,1992,82545.0
Production,1992,142.56086876712328
Electricity,1992,-142.56086876712328
Electricity output in GWh,1993,95590.0
Production,1993,165.09047726027399
Electricity,1993,-165.09047726027399
Electricity output in GWh,1994,67266.0
Production,1994,116.17298926027398
Electricity,1994,-116.17298926027397
Electricity output in GWh,1995,82118.0
Production,1995,141.82341052054795
Electricity,1995,-141.82341052054792
Electricity output in GWh,1996,80519.0
Production,1996,139.061828
Electricity,1996,-139.061828
Electricity output in GWh,1997,89799.0
Production,1997,155.08902361643837
Electricity,1997,-155.08902361643834
Electricity output in GWh,1998,92513.0
Production,1998,159.77628750684931
Electricity,1998,-159.77628750684931
Electricity output in GWh,1999-2002,85053.25
Production,1999-2002,146.8927883150685
Electricity,1999-2002,-146.8927883150685
Electricity output in GWh,1999,86416.0
Production,1999,149.2463509041096
Electricity,1999,-149.2463509041096
Electricity output in GWh,2000,87253.0
Production,2000,150.6919072328767
Electricity,2000,-150.6919072328767
Electricity output in GWh,2001,84166.0
Production,2001,145.36044679452056
Electricity,2001,-145.36044679452056
Electricity output in GWh,2002,82378.0
Production,2002,142.27244832876713
Electricity,2002,-142.27244832876713
Electricity output in GWh,2003,94607.0
Production,2003,163.39276893150688
Electricity,2003,-163.39276893150685
Electricity output in GWh,2004,94063.0
Production,2004,162.45324367123285
Electricity,2004,-162.45324367123288
Electricity output in GWh,2005-2008,78612.75
Production,2005-2008,135.7696036849315
Electricity,2005-2008,-135.7696036849315
Electricity output in GWh,2005,76470.0
Production,2005,132.06892767123287
Electricity,2005,-132.06892767123287
Electricity output in GWh,2006,87524.0
Production,2006,151.15994279452056
Electricity,2006,-151.15994279452053
Electricity output in GWh,2007,74009.0
Production,2007,127.81861210958904
Electricity,2007,-127.81861210958903
Electricity output in GWh,2008,76448.0
Production,2008,132.03093216438356
Electricity,2008,-132.03093216438356
Electricity output in GWh,2009,76896.0
Production,2009,132.80465884931508
Electricity,2009,-132.80465884931508
Electricity output in GWh,2010,82212.0
Production,2010,141.98575495890412
Electricity,2010,-141.98575495890412
Electricity output in GWh,2011,1670.7781095890412
Production,2011,143.68691742465754
Electricity,2011,-143.68691742465754
Electricity output in GWh,2012,75486.0
Production,2012,130.3694922739726
Electricity,2012,-130.3694922739726
Electricity output in GWh,2013,78063.0
Production,2013,134.8201477808219
Electricity,2013,-134.8201477808219
Electricity output in GWh,2014,81796.0
Production,2014,141.26729446575342
Electricity,2014,-141.26729446575342
Electricity output in GWh,2015,45538.0
Production,2015,78.6472450410959
Electricity,2015,-78.64724504109589
Electricity output in GWh,2016,78902.0
Production,2016,136.24463789041096
Electricity,2016,-136.24461780821918
