product,flow,value
Coal and coal products,Industry,153.25895858219178
Coal and coal products,Residential,20.642886575342466
Coal and coal products,Other,4.143975335616438
Gas,Industry,93.93482859589041
Geothermal,Industry,0.007676417808219177
Solar/Wind/Other,Industry,0.0053970890410958905
Combustible renewables and waste,Industry,33.9326585479452
Gas,Transport,10.372266294520546
Combustible renewables and waste,Transport,1.406647082191781
Gas,Residential,166.18507218493153
Geothermal,Residential,0.0006024657534246575
Solar/Wind/Other,Residential,0.5139685547945205
Combustible renewables and waste,Residential,0.8633334246575344
Gas,Commercial,63.88044292465753
Geothermal,Commercial,0.17036225342465755
Solar/Wind/Other,Commercial,0.10874004794520548
Combustible renewables and waste,Commercial,6.579714253424658
Gas,Other,0.2929238698630137
Oil Products,Industry,148.56477637671233
Oil Products,Transport,573.6679406164384
Oil Products,Residential,64.68488030136984
Oil Products,Commercial,84.00833675342467
Oil Products,Other,719.710991150685
Electricity,Industry,334.2900822328767
Electricity,Transport,4.236930780821918
Electricity,Residential,92.32649104109589
Electricity,Commercial,212.17036438356166
Electricity,Other,13.161125452054794
Heat,Industry,58.70459436986301
Heat,Residential,28.495856972602738
Heat,Commercial,4.2256646712328765
Coal and coal products,Electricity output in GWh,166042.5
"Crude, NGL and feedstocks",Electricity output in GWh,705.75
Gas,Electricity output in GWh,74625.5
Nuclear,Electricity output in GWh,147355.75
Hydro,Electricity output in GWh,3460.5
Solar/Wind/Other,Electricity output in GWh,404.25
Combustible renewables and waste,Electricity output in GWh,470.25
Oil Products,Electricity output in GWh,21873.5
Coal and coal products,Production,25.70988965068493
"Crude, NGL and feedstocks",Production,11.155657534246576
Gas,Production,6.753796732876712
Nuclear,Production,771.1923424520548
Hydro,Production,5.976520520547945
Geothermal,Production,0.17863611643835614
Solar/Wind/Other,Production,1.3262781506849313
Combustible renewables and waste,Production,51.29933133561644
Coal and coal products,Imports,1071.110553541096
"Crude, NGL and feedstocks",Imports,2408.8742920890413
Gas,Imports,596.8818748972602
Combustible renewables and waste,Imports,0.5464565205479451
"Crude, NGL and feedstocks",Exports,-1.3788834520547943
Coal and coal products,Total Consumption,178.04582049315067
Gas,Total Consumption,334.66553386986305
Geothermal,Total Consumption,0.17863611643835614
Solar/Wind/Other,Total Consumption,0.6281107123287671
Combustible renewables and waste,Total Consumption,42.782358328767124
Oil Products,Imports,471.66884684246577
Oil Products,Exports,-797.7362756506849
Oil Products,Total Consumption,1590.636935239726
Electricity,Total Consumption,656.1849938904109
Electricity,Production,1940.7669968561645
Coal and coal products,Electricity,-780.0825229109589
"Crude, NGL and feedstocks",Electricity,-5.723424657534247
Gas,Electricity,-261.3213831712329
Nuclear,Electricity,-771.1923424520548
Hydro,Electricity,-5.976520520547945
Solar/Wind/Other,Electricity,-0.6981674383561643
Combustible renewables and waste,Electricity,-5.237912568493151
Oil Products,Electricity,-110.53472313698632
"Crude, NGL and feedstocks",Oil Products,-2528.2784055958905
All products,Heat and Waste,1270.2428511232874
All products,Industry,822.6989722123286
All products,Transport,589.6837747328767
All products,Residential,373.713091520548
All products,Commercial,371.1436353287672
All products,Other,737.3090057671234
All products,Total Consumption,2803.1223886506846
All primary,Production,873.5924524931509
All primary,Imports,4077.4131770479453
All primary,Exports,-1.3788834520547943
All primary,Total Consumption,556.300459520548
All primary,Oil Products,-2528.2784055958905
All primary,Electricity,-1940.7669968561645
Oil Products,Production,2507.9811988082192
All products,Hydrocarbon Heat and Waste,20.297206787671257
All products,Electricity Heat and Waste,1249.9456443356162
