product,flow,value
Coal and coal products,Industry,136.4311010410959
Coal and coal products,Residential,19.149072739726027
Gas,Industry,83.67811523287672
Geothermal,Industry,0.004799643835616438
Solar/Wind/Other,Industry,0.004317671232876712
Combustible renewables and waste,Industry,29.427419643835613
Gas,Transport,6.50197106849315
Combustible renewables and waste,Transport,0.21994016438356165
Gas,Residential,168.1114815342466
Geothermal,Residential,0.000481972602739726
Solar/Wind/Other,Residential,0.5869823835616438
Combustible renewables and waste,Residential,0.9869393150684933
Gas,Commercial,62.159785671232875
Geothermal,Commercial,0.04602838356164383
Solar/Wind/Other,Commercial,0.10597372602739727
Combustible renewables and waste,Commercial,5.449744547945206
Gas,Other,0.49327887671232873
Oil Products,Industry,160.09226071232877
Oil Products,Transport,574.8856343561644
Oil Products,Residential,63.875347068493156
Oil Products,Commercial,118.77871389041096
Oil Products,Other,681.6613828767123
Electricity,Industry,317.7011575890411
Electricity,Transport,4.492105150684932
Electricity,Residential,87.86288252054794
Electricity,Commercial,195.48860980821917
Electricity,Other,12.101568931506849
Heat,Industry,57.12262975342466
Heat,Residential,29.09985901369863
Heat,Commercial,4.0633302739726025
Coal and coal products,Electricity output in GWh,148791.0
"Crude, NGL and feedstocks",Electricity output in GWh,1698.0
Gas,Electricity output in GWh,62154.0
Nuclear,Electricity output in GWh,146779.0
Hydro,Electricity output in GWh,3673.0
Solar/Wind/Other,Electricity output in GWh,145.0
Combustible renewables and waste,Electricity output in GWh,294.0
Oil Products,Electricity output in GWh,24294.0
Coal and coal products,Production,25.317538849315067
"Crude, NGL and feedstocks",Production,10.725356410958904
Gas,Production,8.844960383561643
Nuclear,Production,768.1738986575343
Hydro,Production,6.343522575342465
Geothermal,Production,0.05131000000000001
Solar/Wind/Other,Production,0.9477187945205481
Combustible renewables and waste,Production,42.524101342465755
Coal and coal products,Imports,942.4375395616438
"Crude, NGL and feedstocks",Imports,2356.4074925753425
Gas,Imports,524.2261768767123
Combustible renewables and waste,Imports,0.5280009863013698
"Crude, NGL and feedstocks",Exports,-0.06024657534246576
Coal and coal products,Total Consumption,155.58017378082192
Gas,Total Consumption,320.9446323835616
Geothermal,Total Consumption,0.05131000000000001
Solar/Wind/Other,Total Consumption,0.6972938630136987
Combustible renewables and waste,Total Consumption,36.084023589041095
Oil Products,Imports,419.65147673972604
Oil Products,Exports,-717.6788540821918
Oil Products,Total Consumption,1599.2933589863014
Electricity,Total Consumption,617.6463239999999
Electricity,Production,1857.676260630137
Coal and coal products,Electricity,-729.621974520548
"Crude, NGL and feedstocks",Electricity,-13.856712328767124
Gas,Electricity,-219.96934380821915
Nuclear,Electricity,-768.1738986575343
Hydro,Electricity,-6.343522575342465
Solar/Wind/Other,Electricity,-0.2504249315068493
Combustible renewables and waste,Electricity,-3.093179671232877
Oil Products,Electricity,-116.36720413698629
"Crude, NGL and feedstocks",Oil Products,-2489.538687863014
All products,Heat and Waste,1222.5244707945208
All products,Industry,784.4617812054795
All products,Transport,586.0996708219178
All products,Residential,369.67306663013704
All products,Commercial,386.0922063835616
All products,Other,694.256190520548
All products,Total Consumption,2730.2971166027396
All primary,Production,862.9284070136987
All primary,Imports,3823.59921
All primary,Exports,-0.06024657534246576
All primary,Total Consumption,513.3574336164384
All primary,Oil Products,-2489.538687863014
All primary,Electricity,-1857.676260630137
Oil Products,Production,2478.5941544109587
All products,Hydrocarbon Heat and Waste,10.944533452055111
All products,Electricity Heat and Waste,1211.5799373424657
