flow,period,value
Industry,1971-1974,7.8315778424657525
Transport,1971-1974,0.3788505479452055
Residential,1971-1974,109.24473350684933
Commercial,1971-1974,2.076257643835617
Electricity output in GWh,1971-1974,905.0
Production,1971-1974,132.89574163013697
Imports,1971-1974,5.783897157534247
Exports,1971-1974,-1.9154946780821918
Total Consumption,1971-1974,119.53142456164383
Electricity,1971-1974,-5.817655321917809
Industry,1971,7.52084106849315
Transport,1971,0.5904164383561643
Residential,1971,93.43906454794521
Commercial,1971,2.3025839452054795
Electricity output in GWh,1971,724.0
Production,1971,125.80593468493151
Imports,1971,1.2804405479452055
Exports,1971,-3.426604301369863
Total Consumption,1971,103.85290599999999
Electricity,1971,-5.405644054794521
Industry,1972,6.502633780821918
Transport,1972,0.25584712328767123
Residential,1972,97.13414767123288
Commercial,1972,1.9483340821917807
Electricity output in GWh,1972,812.0
Production,1972,122.0470102739726
Imports,1972,0.746856712328767
Exports,1972,-1.6068765753424659
Total Consumption,1972,105.84098273972603
Electricity,1972,-7.633542328767124
Industry,1973,7.817234136986301
Transport,1973,0.23616657534246577
Residential,1973,120.24680243835618
Commercial,1973,1.9384938082191783
Electricity output in GWh,1973,1341.0
Production,1973,133.5402695342466
Imports,1973,9.113338794520548
Exports,1973,-2.3624489589041096
Total Consumption,1973,130.23869695890411
Electricity,1973,-6.74237498630137
Industry,1974,9.485602383561643
Transport,1974,0.4329720547945205
Residential,1974,126.15891936986301
Commercial,1974,2.115618739726027
Electricity output in GWh,1974,743.0
Production,1974,150.18975202739725
Imports,1974,11.994952575342467
Exports,1974,-0.26604887671232874
Total Consumption,1974,138.19311254794522
Electricity,1974,-3.4890599178082193
Industry,1975,10.416311561643836
Transport,1975,0.41329150684931504
Residential,1975,125.75245580821918
Commercial,1975,2.9323614794520547
Electricity output in GWh,1975,1312.0
Production,1975,166.0541613972603
Imports,1975,11.96523093150685
Total Consumption,1975,139.51442035616438
Electricity,1975,-12.009552328767125
Industry,1976,11.476068904109589
Transport,1976,0.265687397260274
Residential,1976,135.51667852054794
Commercial,1976,1.8696319726027397
Electricity output in GWh,1976,1475.0
Production,1976,153.7249809041096
Imports,1976,22.259221863013696
Exports,1976,-0.14800575342465755
Total Consumption,1976,149.12804671232877
Electricity,1976,-10.082746356164385
Industry,1977,13.580080136986302
Transport,1977,0.08856246575342465
Residential,1977,148.23695969863013
Commercial,1977,2.0860979178082193
Electricity output in GWh,1977,1390.0
Production,1977,160.9076378630137
Imports,1977,29.085379753424657
Exports,1977,-0.05382027397260274
Total Consumption,1977,163.99170021917809
Electricity,1977,-7.648403150684932
Industry,1978,12.479274794520547
Transport,1978,0.05301698630136987
Residential,1978,152.66178950684932
Commercial,1978,1.93512
Electricity output in GWh,1978,929.0
Production,1978,159.52879457534246
Imports,1978,30.881952712328765
Exports,1978,-0.02691013698630137
Total Consumption,1978,167.12920128767124
Electricity,1978,-5.602931506849315
Industry,1979,21.372753753424654
Transport,1979,0.026508493150684934
Residential,1979,156.50467756164386
Commercial,1979,1.510984109589041
Electricity output in GWh,1979,1252.0
Production,1979,160.88958397260274
Imports,1979,60.7327049589041
Total Consumption,1979,179.41492391780824
Electricity,1979,-8.48173378082192
Industry,1980,27.05914684931507
Transport,1980,0.04418082191780822
Residential,1980,166.61991690410957
Commercial,1980,1.8997753424657535
Electricity output in GWh,1980,2481.0
Production,1980,164.57428460273974
Imports,1980,69.71438490410958
Total Consumption,1980,195.62304000000003
Electricity,1980,-16.82672791780822
Industry,1981,37.92178512328767
Transport,1981,0.03534465753424658
Residential,1981,171.29418761643836
Commercial,1981,1.784905205479452
Electricity output in GWh,1981,2530.0
Production,1981,175.53116860273974
Imports,1981,99.98859024657536
Total Consumption,1981,211.0362426849315
Electricity,1981,-16.877817013698632
Industry,1982,37.75849682191781
Transport,1982,0.03534465753424658
Residential,1982,165.23426575342467
Commercial,1982,1.3784416438356166
Electricity output in GWh,1982,2612.0
Production,1982,177.7490458630137
Imports,1982,122.96153320547945
Total Consumption,1982,204.40654887671232
Electricity,1982,-18.364642246575343
Industry,1983,42.31787731506849
Transport,1983,0.0481972602739726
Residential,1983,175.14629339726028
Commercial,1983,1.0892781643835616
Electricity output in GWh,1983,4289.0
Production,1983,175.49582394520547
Imports,1983,137.75596339726027
Total Consumption,1983,218.6016461369863
Electricity,1983,-27.88382205479452
Industry,1984-1987,41.65464786986302
Transport,1984-1987,0.005623013698630137
Residential,1984-1987,213.0507827328767
Commercial,1984-1987,1.3296368972602741
Electricity output in GWh,1984-1987,15749.5
Production,1984-1987,204.2046425205479
Imports,1984-1987,212.2273024178082
Total Consumption,1984-1987,256.0406854931507
Electricity,1984-1987,-95.45247497260274
Industry,1984,40.08130353424658
Transport,1984,0.022492054794520547
Residential,1984,196.91024824657538
Commercial,1984,1.6756580821917808
Electricity output in GWh,1984,13383.0
Production,1984,188.82965624657533
Imports,1984,163.82114216438356
Total Consumption,1984,238.68970191780818
Electricity,1984,-77.52930958904109
Industry,1985,40.90483405479452
Residential,1985,213.39027720547946
Commercial,1985,1.2796372602739725
Electricity output in GWh,1985,17639.0
Production,1985,199.1945172328767
Imports,1985,228.13203180821915
Total Consumption,1985,255.57472843835617
Electricity,1985,-96.99361249315069
Industry,1986,41.02892191780822
Residential,1986,224.01359599999998
Commercial,1986,1.3511097808219177
Electricity output in GWh,1986,17420.0
Production,1986,214.30441857534245
Imports,1986,217.9676111780822
Total Consumption,1986,266.3936276986301
Electricity,1986,-108.19228608219179
Industry,1987,44.60353197260274
Residential,1987,217.88900947945203
Commercial,1987,1.0121424657534246
Electricity output in GWh,1987,14556.0
Production,1987,214.48997802739726
Imports,1987,238.9884245205479
Total Consumption,1987,263.5046839178082
Electricity,1987,-99.09469172602739
Industry,1988,51.347091808219176
Residential,1988,211.78291865753425
Commercial,1988,1.113356712328767
Electricity output in GWh,1988,18640.0
Production,1988,214.67553747945206
Imports,1988,295.5856840547945
Total Consumption,1988,264.24336717808217
Electricity,1988,-113.83253030136987
Industry,1989,49.8797061369863
Residential,1989,185.25231501369862
Commercial,1989,1.0531302191780822
Electricity output in GWh,1989,17677.0
Production,1989,183.66048
Imports,1989,323.0158493972603
Total Consumption,1989,236.18513128767125
Electricity,1989,-106.80876364383562
Industry,1990,61.29633175342466
Residential,1990,173.47427019178082
Commercial,1990,0.5357928767123288
Electricity output in GWh,1990,17661.0
Production,1990,152.13290490410958
Imports,1990,315.79979575342463
Total Consumption,1990,235.30637473972598
Electricity,1990,-119.99697997260273
Industry,1991,75.4384722739726
Residential,1991,135.52151832876712
Electricity output in GWh,1991,16340.0
Production,1991,132.14548098630138
Imports,1991,384.4317906849315
Total Consumption,1991,210.9599906027397
Electricity,1991,-126.07357005479452
Industry,1992,68.98646569863014
Residential,1992,100.71743323287673
Electricity output in GWh,1992,17278.0
Production,1992,94.37252498630139
Imports,1992,389.2705546301369
Total Consumption,1992,169.70389893150687
Electricity,1992,-138.1144907671233
Industry,1993,87.25099821917809
Residential,1993,70.31944126027398
Electricity output in GWh,1993,31291.0
Production,1993,76.55560443835617
Imports,1993,470.38551947945206
Total Consumption,1993,157.57043947945206
Electricity,1993,-177.10741983561644
Industry,1994,106.822198630137
Residential,1994,42.59300334246576
Electricity output in GWh,1994,41957.0
Production,1994,61.95621249315069
Imports,1994,513.2482869041096
Total Consumption,1994,149.41520197260274
Electricity,1994,-213.66285279452055
Industry,1995,121.31919147945204
Residential,1995,27.421931643835617
Electricity output in GWh,1995,49312.0
Production,1995,49.49776293150685
Imports,1995,565.3353873972603
Total Consumption,1995,148.74112312328768
Electricity,1995,-238.0593219178082
Industry,1996,139.98502643835616
Residential,1996,18.129339205479454
Electricity output in GWh,1996,57400.0
Production,1996,43.26595758904109
Imports,1996,569.9008929589041
Total Consumption,1996,158.1143656438356
Electricity,1996,-297.75355665753426
Industry,1997,142.59129328767125
Residential,1997,13.007014712328768
Electricity output in GWh,1997,69295.0
Production,1997,39.83248517808219
Imports,1997,637.5195404931507
Total Consumption,1997,155.59830799999997
Electricity,1997,-343.2242778356164
Industry,1998,129.19058728767124
Residential,1998,11.647269589041096
Electricity output in GWh,1998,80322.0
Production,1998,38.6392615890411
Imports,1998,653.143967671233
Total Consumption,1998,140.83785687671232
Electricity,1998,-376.9033183835616
Industry,1999-2002,168.37494482876713
Residential,1999-2002,11.231031020547945
Electricity output in GWh,1999-2002,113297.75
Production,1999-2002,51.775997219178095
Imports,1999-2002,786.649078308219
Total Consumption,1999-2002,179.60597584931506
Electricity,1999-2002,-537.6797442260274
Industry,1999,135.20699104109588
Residential,1999,10.641553424657534
Electricity output in GWh,1999,84531.0
Production,1999,37.05132252054795
Imports,1999,655.436610931507
Total Consumption,1999,145.84854446575343
Electricity,1999,-402.40549290410956
Industry,2000,170.79867961643836
Residential,2000,11.370356246575344
Electricity output in GWh,2000,111395.0
Production,2000,73.0538324931507
Imports,2000,785.9629852876714
Total Consumption,2000,182.1690358630137
Electricity,2000,-543.388383369863
Industry,2001,184.1529355068493
Residential,2001,11.718099479452052
Electricity output in GWh,2001,123427.0
Production,2001,67.33655298630136
Imports,2001,799.9515372054793
Total Consumption,2001,195.87103498630137
Electricity,2001,-600.7391066575342
Industry,2002,183.34117315068494
Residential,2002,11.19411493150685
Electricity output in GWh,2002,133838.0
Production,2002,29.662280876712334
Imports,2002,905.2451798082192
Total Consumption,2002,194.53528808219178
Electricity,2002,-604.1859939726028
Industry,2003,170.81076909589044
Residential,2003,11.18459597260274
Electricity output in GWh,2003,134222.0
Production,2003,29.483489123287676
Imports,2003,937.7697754794522
Total Consumption,2003,181.99536506849316
Electricity,2003,-627.8943467945204
Industry,2004,164.90921539726028
Residential,2004,13.19476312328767
Electricity output in GWh,2004,142263.0
Production,2004,28.526934164383565
Imports,2004,1009.6435181369864
Total Consumption,2004,178.10397852054794
Electricity,2004,-704.9321849041097
Industry,2005-2008,153.25895858219178
Residential,2005-2008,20.642886575342466
Other,2005-2008,4.143975335616438
Electricity output in GWh,2005-2008,166042.5
Production,2005-2008,25.70988965068493
Imports,2005-2008,1071.110553541096
Total Consumption,2005-2008,178.04582049315067
Electricity,2005-2008,-780.0825229109589
Industry,2005,136.4311010410959
Residential,2005,19.149072739726027
Electricity output in GWh,2005,148791.0
Production,2005,25.317538849315067
