flow,period,value
Industry,1971-1974,14.402887698630135
Transport,1971-1974,0.1666621095890411
Residential,1971-1974,2.3216118219178083
Commercial,1971-1974,3.6916089041095894
Other,1971-1974,0.11614535616438357
Total Consumption,1971-1974,20.69891589041096
Production,1971-1974,63.775724335616445
Industry,1971,10.821811178082191
Residential,1971,1.6700752328767126
Commercial,1971,3.3176985753424653
Other,1971,0.09326169863013699
Total Consumption,1971,15.902846684931509
Production,1971,50.00417556164384
Industry,1972,12.721586520547945
Transport,1972,0.21588356164383563
Residential,1972,2.001672383561644
Commercial,1972,3.7373762191780826
Other,1972,0.11398652054794521
Total Consumption,1972,18.79050520547945
Production,1972,57.76748901369863
Industry,1973,15.27764789041096
Transport,1973,0.22106476712328765
Residential,1973,2.6717749589041095
Commercial,1973,3.8410003287671235
Other,1973,0.14334668493150685
Total Consumption,1973,22.15483463013699
Production,1973,69.68769567123287
Industry,1974,18.79050520547945
Transport,1974,0.2297001095890411
Residential,1974,2.9429247123287676
Commercial,1974,3.870360493150685
Other,1974,0.11398652054794521
Total Consumption,1974,25.94747704109589
Production,1974,77.64353709589041
Industry,1975,20.30341720547945
Transport,1975,0.4404024657534247
Residential,1975,3.4990407671232875
Commercial,1975,4.334941917808219
Other,1975,0.14334668493150685
Total Consumption,1975,28.72114904109589
Production,1975,105.62078150684933
Industry,1976,24.355119890410958
Transport,1976,0.42658591780821925
Residential,1976,4.127693698630137
Commercial,1976,4.775344383561644
Other,1976,0.20033994520547946
Total Consumption,1976,33.885083835616435
Production,1976,113.52442931506852
Industry,1977,28.31356087671233
Transport,1977,0.5215746849315068
Residential,1977,5.024042246575343
Commercial,1977,5.309008547945205
Other,1977,0.26769561643835615
Total Consumption,1977,39.435881972602736
Production,1977,127.3678673150685
Industry,1978,33.220162465753425
Transport,1978,0.6269258630136987
Residential,1978,6.75801901369863
Commercial,1978,6.284802246575342
Other,1978,0.30396405479452054
Total Consumption,1978,47.19387364383562
Production,1978,153.72508131506845
Industry,1979,37.25459446575343
Transport,1979,0.6701025753424658
Residential,1979,8.60080109589041
Commercial,1979,6.95663189041096
Other,1979,0.3074181917808219
Total Consumption,1979,53.78954821917808
Production,1979,169.19132106849312
Industry,1980,39.238996164383565
Transport,1980,0.6873732602739726
Residential,1980,9.182823178082192
Commercial,1980,7.091343232876712
Other,1980,0.3350512876712329
Total Consumption,1980,56.53558712328768
Production,1980,175.4350953972603
Industry,1981,41.52045364383561
Transport,1981,0.7979056438356165
Residential,1981,10.250151506849317
Commercial,1981,8.172488109589041
Other,1981,0.4404024657534247
Total Consumption,1981,61.18140136986302
Production,1981,185.5133031780822
Industry,1982,43.25615747945206
Transport,1982,0.8099951232876713
Residential,1982,11.39692498630137
Commercial,1982,9.27608487671233
Other,1982,0.6821920547945206
Total Consumption,1982,65.42135452054794
Production,1982,193.82257109589042
Industry,1983,48.17657561643835
Transport,1983,0.8877132054794521
Residential,1983,13.372691342465755
Commercial,1983,10.447037315068494
Other,1983,0.7253687671232876
Total Consumption,1983,73.60938624657534
Production,1983,228.70927432876712
Industry,1984-1987,60.44264782191781
Transport,1984-1987,1.3259568356164384
Residential,1984-1987,17.335018232876713
Commercial,1984-1987,13.959894630136986
Other,1984-1987,1.1748383424657531
Total Consumption,1984-1987,94.2383558630137
Production,1984-1987,309.39966147945205
Industry,1984,52.3249941369863
Transport,1984,1.0431493698630137
Residential,1984,15.123938794520548
Commercial,1984,11.859779342465753
Other,1984,0.9084380273972603
Total Consumption,1984,81.26029967123287
Production,1984,259.6519355068493
Industry,1985,55.43199035616438
Transport,1985,1.2503975890410959
Residential,1985,16.6351237260274
Commercial,1985,13.258704821917807
Other,1985,1.041422301369863
Total Consumption,1985,87.61763879452056
Production,1985,278.07618169863014
Industry,1986,62.31263123287672
Transport,1986,1.5198202739726028
Residential,1986,17.787078410958905
Commercial,1986,14.332941424657536
Other,1986,1.298755506849315
Total Consumption,1986,97.25122684931507
Production,1986,326.5682485479452
Industry,1987,71.70097556164384
Transport,1987,1.4904601095890413
Residential,1987,19.793931999999998
Commercial,1987,16.38815293150685
Other,1987,1.4507375342465751
Total Consumption,1987,110.8242581369863
Production,1987,373.3022801643836
Industry,1988,81.6091675068493
Transport,1988,1.6079007671232877
Residential,1988,22.8163018630137
Commercial,1988,20.078898301369865
Other,1988,2.2382807671232876
Total Consumption,1988,128.35054920547944
Production,1988,428.6601270684931
Industry,1989,88.12194279452055
Transport,1989,1.6579857534246576
Residential,1989,26.208264383561644
Commercial,1989,23.436319452054796
Other,1989,2.526701205479452
Total Consumption,1989,141.9512135890411
Production,1989,467.93866506849315
Industry,1990,99.80901528767123
Transport,1990,1.7477933150684932
Residential,1990,30.6295597260274
Commercial,1990,28.30319846575342
Other,1990,2.5180658630136987
Total Consumption,1990,163.00763265753426
Production,1990,539.2742451506849
Industry,1991,109.50477780821919
Transport,1991,1.884231726027397
Residential,1991,33.64674838356164
Commercial,1991,32.15456120547945
Other,1991,3.070727780821917
Total Consumption,1991,180.2610469041096
Production,1991,595.5061895342465
Industry,1992,118.04340443835618
Transport,1992,2.029305479452055
Residential,1992,37.643184876712326
Commercial,1992,37.59482695890411
Other,1992,3.725286739726028
Total Consumption,1992,199.0360084931507
Production,1992,649.2644697808219
Industry,1993,128.32982438356163
Transport,1993,2.1726521643835617
Residential,1993,41.30457008219178
Commercial,1993,44.96250115068493
Other,1993,3.83409205479452
Total Consumption,1993,220.60363983561643
Production,1993,696.6202259726027
Industry,1994,144.10314093150683
Transport,1994,2.4973410410958903
Residential,1994,45.85884969863014
Commercial,1994,55.589153589041096
Other,1994,5.0361317260273974
Total Consumption,1994,253.08461698630137
Production,1994,764.5429580547944
Industry,1995,160.73135638356166
Transport,1995,2.775399068493151
Residential,1995,48.88121956164384
Commercial,1995,63.77027704109589
Other,1995,5.820220821917808
Total Consumption,1995,281.9784728767123
Production,1995,868.0437629863013
Industry,1996,177.68080657534247
Transport,1996,2.9049292054794513
Residential,1996,52.92083276712329
Commercial,1996,74.97031621917809
Other,1996,6.661303178082192
Total Consumption,1996,315.1381879452055
Production,1996,966.8706185205481
Industry,1997,193.7891744109589
Transport,1997,3.041367616438356
Residential,1997,56.15563205479452
Commercial,1997,86.56758115068493
Other,1997,7.2122380273972615
Total Consumption,1997,346.76599326027394
Production,1997,1076.142483068493
Industry,1998,181.0036863561644
Transport,1998,2.7287682191780824
Residential,1998,56.843005315068496
Commercial,1998,86.6107578630137
Other,1998,6.949723616438356
Total Consumption,1998,334.13594136986296
Production,1998,1018.4660467123288
Industry,1999-2002,250.61965847945206
Transport,1999-2002,3.5815082876712325
Residential,1999-2002,66.13463380821918
Commercial,1999-2002,127.69858084931509
Other,1999-2002,9.507080287671233
Total Consumption,1999-2002,457.5414617123288
Production,1999-2002,1376.7604280068492
Industry,1999,200.8356138630137
Transport,1999,2.9878284931506847
Residential,1999,59.723755561643834
Commercial,1999,98.52062219178082
Other,1999,7.896157150684932
Total Consumption,1999,369.96397726027396
Production,1999,1134.9516755342465
Industry,2000,259.73555775342464
Transport,2000,3.518038520547945
Residential,2000,64.0776952328767
Commercial,2000,117.93459912328765
Other,2000,9.163825424657535
Total Consumption,2000,454.4297160547945
Production,2000,1389.8295519178082
Industry,2001,264.81832032876713
Transport,2001,3.897993589041096
Residential,2001,67.72008268493151
Commercial,2001,139.52122821917808
Other,2001,10.33650493150685
Total Consumption,2001,486.29412975342467
Production,2001,1485.9077578630138
Industry,2002,277.08914197260276
Transport,2002,3.922172547945206
Residential,2002,73.01700175342465
Commercial,2002,154.81787386301372
Other,2002,10.631833643835618
Total Consumption,2002,519.4780237808219
Production,2002,1496.3527267123286
Industry,2003,291.0283117808219
Transport,2003,4.025796657534246
Residential,2003,76.97889687671233
Commercial,2003,167.01615863013697
Other,2003,10.26569512328767
Total Consumption,2003,549.3148590684931
Production,2003,1580.0053777260273
Industry,2004,306.20578969863016
Transport,2004,4.274494520547945
Residential,2004,83.96143479452056
Commercial,2004,177.95713753424658
Other,2004,11.243215890410958
Total Consumption,2004,583.6420724383562
Production,2004,1746.1684046849316
Industry,2005-2008,334.2900822328767
Transport,2005-2008,4.236930780821918
Residential,2005-2008,92.32649104109589
Commercial,2005-2008,212.17036438356166
Other,2005-2008,13.161125452054794
Total Consumption,2005-2008,656.1849938904109
Production,2005-2008,1940.7669968561645
Industry,2005,317.7011575890411
Transport,2005,4.492105150684932
Residential,2005,87.86288252054794
Commercial,2005,195.48860980821917
Other,2005,12.101568931506849
Total Consumption,2005,617.6463239999999
Production,2005,1857.676260630137
Industry,2006,327.21385084931507
Transport,2006,4.376391561643835
Residential,2006,90.73499742465752
Commercial,2006,206.42786164383563
Other,2006,12.600691726027398
Total Consumption,2006,641.3537932054794
Production,2006,1924.638822958904
Industry,2007,346.3273178630137
Transport,2007,4.2451343561643835
Residential,2007,93.59674991780821
Commercial,2007,217.97849572602738
Other,2007,13.46077183561644
Total Consumption,2007,675.6084696986301
Production,2007,1946.2966434246575
Industry,2008,345.91800263013704
Transport,2008,3.83409205479452
Residential,2008,97.11133430136987
Commercial,2008,228.78649035616436
Other,2008,14.481469315068495
Total Consumption,2008,690.1313886575342
Production,2008,2034.456260410959
Industry,2009,344.2496544657534
Transport,2009,3.754646904109589
Residential,2009,99.62767309589042
Commercial,2009,237.24394476712328
Other,2009,15.794041369863015
Total Consumption,2009,700.6699606027397
Production,2009,2126.852798136986
Industry,2010,393.97886465753425
Transport,2010,3.7840070684931506
Residential,2010,105.84684673972603
Commercial,2010,255.09837884931508
Other,2010,17.34149473972603
Total Consumption,2010,776.0495920547944
Production,2010,2298.664001780822
Industry,2011,424.9382944657534
Transport,2011,3.8789958356164385
Residential,2011,106.84163819178082
Commercial,2011,258.85820695890413
Other,2011,18.263749315068495
Total Consumption,2011,812.7808847671233
Production,2011,2432.9062041643833
Industry,2012,432.8776283287671
Transport,2012,3.885904109589041
Residential,2012,110.3475872328767
Commercial,2012,263.4573903561644
Other,2012,20.850897917808222
Total Consumption,2012,831.4194079452055
Production,2012,2463.6214345205485
Industry,2013,441.6062324931507
Transport,2013,3.7442844931506856
Residential,2013,110.52202115068494
Commercial,2013,262.86845999999997
Other,2013,22.557241589041094
Total Consumption,2013,841.2982397260273
Production,2013,2385.6322829041096
Industry,2014,448.3573432328767
Transport,2014,3.4593181917808224
Residential,2014,108.6809661369863
Commercial,2014,256.88589473972604
Other,2014,23.412140493150684
Total Consumption,2014,840.7956627945205
Production,2014,2407.47568290411
Industry,2015,526.9907717260273
Transport,2015,30.973246356164385
Residential,2015,462.229157369863
Commercial,2015,564.3023594520547
Other,2015,54.89659912328768
Total Consumption,2015,1639.392134027397
Production,2015,3716.9586547945205
Industry,2016,458.2521403561644
Transport,2016,4.643243726027397
Residential,2016,118.75776816438358
Commercial,2016,283.9169466027397
Other,2016,27.6315897260274
Total Consumption,2016,893.2016684931507
Production,2016,2532.976428520548
