flow,period,value
Other,1993,0.004799643835616438
Residential,1994,7.715678493150684
Commercial,1994,0.31219775342465755
Other,1994,1.3509290410958903
Residential,1995,10.691377342465753
Commercial,1995,0.5284829589041096
Other,1995,4.181795123287672
Residential,1996,12.846517835616439
Commercial,1996,0.8257998082191782
Other,1996,3.1809388493150688
Residential,1997,14.103462219178082
Commercial,1997,1.0075637260273973
Other,1997,1.9139332876712332
Residential,1998,14.23437802739726
Commercial,1998,1.0641553424657535
Industry,1999-2002,31.14999474657534
Residential,1999-2002,21.26453082191781
Commercial,1999-2002,2.2611393219178084
Residential,1999,18.691439753424657
Commercial,1999,1.854469917808219
Industry,2000,42.671484547945205
Residential,2000,21.499271561643837
Commercial,2000,1.9302400273972604
Industry,2001,40.61896405479452
Residential,2001,22.12463101369863
Commercial,2001,2.32923301369863
Industry,2002,41.30953038356164
Residential,2002,22.742780958904106
Commercial,2002,2.9306143287671236
Industry,2003,38.16600465753425
Residential,2003,24.3732942739726
Commercial,2003,2.898482821917808
Industry,2004,58.100953808219174
Residential,2004,25.754447013698627
Commercial,2004,3.3396684931506853
Industry,2005-2008,58.70459436986301
Residential,2005-2008,28.495856972602738
Commercial,2005-2008,4.2256646712328765
Industry,2005,57.12262975342466
Residential,2005,29.09985901369863
Commercial,2005,4.0633302739726025
Industry,2006,57.35186797260273
Residential,2006,27.44777742465753
Commercial,2006,3.6456407671232873
Industry,2007,60.19855882191781
Residential,2007,27.937883315068493
Commercial,2007,4.030716794520548
Industry,2008,60.14532093150685
Residential,2008,29.4979081369863
Commercial,2008,5.1629708493150686
Industry,2009,54.269231452054804
Residential,2009,30.937560301369864
Commercial,2009,3.87391504109589
Industry,2010,46.946802438356166
Residential,2010,35.30925263013699
Commercial,2010,4.728010657534247
Industry,2011,48.830994
Residential,2011,36.220421835616435
Commercial,2011,5.244986520547945
Industry,2012,42.730968000000004
Residential,2012,37.82022947945205
Commercial,2012,19.321096794520546
Industry,2013,42.63792720547945
Residential,2013,37.14452397260274
Commercial,2013,5.672757287671232
Industry,2014,50.43897509589041
Residential,2014,34.71747060273973
Commercial,2014,6.365713397260275
Residential,2015,0.5284829589041096
Commercial,2015,9.69003909589041
Industry,2016,56.25919591780822
Residential,2016,34.01616030136986
Commercial,2016,5.324170602739726
