flow,period,value
Electricity output in GWh,1971-1974,1469.25
Production,1971-1974,2.5374953835616436
Electricity,1971-1974,-2.5374953835616436
Electricity output in GWh,1971,1320.0
Production,1971,2.279730410958904
Electricity,1971,-2.279730410958904
Electricity output in GWh,1972,1367.0
Production,1972,2.3609026301369864
Electricity,1972,-2.3609026301369864
Electricity output in GWh,1973,1284.0
Production,1973,2.2175559452054796
Electricity,1973,-2.2175559452054796
Electricity output in GWh,1974,1906.0
Production,1974,3.2917925479452053
Electricity,1974,-3.2917925479452053
Electricity output in GWh,1975,1683.0
Production,1975,2.906656273972603
Electricity,1975,-2.906656273972603
Electricity output in GWh,1976,1789.0
Production,1976,3.0897255342465755
Electricity,1976,-3.0897255342465755
Electricity output in GWh,1977,1393.0
Production,1977,2.405806410958904
Electricity,1977,-2.405806410958904
Electricity output in GWh,1978,1808.0
Production,1978,3.1225398356164384
Electricity,1978,-3.1225398356164384
Electricity output in GWh,1979,2328.0
Production,1979,4.020615452054795
Electricity,1979,-4.020615452054795
Electricity output in GWh,1980,1984.0
Production,1980,3.4265038904109586
Electricity,1980,-3.4265038904109586
Electricity output in GWh,1981,2709.0
Production,1981,4.678628547945205
Electricity,1981,-4.678628547945205
Electricity output in GWh,1982,2005.0
Production,1982,3.4627723287671235
Electricity,1982,-3.4627723287671235
Electricity output in GWh,1983,2723.0
Production,1983,4.702807506849315
Electricity,1983,-4.702807506849315
Electricity output in GWh,1984-1987,3855.25
Production,1984-1987,6.658280808219177
Electricity,1984-1987,-6.658280808219177
Electricity output in GWh,1984,2399.0
Production,1984,4.143237315068493
Electricity,1984,-4.143237315068493
Electricity output in GWh,1985,3659.0
Production,1985,6.319343616438355
Electricity,1985,-6.319343616438355
Electricity output in GWh,1986,4019.0
Production,1986,6.941088273972603
Electricity,1986,-6.941088273972603
Electricity output in GWh,1987,5344.0
Production,1987,9.22945402739726
Electricity,1987,-9.22945402739726
Electricity output in GWh,1988,3566.0
Production,1988,6.158726246575342
Electricity,1988,-6.158726246575342
Electricity output in GWh,1989,4588.0
Production,1989,7.923790246575342
Electricity,1989,-7.923790246575342
Electricity output in GWh,1990,6361.0
Production,1990,10.985882684931507
Electricity,1990,-10.985882684931507
Electricity output in GWh,1991,3486.0
Production,1991,6.020560767123287
Electricity,1991,-6.020560767123287
Electricity output in GWh,1992,3097.0
Production,1992,5.348731123287671
Electricity,1992,-5.348731123287671
Electricity output in GWh,1993,4227.0
Production,1993,7.300318520547945
Electricity,1993,-7.300318520547945
Electricity output in GWh,1994,2346.0
Production,1994,4.051702684931507
Electricity,1994,-4.051702684931507
Electricity output in GWh,1995,2760.0
Production,1995,4.766709041095891
Electricity,1995,-4.766709041095891
Electricity output in GWh,1996,2424.0
Production,1996,4.1864140273972605
Electricity,1996,-4.1864140273972605
Electricity output in GWh,1997,2813.0
Production,1997,4.858243671232877
Electricity,1997,-4.858243671232877
Electricity output in GWh,1998,4279.0
Production,1998,7.390126082191781
Electricity,1998,-7.390126082191781
Electricity output in GWh,1999-2002,3888.25
Production,1999-2002,6.715274068493151
Electricity,1999-2002,-6.715274068493151
Electricity output in GWh,1999,4159.0
Production,1999,7.182877863013698
Electricity,1999,-7.182877863013698
Electricity output in GWh,2000,4010.0
Production,2000,6.925544657534247
Electricity,2000,-6.925544657534247
Electricity output in GWh,2001,4151.0
Production,2001,7.169061315068492
Electricity,2001,-7.169061315068492
Electricity output in GWh,2002,3233.0
Production,2002,5.583612438356164
Electricity,2002,-5.583612438356164
Electricity output in GWh,2003,4902.0
Production,2003,8.466089753424658
Electricity,2003,-8.466089753424658
Electricity output in GWh,2004,4330.0
Production,2004,7.478206575342465
Electricity,2004,-7.478206575342465
Electricity output in GWh,2005-2008,3460.5
Production,2005-2008,5.976520520547945
Electricity,2005-2008,-5.976520520547945
Electricity output in GWh,2005,3673.0
Production,2005,6.343522575342465
Electricity,2005,-6.343522575342465
Electricity output in GWh,2006,3468.0
Production,2006,5.989473534246575
Electricity,2006,-5.989473534246575
Electricity output in GWh,2007,3631.0
Production,2007,6.270985698630136
Electricity,2007,-6.270985698630136
Electricity output in GWh,2008,3070.0
Production,2008,5.302100273972602
Electricity,2008,-5.302100273972602
Electricity output in GWh,2009,2813.0
Production,2009,4.858243671232877
Electricity,2009,-4.858243671232877
Electricity output in GWh,2010,3682.0
Production,2010,6.359066191780822
Electricity,2010,-6.359066191780822
Electricity output in GWh,2011,92.33791780821919
Production,2011,7.941060931506849
Electricity,2011,-7.941060931506849
Electricity output in GWh,2012,3969.0
Production,2012,6.854734849315069
Electricity,2012,-6.854734849315069
Electricity output in GWh,2013,4289.0
Production,2013,7.407396767123287
Electricity,2013,-7.407396767123287
Electricity output in GWh,2014,2752.0
Production,2014,4.752892493150685
Electricity,2014,-4.752892493150685
Electricity output in GWh,2015,85193.0
Production,2015,147.13414613698632
Electricity,2015,-147.13414613698632
Electricity output in GWh,2016,2847.0
Production,2016,4.916080383561644
Electricity,2016,-4.916080383561644
