flow,period,value
Electricity output in GWh,1977,71.0
Production,1977,0.371580794520548
Electricity,1977,-0.371580794520548
Electricity output in GWh,1978,2324.0
Production,1978,12.162739287671233
Electricity,1978,-12.162739287671233
Electricity output in GWh,1979,3152.0
Production,1979,16.496114794520548
Electricity,1979,-16.496114794520548
Electricity output in GWh,1980,3477.0
Production,1980,18.197016191780822
Electricity,1980,-18.197016191780822
Electricity output in GWh,1981,2897.0
Production,1981,15.161572821917808
Electricity,1981,-15.161572821917808
Electricity output in GWh,1982,3777.0
Production,1982,19.76708210958904
Electricity,1982,-19.76708210958904
Electricity output in GWh,1983,8965.0
Production,1983,46.91868736986301
Electricity,1983,-46.91868736986301
Electricity output in GWh,1984-1987,24040.5
Production,1984-1987,125.81693972602741
Electricity,1984-1987,-125.81693972602741
Electricity output in GWh,1984,11792.0
Production,1984,61.713920849315066
Electricity,1984,-61.713920849315066
Electricity output in GWh,1985,16745.0
Production,1985,87.63563243835617
Electricity,1985,-87.63563243835617
Electricity output in GWh,1986,28311.0
Production,1986,148.16677243835616
Electricity,1986,-148.16677243835616
Electricity output in GWh,1987,39314.0
Production,1987,205.7514331780822
Electricity,1987,-205.7514331780822
Electricity output in GWh,1988,40101.0
Production,1988,209.87023046575342
Electricity,1988,-209.87023046575342
Electricity output in GWh,1989,47365.0
Production,1989,247.8866629589041
Electricity,1989,-247.8866629589041
Electricity output in GWh,1990,52887.0
Production,1990,276.7862824383562
Electricity,1990,-276.7862824383562
Electricity output in GWh,1991,56311.0
Production,1991,294.7059233972603
Electricity,1991,-294.7059233972603
Electricity output in GWh,1992,56530.0
Production,1992,295.8520743287671
Electricity,1992,-295.8520743287671
Electricity output in GWh,1993,58138.0
Production,1993,304.26759712328766
Electricity,1993,-304.26759712328766
Electricity output in GWh,1994,58651.0
Production,1994,306.95240542465757
Electricity,1994,-306.95240542465757
Electricity output in GWh,1995,67029.0
Production,1995,350.79901950684933
Electricity,1995,-350.79901950684933
Electricity output in GWh,1996,73924.0
Production,1996,386.8842681095891
Electricity,1996,-386.8842681095891
Electricity output in GWh,1997,77086.0
Production,1997,403.4327371780822
Electricity,1997,-403.4327371780822
Electricity output in GWh,1998,89689.0
Production,1998,469.39104934246575
Electricity,1998,-469.39104934246575
Electricity output in GWh,1999-2002,110816.0
Production,1999-2002,579.9600678424658
Electricity,1999-2002,-579.9600678424658
Electricity output in GWh,1999,103064.0
Production,1999,539.3896575068493
Electricity,1999,-539.3896575068493
Electricity output in GWh,2000,108964.0
Production,2000,570.2675536164384
Electricity,2000,-570.2675536164384
Electricity output in GWh,2001,112133.0
Production,2001,586.852632520548
Electricity,2001,-586.852632520548
Electricity output in GWh,2002,119103.0
Production,2002,623.3304277260274
Electricity,2002,-623.3304277260274
Electricity output in GWh,2003,129672.0
Production,2003,678.6437122465754
Electricity,2003,-678.6437122465754
Electricity output in GWh,2004,130715.0
Production,2004,684.1022929589041
Electricity,2004,-684.1022929589041
Electricity output in GWh,2005-2008,147355.75
Production,2005-2008,771.1923424520548
Electricity,2005-2008,-771.1923424520548
Electricity output in GWh,2005,146779.0
Production,2005,768.1738986575343
Electricity,2005,-768.1738986575343
Electricity output in GWh,2006,148749.0
Production,2006,778.4839754246575
Electricity,2006,-778.4839754246575
Electricity output in GWh,2007,142937.0
Production,2007,748.066624219178
Electricity,2007,-748.066624219178
Electricity output in GWh,2008,150958.0
Production,2008,790.0448715068493
Electricity,2008,-790.0448715068493
Electricity output in GWh,2009,147771.0
Production,2009,773.3655669589041
Electricity,2009,-773.3655669589041
Electricity output in GWh,2010,148596.0
Production,2010,777.6832381917808
Electricity,2010,-777.6832381917808
Electricity output in GWh,2011,3107.1769589041096
Production,2011,809.7491566027396
Electricity,2011,-809.7491566027396
Electricity output in GWh,2012,150327.0
Production,2012,786.7424956438357
Electricity,2012,-786.7424956438357
Electricity output in GWh,2013,138784.0
Production,2013,726.3317483835616
Electricity,2013,-726.3317483835616
Electricity output in GWh,2014,156407.0
Production,2014,818.5624272876713
Electricity,2014,-818.5624272876713
Electricity output in GWh,2015,9437.0
Production,2015,49.3889174520548
Electricity,2015,-49.3889174520548
Electricity output in GWh,2016,161995.0
Production,2016,847.6548759726028
Electricity,2016,-847.6548759726028
