product,flow,value
Coal and coal products,Industry,81.47724256849317
"Crude, NGL and feedstocks",Industry,3.1694468150684934
Coal and coal products,Transport,2.9777171095890416
Coal and coal products,Residential,6.003460780821917
Coal and coal products,Commercial,0.7078821986301369
Coal and coal products,Other,2.722407184931507
Gas,Industry,224.56628302054798
Combustible renewables and waste,Industry,316.8177771164383
Combustible renewables and waste,Transport,4.603777198630137
Gas,Residential,43.97508488356165
Combustible renewables and waste,Residential,804.0329565136989
Gas,Commercial,0.1105876095890411
Combustible renewables and waste,Commercial,5.927911575342467
Gas,Other,21.422738328767124
Combustible renewables and waste,Other,99.19744728082192
Oil Products,Industry,442.55376552739733
Oil Products,Transport,1074.6561347876714
Oil Products,Residential,202.17133064383566
Oil Products,Commercial,40.78758919863013
Oil Products,Other,263.1187443561644
Electricity,Industry,139.0449890821918
Electricity,Transport,2.4783432876712324
Electricity,Residential,64.24349380821917
Electricity,Commercial,42.340379410958896
Electricity,Other,17.048756630136985
Coal and coal products,Electricity output in GWh,4904.5
Gas,Electricity output in GWh,20516.25
Nuclear,Electricity output in GWh,259.0
Hydro,Electricity output in GWh,104596.75
Geothermal,Electricity output in GWh,156.0
Combustible renewables and waste,Electricity output in GWh,1718.75
Oil Products,Electricity output in GWh,52381.0
Coal and coal products,Production,117.2447959178082
"Crude, NGL and feedstocks",Production,5561.218279226026
Gas,Production,620.5580460068493
Nuclear,Production,1.355487698630137
Hydro,Production,180.6457514109589
Geothermal,Production,2.693222739726027
Combustible renewables and waste,Production,1328.083856020548
Coal and coal products,Imports,56.17625144520547
"Crude, NGL and feedstocks",Imports,1578.9883050821918
Gas,Imports,18.976722349315068
Coal and coal products,Exports,-1.2869421575342463
"Crude, NGL and feedstocks",Exports,-2599.8168258561645
Gas,Exports,-25.04951187671233
Combustible renewables and waste,Exports,-0.36373869863013697
Coal and coal products,Total Consumption,93.88867971917809
"Crude, NGL and feedstocks",Total Consumption,3.1694468150684934
Gas,Total Consumption,290.0746988630137
Combustible renewables and waste,Total Consumption,1230.5799048287672
Oil Products,Imports,238.6526352123288
Electricity,Imports,0.6480824520547944
Oil Products,Exports,-1841.0279328630136
Electricity,Exports,-0.15068672602739724
Oil Products,Total Consumption,2023.2876297808223
Electricity,Total Consumption,265.1559622191781
Electricity,Production,700.1867328630136
Coal and coal products,Electricity,-30.60339263013698
Gas,Electricity,-130.61127684246574
Nuclear,Electricity,-1.355487698630137
Hydro,Electricity,-180.6457514109589
Geothermal,Electricity,-2.693222739726027
Combustible renewables and waste,Electricity,-14.790534246575342
Oil Products,Electricity,-339.48706729452044
"Crude, NGL and feedstocks",Oil Products,-4411.75032189726
All products,Heat and Waste,551.0462703356152
All products,Industry,1207.6294890684933
All products,Transport,1084.7159924657535
All products,Residential,1120.4262965068492
All products,Commercial,89.87435501369865
All products,Other,403.510013452055
All products,Total Consumption,3906.156322226028
All primary,Production,7811.799439020548
All primary,Imports,1654.1412788767122
All primary,Exports,-2626.517018589041
All primary,Total Consumption,1617.7127302260274
All primary,Electricity,-700.1867328630136
Oil Products,Production,4279.286653643836
All products,Hydrocarbon Heat and Waste,132.46366825342375
All products,Electricity Heat and Waste,418.58260208219144
