product,flow,value
Coal and coal products,Industry,257.65797468493156
"Crude, NGL and feedstocks",Industry,7.233906712328766
Coal and coal products,Transport,0.013053424657534247
Coal and coal products,Residential,1.6067560821917808
Coal and coal products,Commercial,0.19076073972602742
Coal and coal products,Other,2.459927917808219
Gas,Industry,885.4200199999999
Solar/Wind/Other,Industry,0.1788720821917808
Combustible renewables and waste,Industry,900.4334866575343
Gas,Transport,141.9857348767123
Combustible renewables and waste,Transport,267.2238054246575
Gas,Residential,239.15593008219176
Solar/Wind/Other,Residential,2.062119780821918
Combustible renewables and waste,Residential,688.8951088493152
Gas,Commercial,50.61196309589041
Geothermal,Commercial,0.04892021917808219
Solar/Wind/Other,Commercial,1.345667506849315
Combustible renewables and waste,Commercial,11.376180082191778
Gas,Other,313.75040808219177
Solar/Wind/Other,Other,9.988821945205478
Combustible renewables and waste,Other,68.72122010958905
Oil Products,Industry,839.1643662739725
Oil Products,Transport,3849.7427494794524
Oil Products,Residential,415.5006483561645
Oil Products,Commercial,84.2134462191781
Oil Products,Other,846.2510102739725
Electricity,Industry,940.6046780821916
Electricity,Transport,9.295082630136987
Electricity,Residential,535.7919127671233
Electricity,Commercial,432.5425770410959
Electricity,Other,98.39627326027399
Coal and coal products,Electricity output in GWh,85960.0
Gas,Electricity output in GWh,353252.0
Nuclear,Electricity output in GWh,31203.0
Hydro,Electricity output in GWh,752057.0
Geothermal,Electricity output in GWh,9523.0
Solar/Wind/Other,Electricity output in GWh,11046.0
Combustible renewables and waste,Electricity output in GWh,52383.0
Oil Products,Electricity output in GWh,162463.0
Coal and coal products,Production,1390.6487848493152
"Crude, NGL and feedstocks",Production,11132.015974794522
Gas,Production,3783.4127360273974
Nuclear,Production,163.30217816438358
Hydro,Production,1298.8539497534248
Geothermal,Production,163.58463419178085
Solar/Wind/Other,Production,32.72122041095891
Combustible renewables and waste,Production,2659.230818630138
Coal and coal products,Imports,520.7190229041097
"Crude, NGL and feedstocks",Imports,814.7106629041095
Gas,Imports,867.4663999726027
Combustible renewables and waste,Imports,12.643125397260272
Coal and coal products,Exports,-1124.8428223287672
"Crude, NGL and feedstocks",Exports,-5121.039855424658
Gas,Exports,-714.7083163561643
Combustible renewables and waste,Exports,-63.91105320547944
Coal and coal products,Total Consumption,261.9284728493151
"Crude, NGL and feedstocks",Total Consumption,7.233906712328766
Gas,Total Consumption,1630.9239958904113
Geothermal,Total Consumption,0.04892021917808219
Solar/Wind/Other,Total Consumption,13.575461232876712
Combustible renewables and waste,Total Consumption,1936.6498412876713
Oil Products,Imports,2233.3752098082196
Electricity,Imports,92.9145578630137
Oil Products,Exports,-1175.8819135616438
Electricity,Exports,-98.45153945205477
Oil Products,Total Consumption,6034.872120191781
Electricity,Total Consumption,2016.6305237808217
Electricity,Production,4538.360563424657
Coal and coal products,Electricity,-414.0634863835617
"Crude, NGL and feedstocks",Electricity,-4.598821917808219
Gas,Electricity,-1394.4507253150687
Nuclear,Electricity,-163.30217816438358
Hydro,Electricity,-1298.8539497534248
Geothermal,Electricity,-163.53571397260274
Solar/Wind/Other,Electricity,-19.145759178082194
Combustible renewables and waste,Electricity,-320.63299693150685
Oil Products,Electricity,-759.7769318082189
"Crude, NGL and feedstocks",Oil Products,-6570.3455896438345
All products,Heat and Waste,2618.5674930136956
All products,Industry,3830.6932241643844
All products,Transport,4268.260466
All products,Residential,1883.0124558356163
All products,Commercial,580.3294144931508
All products,Other,1339.5676214246573
All products,Total Consumption,11901.863242164383
All primary,Production,20623.770296821924
All primary,Imports,2215.539211178082
All primary,Exports,-7024.502047315069
All primary,Total Consumption,3850.3605981917813
All primary,Oil Products,-6570.3455896438345
All primary,Electricity,-4538.360563424657
Oil Products,Production,6346.855295397261
All products,Hydrocarbon Heat and Waste,223.49029424657328
All products,Electricity Heat and Waste,2395.0771987671224
