flow,period,value
Electricity output in GWh,1971-1974,104596.75
Production,1971-1974,180.6457514109589
Electricity,1971-1974,-180.6457514109589
Electricity output in GWh,1971,86270.0
Production,1971,148.7765882739726
Electricity,1971,-148.7765882739726
Electricity output in GWh,1972,96916.0
Production,1972,167.38057008219175
Electricity,1972,-167.38057008219175
Electricity output in GWh,1973,108267.0
Production,1973,186.98452454794523
Electricity,1973,-186.98452454794514
Electricity output in GWh,1974,121372.0
Production,1974,209.61775715068495
Electricity,1974,-209.61775715068492
Electricity output in GWh,1975,127895.0
Production,1975,220.88342493150688
Electricity,1975,-220.88342493150685
Electricity output in GWh,1976,144804.0
Production,1976,250.0864260821918
Electricity,1976,-250.08642608219176
Electricity output in GWh,1977,161496.0
Production,1977,278.914653369863
Electricity,1977,-278.91465336986295
Electricity output in GWh,1978,173591.0
Production,1978,299.80354679452057
Electricity,1978,-299.80354679452057
Electricity output in GWh,1979,196665.0
Production,1979,339.6539252054794
Electricity,1979,-339.6539252054794
Electricity output in GWh,1980,216158.0
Production,1980,375.54068142465746
Electricity,1980,-375.5406814246575
Electricity output in GWh,1981,229568.0
Production,1981,396.4796598356165
Electricity,1981,-396.4796598356165
Electricity output in GWh,1982,244342.0
Production,1982,421.9953697534247
Electricity,1982,-421.99536975342477
Electricity output in GWh,1983,259998.0
Production,1983,449.03435408219184
Electricity,1983,-449.0343540821918
Electricity output in GWh,1984-1987,103854.70723972602
Production,1984-1987,547.945725520548
Electricity,1984-1987,-547.9457255205481
Electricity output in GWh,1984,287042.0
Production,1984,495.74119441095894
Electricity,1984,-495.741194410959
Electricity output in GWh,1985,311092.0
Production,1985,537.2771916712328
Electricity,1985,-537.2771916712329
Electricity output in GWh,1986,327418.0
Production,1986,565.4733118904112
Electricity,1986,-565.473311890411
Electricity output in GWh,1987,346735.0
Production,1987,598.8350939726026
Electricity,1987,-598.8350939726027
Electricity output in GWh,1988,360336.0
Production,1988,622.3249525479453
Electricity,1988,-622.3249525479454
Electricity output in GWh,1989,370835.0
Production,1989,640.4574446575341
Electricity,1989,-640.4574446575341
Electricity output in GWh,1990,384811.0
Production,1990,664.5949539178081
Electricity,1990,-664.5949539178081
Electricity output in GWh,1991,406828.0
Production,1991,702.619820931507
Electricity,1991,-702.6198209315071
Electricity output in GWh,1992,417893.0
Production,1992,721.7298338082192
Electricity,1992,-721.729833808219
Electricity output in GWh,1993,449657.0
Production,1993,776.5884374246574
Electricity,1993,-776.5884374246574
Electricity output in GWh,1994,467404.0
Production,1994,807.2387219726025
Electricity,1994,-807.2387219726027
Electricity output in GWh,1995,489858.0
Production,1995,846.0183179178082
Electricity,1995,-846.0183179178084
Electricity output in GWh,1996,512219.0
Production,1996,884.6372964931505
Electricity,1996,-884.6372964931505
Electricity output in GWh,1997,534160.0
Production,1997,922.5309063013702
Electricity,1997,-922.53090630137
Electricity output in GWh,1998,542485.0
Production,1998,925.6724438904108
Electricity,1998,-925.672443890411
Electricity output in GWh,1999-2002,103854.70723972602
Production,1999-2002,969.4428360136988
Electricity,1999-2002,-969.4428360136986
Electricity output in GWh,1999,552276.0
Production,1999,953.8184791232877
Electricity,1999,-953.8184791232878
Electricity output in GWh,2000,582493.0
Production,2000,1006.0053077808219
Electricity,2000,-1006.0053077808219
Electricity output in GWh,2001,542163.0
Production,2001,936.3526354520549
Electricity,2001,-936.3526354520549
Electricity output in GWh,2002,563524.0
Production,2002,973.2445455342468
Electricity,2002,-973.2445455342466
Electricity output in GWh,2003,581457.0
Production,2003,1004.2160648219177
Electricity,2003,-1004.2160648219177
Electricity output in GWh,2004,610988.0
Production,2004,1055.2181244931505
Electricity,2004,-1055.2181244931505
Electricity output in GWh,2005-2008,103854.70723972602
Production,2005-2008,1179.0001457671235
Electricity,2005-2008,-1179.0001457671235
Electricity output in GWh,2005,647106.0
Production,2005,1117.5963843287673
Electricity,2005,-1117.5963843287673
Electricity output in GWh,2006,677531.0
Production,2006,1170.1424432328763
Electricity,2006,-1170.1424432328768
Electricity output in GWh,2007,695473.0
Production,2007,1201.1295061369863
Electricity,2007,-1201.1295061369863
Electricity output in GWh,2008,710774.0
Production,2008,1227.555381150685
Electricity,2008,-1227.555381150685
Electricity output in GWh,2009,720724.0
Production,2009,1244.7397126575343
Electricity,2009,-1244.7397126575343
Electricity output in GWh,2010,728906.0
Production,2010,1258.8705870684933
Electricity,2010,-1258.8705870684935
Electricity output in GWh,2011,770377.0
Production,2011,1330.4938445479452
Electricity,2011,-1330.4938445479454
Electricity output in GWh,2012,752057.0
Production,2012,1298.8539497534248
Electricity,2012,-1298.8539497534248
Electricity output in GWh,2013,727702.0
Production,2013,1256.7911966027398
Electricity,2013,-1256.7911966027398
Electricity output in GWh,2014,737317.0
Production,2014,1273.3969601643837
Electricity,2014,-1273.3969601643832
