flow,period,value
Electricity output in GWh,1971-1974,259.0
Production,1971-1974,1.355487698630137
Electricity,1971-1974,-1.355487698630137
Electricity output in GWh,1974,1036.0
Production,1974,5.421950794520548
Electricity,1974,-5.421950794520548
Electricity output in GWh,1975,2517.0
Production,1975,13.172813287671234
Electricity,1975,-13.172813287671234
Electricity output in GWh,1976,2572.0
Production,1976,13.460671424657534
Electricity,1976,-13.460671424657534
Electricity output in GWh,1977,1637.0
Production,1977,8.567304000000002
Electricity,1977,-8.567304000000002
Electricity output in GWh,1978,2896.0
Production,1978,15.156331369863015
Electricity,1978,-15.156331369863015
Electricity output in GWh,1979,2692.0
Production,1979,14.088701808219177
Electricity,1979,-14.088701808219177
Electricity output in GWh,1980,2340.0
Production,1980,12.24648202739726
Electricity,1980,-12.24648202739726
Electricity output in GWh,1981,2816.0
Production,1981,14.737657835616439
Electricity,1981,-14.737657835616439
Electricity output in GWh,1982,1870.0
Production,1982,9.78671476712329
Electricity,1982,-9.78671476712329
Electricity output in GWh,1983,3405.0
Production,1983,17.82021402739726
Electricity,1983,-17.82021402739726
Electricity output in GWh,1984-1987,259.0
Production,1984-1987,37.58205970547945
Electricity,1984-1987,-37.58205970547945
Electricity output in GWh,1984,6284.0
Production,1984,32.88758128767123
Electricity,1984,-32.88758128767123
Electricity output in GWh,1985,9147.0
Production,1985,47.87120580821919
Electricity,1985,-47.87120580821919
Electricity output in GWh,1986,5855.0
Production,1986,30.64237216438356
Electricity,1986,-30.64237216438356
Electricity output in GWh,1987,7438.0
Production,1987,38.927079561643836
Electricity,1987,-38.927079561643836
Electricity output in GWh,1988,6406.0
Production,1988,33.526054410958906
Electricity,1988,-33.526054410958906
Electricity output in GWh,1989,7241.0
Production,1989,37.89605983561644
Electricity,1989,-37.89605983561644
Electricity output in GWh,1990,12455.0
Production,1990,65.18376210958904
Electricity,1990,-65.18376210958904
Electricity output in GWh,1991,13440.0
Production,1991,70.33880049315069
Electricity,1991,-70.33880049315069
Electricity output in GWh,1992,12759.0
Production,1992,66.77475367123289
Electricity,1992,-66.77475367123289
Electricity output in GWh,1993,13123.0
Production,1993,68.67975038356164
Electricity,1993,-68.67975038356164
Electricity output in GWh,1994,12529.0
Production,1994,65.5710270958904
Electricity,1994,-65.5710270958904
Electricity output in GWh,1995,18028.0
Production,1995,94.35027391780821
Electricity,1995,-94.35027391780821
Electricity output in GWh,1996,17764.0
Production,1996,92.96863920547943
Electricity,1996,-92.96863920547943
Electricity output in GWh,1997,21586.0
Production,1997,112.97122517808218
Electricity,1997,-112.97122517808218
Electricity output in GWh,1998,19983.0
Production,1998,104.58184939726026
Electricity,1998,-104.58184939726026
Electricity output in GWh,1999-2002,259.0
Production,1999-2002,132.1429757328767
Electricity,1999-2002,-132.1429757328767
Electricity output in GWh,1999,21085.0
Production,1999,110.34921389041095
Electricity,1999,-110.34921389041095
Electricity output in GWh,2000,20444.0
Production,2000,106.99450383561644
Electricity,2000,-106.99450383561644
Electricity output in GWh,2001,30064.0
Production,2001,157.34116109589039
Electricity,2001,-157.34116109589039
Electricity output in GWh,2002,29404.0
Production,2002,153.88702410958905
Electricity,2002,-153.88702410958905
Electricity output in GWh,2003,31426.0
Production,2003,164.46925473972604
Electricity,2003,-164.46925473972604
Electricity output in GWh,2004,28674.0
Production,2004,150.06654778082194
Electricity,2004,-150.06654778082194
Electricity output in GWh,2005-2008,259.0
Production,2005-2008,151.42595652739726
Electricity,2005-2008,-151.42595652739726
Electricity output in GWh,2005,27533.0
Production,2005,144.09506789041095
Electricity,2005,-144.09506789041095
Electricity output in GWh,2006,32311.0
Production,2006,169.10093112328767
Electricity,2006,-169.10093112328767
Electricity output in GWh,2007,29988.0
Production,2007,156.94343328767124
Electricity,2007,-156.94343328767124
Electricity output in GWh,2008,31103.0
Production,2008,162.77881616438356
Electricity,2008,-162.77881616438356
Electricity output in GWh,2009,31619.0
Production,2009,165.47932873972601
Electricity,2009,-165.47932873972601
Electricity output in GWh,2010,27573.0
Production,2010,144.30442473972602
Electricity,2010,-144.30442473972602
Electricity output in GWh,2011,32119.0
Production,2011,168.09609857534244
Electricity,2011,-168.09609857534244
Electricity output in GWh,2012,31203.0
Production,2012,163.30217816438358
Electricity,2012,-163.30217816438358
Electricity output in GWh,2013,32679.0
Production,2013,171.02689364383565
Electricity,2013,-171.02689364383565
Electricity output in GWh,2014,30811.0
Production,2014,161.25062161643837
Electricity,2014,-161.25062161643837
