product,flow,value
Coal and coal products,Industry,27.505132164383557
Gas,Industry,127.83425613698631
Combustible renewables and waste,Industry,26.607578684931507
Gas,Residential,7.820407123287672
Combustible renewables and waste,Residential,98.06098098630137
Gas,Other,10.214304794520547
Oil Products,Industry,70.26732797260274
Oil Products,Transport,248.55041956164382
Oil Products,Residential,51.723351753424666
Oil Products,Commercial,14.112599616438356
Oil Products,Other,60.86163263013699
Electricity,Industry,31.247850246575343
Electricity,Transport,0.6148363835616438
Electricity,Residential,14.939142465753426
Electricity,Other,7.7044525479452055
Coal and coal products,Electricity output in GWh,207.0
Gas,Electricity output in GWh,5285.0
Hydro,Electricity output in GWh,16189.0
Geothermal,Electricity output in GWh,161.0
Oil Products,Electricity output in GWh,15258.0
Coal and coal products,Production,30.437694465753427
"Crude, NGL and feedstocks",Production,552.0158736986302
Gas,Production,211.71046210958906
Hydro,Production,27.959511835616436
Geothermal,Production,2.779536
Combustible renewables and waste,Production,124.66855967123288
Coal and coal products,Imports,5.465448821917808
"Crude, NGL and feedstocks",Imports,72.15314619178082
Gas,Exports,-0.9667165479452055
Coal and coal products,Total Consumption,27.505132164383557
Gas,Total Consumption,145.8689881369863
Combustible renewables and waste,Total Consumption,124.66855967123288
Oil Products,Imports,70.33098852054795
Electricity,Imports,0.5474807123287672
Oil Products,Exports,-27.561924602739726
Oil Products,Total Consumption,445.51533153424657
Electricity,Total Consumption,54.506281643835614
Electricity,Production,143.26428769863014
Coal and coal products,Electricity,-1.011660493150685
Gas,Electricity,-32.254831589041096
Hydro,Electricity,-27.959511835616436
Geothermal,Electricity,-2.779536
Oil Products,Electricity,-79.25874778082192
"Crude, NGL and feedstocks",Oil Products,-575.8438561369862
All products,Heat and Waste,137.43023024657532
All products,Industry,283.4621452054795
All products,Transport,249.16525594520547
All products,Residential,172.54388232876713
All products,Commercial,14.112599616438356
All products,Other,78.78041005479453
All products,Total Consumption,798.064293150685
All primary,Production,949.571637780822
All primary,Imports,77.61859501369862
All primary,Exports,-0.9667165479452055
All primary,Total Consumption,298.04267997260274
All primary,Oil Products,-575.8438561369862
All primary,Electricity,-143.26428769863014
Oil Products,Production,525.574093589041
All products,Hydrocarbon Heat and Waste,50.26976254794522
All products,Electricity Heat and Waste,87.1604676986301
