product,flow,value
Coal and coal products,Industry,36.324166438356166
Coal and coal products,Other,0.1740824794520548
Gas,Industry,228.50400420547948
Combustible renewables and waste,Industry,37.485499506849315
Gas,Residential,13.273038486301374
Combustible renewables and waste,Residential,109.91049832876713
Gas,Other,40.74115415068493
Oil Products,Industry,160.51923823287672
Oil Products,Transport,481.9395072876712
Oil Products,Residential,107.54415844520548
Oil Products,Commercial,30.913542000000003
Oil Products,Other,179.8458475890411
Electricity,Industry,72.42116312328768
Electricity,Transport,1.1830419178082192
Electricity,Residential,25.252763739726024
Electricity,Commercial,16.009924931506852
Electricity,Other,21.627646972602736
Coal and coal products,Electricity output in GWh,5152.5
Gas,Electricity output in GWh,8529.0
Hydro,Electricity output in GWh,22046.5
Geothermal,Electricity output in GWh,2719.25
Oil Products,Electricity output in GWh,56816.5
Coal and coal products,Production,57.12025001369862
"Crude, NGL and feedstocks",Production,3076.5659802260275
Gas,Production,454.2323783972603
Hydro,Production,38.07581553424658
Geothermal,Production,46.94583347260274
Combustible renewables and waste,Production,147.39601289726028
Coal and coal products,Imports,5.846889972602741
Gas,Imports,0.8610842191780823
Coal and coal products,Exports,-0.5814246369863013
"Crude, NGL and feedstocks",Exports,-1573.6475014041096
Gas,Exports,-6.38869244520548
Coal and coal products,Total Consumption,36.49824891780822
Gas,Total Consumption,282.51818680136984
Combustible renewables and waste,Total Consumption,147.39601289726028
Oil Products,Imports,50.125236034246576
Electricity,Imports,0.15500439726027396
Oil Products,Exports,-92.91940269178082
Electricity,Exports,-1.6566904520547947
Oil Products,Total Consumption,960.7622985753424
Electricity,Total Consumption,136.4945406849315
Electricity,Production,415.30936045890417
Coal and coal products,Electricity,-18.481063732876713
Gas,Electricity,-45.77796867123288
Hydro,Electricity,-38.07581553424657
Geothermal,Electricity,-46.94583347260274
Oil Products,Electricity,-266.0286790479452
"Crude, NGL and feedstocks",Oil Products,-1314.4994883356162
All products,Heat and Waste,382.8500821164382
All products,Industry,535.2540865684932
All products,Transport,483.12254418493154
All products,Residential,255.98045397945205
All products,Commercial,46.923476972602735
All products,Other,242.38873621232875
All products,Total Consumption,1563.6692878767121
All primary,Production,3820.336270541096
All primary,Imports,6.707974191780822
All primary,Exports,-1580.6176184863014
All primary,Total Consumption,466.4124486164383
All primary,Oil Products,-1314.4994883356162
All primary,Electricity,-415.30936045890417
Oil Products,Production,1201.0292508150685
All products,Hydrocarbon Heat and Waste,113.4702375205477
All products,Electricity Heat and Waste,269.3798445958905
