flow,period,value
Industry,1971-1974,25.63708166438356
Electricity output in GWh,1971-1974,203.25
Production,1971-1974,29.566940671232874
Imports,1971-1974,6.353930171232877
Total Consumption,1971-1974,25.63708166438356
Electricity,1971-1974,-0.9909708150684933
Industry,1971,22.001426767123288
Electricity output in GWh,1971,160.0
Production,1971,24.971181287671236
Imports,1971,4.743915753424658
Total Consumption,1971,22.001426767123288
Electricity,1971,-0.775393506849315
Industry,1972,24.318068246575343
Electricity output in GWh,1972,223.0
Production,1972,26.246300054794517
Imports,1972,7.357251534246576
Total Consumption,1972,24.318068246575343
Electricity,1972,-1.0875912602739726
Industry,1973,27.505132164383557
Electricity output in GWh,1973,207.0
Production,1973,30.437694465753427
Imports,1973,5.465448821917808
Total Consumption,1973,27.505132164383557
Electricity,1973,-1.011660493150685
Industry,1974,28.72369947945206
Electricity output in GWh,1974,223.0
Production,1974,36.61258687671233
Imports,1974,7.849104575342466
Total Consumption,1974,28.72369947945206
Electricity,1974,-1.089238
Industry,1975,28.080948849315067
Electricity output in GWh,1975,195.0
Production,1975,36.16393063013699
Imports,1975,9.763078027397261
Total Consumption,1975,28.080948849315067
Electricity,1975,-0.9425375890410957
Industry,1976,30.317241479452054
Electricity output in GWh,1976,180.0
Production,1976,31.028030575342463
Imports,1976,2.6217903835616436
Total Consumption,1976,30.317241479452054
Electricity,1976,-1.0581909315068494
Industry,1977,33.34360769863014
Electricity output in GWh,1977,189.0
Production,1977,36.506332
Imports,1977,9.727331726027398
Total Consumption,1977,33.34360769863014
Electricity,1977,-1.0559216438356165
Industry,1978,35.419202630136986
Production,1978,34.74861808219178
Imports,1978,9.03053991780822
Total Consumption,1978,35.419202630136986
Industry,1979,35.13799169863014
Production,1979,35.19918213698631
Imports,1979,12.114562109589041
Exports,1979,-0.9105868219178083
Total Consumption,1979,35.13799169863014
Industry,1980,32.245533534246576
Production,1980,34.79368252054795
Imports,1980,12.990446904109591
Exports,1980,-1.057889698630137
Total Consumption,1980,32.245533534246576
Industry,1981,34.22740487671233
Electricity output in GWh,1981,33.0
Production,1981,34.23385126027397
Imports,1981,11.499625315068494
Total Consumption,1981,34.22740487671233
Electricity,1981,-0.11033156164383562
Industry,1982,31.87059901369863
Electricity output in GWh,1982,1278.0
Production,1982,40.01338556164384
Imports,1982,11.671689534246577
Exports,1982,-0.3942335068493151
Total Consumption,1982,31.87059901369863
Electricity,1982,-4.30929695890411
Industry,1983,40.05250567123288
Electricity output in GWh,1983,2424.0
Production,1983,49.90442731506849
Imports,1983,4.586491452054794
Total Consumption,1983,40.05250567123288
Electricity,1983,-8.792706520547945
Industry,1984-1987,36.324166438356166
Other,1984-1987,0.1740824794520548
Electricity output in GWh,1984-1987,5152.5
Production,1984-1987,57.12025001369862
Imports,1984-1987,5.846889972602741
Exports,1984-1987,-0.5814246369863013
Total Consumption,1984-1987,36.49824891780822
Electricity,1984-1987,-18.481063732876713
Industry,1984,39.182083232876714
Other,1984,0.4419086301369863
Electricity output in GWh,1984,3132.0
Production,1984,53.86487652054794
Imports,1984,4.273510493150685
Total Consumption,1984,39.62399186301369
Electricity,1984,-11.42042115068493
Industry,1985,38.64645101369863
Other,1985,0.2544212876712329
Electricity output in GWh,1985,3852.0
Production,1985,54.7393957260274
Imports,1985,9.761832931506849
Exports,1985,-1.272146602739726
Total Consumption,1985,38.900872301369866
