flow,period,value
Production,1971-1974,573.3717132260275
Imports,1971-1974,31.490829705479452
Exports,1971-1974,-4.326753404109589
Oil Products,1971-1974,-564.5343740342466
Production,1971,515.1902348493151
Imports,1971,2.0516569589041094
Oil Products,1971,-500.68432550684935
Production,1972,537.7882432876712
Imports,1972,32.96863301369863
Oil Products,1972,-539.8485355890411
Production,1973,552.0158736986302
Imports,1973,72.15314619178082
Oil Products,1973,-575.8438561369862
Production,1974,688.4925010684932
Imports,1974,18.789882657534246
Exports,1974,-17.307013616438358
Oil Products,1974,-641.7607789041095
Production,1975,842.3244397260274
Exports,1975,-102.5419606027397
Oil Products,1975,-661.3632071232877
Production,1976,945.3057585205479
Exports,1976,-102.80604142465754
Oil Products,1976,-742.1698500821918
Production,1977,1147.2365547123288
Exports,1977,-219.89238884931507
Oil Products,1977,-837.0130413972602
Production,1978,1406.0086893972602
Exports,1978,-397.37044561643836
Oil Products,1978,-881.4790505205478
Production,1979,1700.4088815068494
Exports,1979,-580.7596955342466
Oil Products,1979,-947.1319125479453
Production,1980,2302.142538630137
Exports,1980,-926.3106961095891
Oil Products,1980,-1121.5426354246576
Production,1981,2744.5380012602736
Exports,1981,-1232.7990422465755
Oil Products,1981,-1249.6185405753424
Production,1982,3186.5872870684934
Exports,1982,-1676.8699621369865
Oil Products,1982,-1236.2523156986301
Production,1983,3138.459450931507
Exports,1983,-1727.9175079726026
Oil Products,1983,-1194.8942667397262
Production,1984-1987,3076.5659802260275
Exports,1984-1987,-1573.6475014041096
Oil Products,1984-1987,-1314.4994883356162
Production,1984,3171.0457190136985
Exports,1984,-1719.914031589041
Oil Products,1984,-1302.7177232876713
Production,1985,3121.8165152328766
Exports,1985,-1612.3343527671234
Oil Products,1985,-1326.2203139726025
Production,1986,2934.471214109589
Exports,1986,-1447.856864328767
Oil Products,1986,-1292.2157009315067
Production,1987,3078.9304725479456
Exports,1987,-1514.4847569315068
Oil Products,1987,-1336.8442151506852
Production,1988,3062.7612355890415
Exports,1988,-1471.9078996712328
Oil Products,1988,-1325.1233844931508
Production,1989,3079.392844931507
Exports,1989,-1435.6485183835616
Oil Products,1989,-1370.991010109589
Production,1990,3067.6747856164384
Exports,1990,-1414.44134230137
Oil Products,1990,-1390.79656969863
Production,1991,3208.106078520548
Exports,1991,-1520.4365964383562
Oil Products,1991,-1431.748355917808
Production,1992,3203.9995916164385
Exports,1992,-1520.3959701643835
Oil Products,1992,-1421.0025558356165
Production,1993,3212.348923506849
Exports,1993,-1490.1899639452056
Oil Products,1993,-1458.80577569863
Production,1994,3210.853081369863
Exports,1994,-1444.017631232877
Oil Products,1994,-1503.759300109589
Production,1995,3118.488273506849
Exports,1995,-1437.8017309863014
Oil Products,1995,-1436.5016701369861
Production,1996,3258.4216686301374
Exports,1996,-1628.9506996438356
