flow,period,value
Industry,1971-1974,74.61480117808219
Transport,1971-1974,238.15362789041095
Residential,1971-1974,49.94258347945206
Commercial,1971-1974,13.313960972602738
Other,1971-1974,58.33922399315069
Electricity output in GWh,1971-1974,14624.0
Imports,1971-1974,53.59224068493151
Exports,1971-1974,-26.98140366438356
Total Consumption,1971-1974,434.3642025342466
Electricity,1971-1974,-75.06394943835616
Production,1971-1974,517.640483150685
Industry,1971,63.664162739726024
Transport,1971,205.594772
Residential,1971,46.97989789041096
Commercial,1971,11.495649041095891
Other,1971,52.122806630136985
Electricity output in GWh,1971,11024.0
Imports,1971,38.881251999999996
Exports,1971,-29.88989243835616
Total Consumption,1971,379.85728830136986
Electricity,1971,-55.48906394520548
Production,1971,451.28169191780825
Industry,1972,73.77024460273974
Transport,1972,228.39496794520548
Residential,1972,49.342828821917806
Commercial,1972,12.870536136986303
Other,1972,56.848025863013696
Electricity output in GWh,1972,13545.0
Imports,1972,55.89102909589042
Exports,1972,-30.163572547945208
Total Consumption,1972,421.226603369863
Electricity,1972,-68.14648786301369
Production,1972,493.5392423287671
Industry,1973,70.26732797260274
Transport,1973,248.55041956164382
Residential,1973,51.723351753424666
Commercial,1973,14.112599616438356
Other,1973,60.86163263013699
Electricity output in GWh,1973,15258.0
Imports,1973,70.33098852054795
Exports,1973,-27.561924602739726
Total Consumption,1973,445.51533153424657
Electricity,1973,-79.25874778082192
Production,1973,525.574093589041
Industry,1974,90.7574693972603
Transport,1974,270.07435205479453
Residential,1974,51.7242554520548
Commercial,1974,14.77705909589041
Other,1974,63.52443084931507
Electricity output in GWh,1974,18669.0
Imports,1974,49.26569312328767
Exports,1974,-20.31022506849315
Total Consumption,1974,490.8575869315069
Electricity,1974,-97.36149816438356
Production,1974,600.1669047671232
Industry,1975,109.69909309589042
Transport,1975,288.76914553424655
Residential,1975,62.88332695890411
Commercial,1975,18.36757424657534
Other,1975,71.03836364383561
Electricity output in GWh,1975,22157.0
Imports,1975,55.97125745205479
