product,flow,value
Coal and coal products,Industry,1000.9748392328767
Coal and coal products,Residential,37.870434958904106
Coal and coal products,Commercial,50.44865471232876
Coal and coal products,Other,110.27968934246576
Gas,Industry,2635.231876493151
Solar/Wind/Other,Industry,0.01727068493150685
Combustible renewables and waste,Industry,331.3236513150685
Gas,Transport,347.12042386301374
Gas,Residential,2385.6536302739723
Solar/Wind/Other,Residential,0.21244950684931507
Combustible renewables and waste,Residential,163.69155178082192
Gas,Commercial,1455.0469316164385
Solar/Wind/Other,Commercial,0.14290487671232877
Gas,Other,396.5623783835616
Geothermal,Other,7.02798391780822
Combustible renewables and waste,Other,332.5364751232877
Oil Products,Industry,1053.0419579452055
Oil Products,Transport,10697.410755835617
Oil Products,Residential,746.0805356164383
Oil Products,Commercial,474.94538194520544
Oil Products,Other,2872.7866534246577
Electricity,Industry,2044.5123175342464
Electricity,Transport,13.826910356164381
Electricity,Residential,1911.4952292602738
Electricity,Commercial,1692.124716328767
Electricity,Other,27.705632767123287
Heat,Industry,103.89150397260275
Heat,Commercial,32.95891323287671
Heat,Other,0.07625208219178083
Coal and coal products,Electricity output in GWh,1809806.0
Gas,Electricity output in GWh,431578.0
Nuclear,Electricity output in GWh,738571.0
Hydro,Electricity output in GWh,618323.0
Geothermal,Electricity output in GWh,21702.0
Solar/Wind/Other,Electricity output in GWh,3868.0
Combustible renewables and waste,Electricity output in GWh,61255.0
Oil Products,Electricity output in GWh,206818.0
Coal and coal products,Production,11328.390630986301
"Crude, NGL and feedstocks",Production,13777.393113506849
Gas,Production,10666.407566931508
Nuclear,Production,3875.2133347123286
Hydro,Production,1067.886171890411
Geothermal,Production,381.6969375616439
Solar/Wind/Other,Production,7.052705095890412
Combustible renewables and waste,Production,1659.0338630958904
Coal and coal products,Imports,226.67091178082194
"Crude, NGL and feedstocks",Imports,7398.491680657533
Gas,Imports,852.0374528493151
Combustible renewables and waste,Imports,0.05418175342465754
Coal and coal products,Exports,-1879.5175921643836
"Crude, NGL and feedstocks",Exports,-2416.77486230137
Gas,Exports,-838.7059500821917
Combustible renewables and waste,Exports,-0.26472345205479453
Coal and coal products,Total Consumption,1199.5736182465753
Gas,Total Consumption,7219.615280794521
Geothermal,Total Consumption,7.02798391780822
Solar/Wind/Other,Total Consumption,0.3726250684931507
Combustible renewables and waste,Total Consumption,827.5516983013699
Oil Products,Imports,1357.6876424931504
Electricity,Imports,64.80479106849315
Oil Products,Exports,-1216.8908737808217
Electricity,Exports,-60.585562739726015
Oil Products,Total Consumption,15844.265304849314
Electricity,Total Consumption,5689.664806246576
Electricity,Production,17644.28569328767
Coal and coal products,Electricity,-8403.19656610959
Gas,Electricity,-2164.3917363561645
Nuclear,Electricity,-3875.2133347123286
Hydro,Electricity,-1067.8861718904109
Geothermal,Electricity,-374.6689536438356
Solar/Wind/Other,Electricity,-6.680080027397261
Combustible renewables and waste,Electricity,-830.0108831780822
Oil Products,Electricity,-922.237967369863
"Crude, NGL and feedstocks",Oil Products,-18038.11315830137
All products,Heat and Waste,11402.855297698628
All products,Industry,7168.993417178083
All products,Transport,11058.358110136985
All products,Residential,5245.00383139726
All products,Commercial,3705.6675027123283
All products,Other,3746.975085123288
All products,Total Consumption,30788.071317424656
All primary,Production,42763.07432378082
All primary,Imports,8477.254227041096
All primary,Exports,-5135.263128
All primary,Total Consumption,9254.141206328766
All primary,Oil Products,-18038.11315830137
All primary,Electricity,-17644.28569328767
Oil Products,Production,18043.66052238356
All products,Hydrocarbon Heat and Waste,-5.547364082191052
All products,Electricity Heat and Waste,11408.40266178082
