product,flow,value
Coal and coal products,Industry,675.9954234109589
Coal and coal products,Residential,0.6818305753424657
Coal and coal products,Commercial,35.503884212328764
Coal and coal products,Other,9.399831342465752
Gas,Industry,2858.7763173493154
Geothermal,Industry,2.3274406780821915
Solar/Wind/Other,Industry,0.09843286301369863
Combustible renewables and waste,Industry,856.9541808835617
Gas,Transport,376.2512646780821
Combustible renewables and waste,Transport,277.7059815547945
Gas,Residential,2499.0183258356165
Geothermal,Residential,10.448116732876713
Solar/Wind/Other,Residential,27.341668143835616
Combustible renewables and waste,Residential,376.36730962328767
Gas,Commercial,1598.898126390411
Geothermal,Commercial,7.184805753424658
Solar/Wind/Other,Commercial,0.8127363424657535
Combustible renewables and waste,Commercial,43.341803006849304
Gas,Other,347.734010130137
Combustible renewables and waste,Other,6.066237712328767
Oil Products,Industry,968.211089760274
Oil Products,Transport,13866.308292835616
Oil Products,Residential,690.8202881643836
Oil Products,Commercial,503.5418205753424
Oil Products,Other,3786.6021646232875
Electricity,Industry,2117.5401134657536
Electricity,Transport,22.384966506849317
Electricity,Residential,2708.712204534246
Electricity,Commercial,2542.563897821918
Electricity,Other,324.31971582191784
Heat,Industry,112.46513888356162
Heat,Residential,0.0021638561643835615
Heat,Commercial,27.3338812739726
Heat,Other,0.027452356164383563
Coal and coal products,Electricity output in GWh,2274199.75
Gas,Electricity output in GWh,1016257.75
Nuclear,Electricity output in GWh,930175.5
Hydro,Electricity output in GWh,663378.0
Geothermal,Electricity output in GWh,23903.75
Solar/Wind/Other,Electricity output in GWh,39184.25
Combustible renewables and waste,Electricity output in GWh,82751.75
Oil Products,Electricity output in GWh,155970.25
Coal and coal products,Production,12278.271564643836
"Crude, NGL and feedstocks",Production,13201.056967541095
Gas,Production,12662.831550000003
Nuclear,Production,4868.111513034247
Hydro,Production,1145.6992428493152
Geothermal,Production,299.17294086986306
Solar/Wind/Other,Production,96.15224898630137
Combustible renewables and waste,Production,2017.0062967328765
Coal and coal products,Imports,733.2463683287672
"Crude, NGL and feedstocks",Imports,12894.262091849316
Gas,Imports,2380.786214061644
Combustible renewables and waste,Imports,29.084892760273974
Coal and coal products,Exports,-1070.905489260274
"Crude, NGL and feedstocks",Exports,-3935.515316821918
Gas,Exports,-2118.20876510274
Combustible renewables and waste,Exports,-22.332828116438357
Coal and coal products,Total Consumption,721.5809645205478
Gas,Total Consumption,7680.678039363014
Geothermal,Total Consumption,19.960358143835617
Solar/Wind/Other,Total Consumption,28.252837349315065
Combustible renewables and waste,Total Consumption,1560.4355228219179
Oil Products,Imports,2911.5158982945204
Electricity,Imports,122.37014278082192
Oil Products,Exports,-1877.5281648972605
Electricity,Exports,-123.36622953424657
Oil Products,Total Consumption,19815.483645917808
Electricity,Total Consumption,7715.520898150686
Electricity,Production,22082.45885778767
Coal and coal products,Electricity,-10652.812013465753
Gas,Electricity,-3868.7983345958905
Nuclear,Electricity,-4868.111513034247
Hydro,Electricity,-1145.6992428493154
Geothermal,Electricity,-279.2125777054795
Solar/Wind/Other,Electricity,-67.8994116369863
Combustible renewables and waste,Electricity,-458.84362617123287
Oil Products,Electricity,-741.0821383287671
"Crude, NGL and feedstocks",Oil Products,-20702.030397369865
All products,Heat and Waste,13642.36662622603
All products,Industry,7592.368132273973
All products,Transport,14542.650525657535
All products,Residential,6313.391897424657
All products,Commercial,4759.1809553767125
All products,Other,4474.149411986302
All products,Total Consumption,37541.91226626712
All primary,Production,46568.30232465754
All primary,Imports,16037.379567000002
All primary,Exports,-7146.962399301371
All primary,Total Consumption,10010.90772219863
All primary,Oil Products,-20702.030397369865
All primary,Electricity,-22082.45885778767
Oil Products,Production,20796.090473575343
All products,Hydrocarbon Heat and Waste,-94.06007620547825
All products,Electricity Heat and Waste,13736.426702431509
