flow,period,value
Production,1971-1974,33634.41874619863
Imports,1971-1974,4437.583521226027
Exports,1971-1974,-2233.11824310274
Total Consumption,1971-1974,10501.714802417808
Oil Products,1971-1974,-15086.024530178081
Electricity,1971-1974,-9022.637560280822
Production,1971,32846.754533178086
Imports,1971,3245.7279762739727
Exports,1971,-1994.1465018630138
Total Consumption,1971,10402.402033150684
Oil Products,1971,-14135.537556136986
Electricity,1971,-8033.85943438356
Production,1972,33867.57626115069
Imports,1972,4034.7560261643844
Exports,1972,-2238.4869309041096
Total Consumption,1972,10544.496372520547
Oil Products,1972,-14888.408101698631
Electricity,1972,-8904.674499671231
Production,1973,34174.6233340274
Imports,1973,5207.627056876712
Exports,1973,-2433.1929376986304
Total Consumption,1973,10642.750022054795
Oil Products,1973,-15775.695444219176
Electricity,1973,-9506.636129835615
Production,1974,33648.720856438355
Imports,1974,5262.223025589042
Exports,1974,-2266.6466019452055
Total Consumption,1974,10417.210781945207
Oil Products,1974,-15544.457018657535
Electricity,1974,-9645.380177232875
Production,1975,33300.73589421917
Imports,1975,6697.867246383562
Exports,1975,-2287.965615753425
Total Consumption,1975,9646.102573835617
Oil Products,1975,-16520.318976657534
Electricity,1975,-9924.792386986303
Production,1976,33505.23341542466
Imports,1976,7727.217981616437
Exports,1976,-1981.084140630137
Total Consumption,1976,9886.869256356164
Oil Products,1976,-17492.38865372603
Electricity,1976,-10619.765873232876
Production,1977,34423.95898736985
Imports,1977,9137.473552520547
Exports,1977,-1977.3855230410961
Total Consumption,1977,9756.877289205479
Oil Products,1977,-19018.739917534247
Electricity,1977,-11517.08115780822
Production,1978,35194.953369616436
Imports,1978,8737.160242438356
Exports,1978,-1975.8606822191784
Total Consumption,1978,10020.021598191783
Oil Products,1978,-19178.084819479453
Electricity,1978,-11716.687098904109
Production,1979,37145.759529452065
Imports,1979,9061.157689287671
Exports,1979,-2575.796742191781
Total Consumption,1979,10443.001979369863
Oil Products,1979,-19276.972202739726
Electricity,1979,-11867.768199013699
Production,1980,38311.07578019178
Imports,1980,7375.482228273973
Exports,1980,-3156.4504037534243
Total Consumption,1980,10388.430591260274
Oil Products,1980,-18044.045979972605
Electricity,1980,-12114.024991287673
Production,1981,38551.332535698624
Imports,1981,6387.69207090411
Exports,1981,-3611.6194256164385
Total Consumption,1981,10379.647704931507
Oil Products,1981,-17099.65988542466
Electricity,1981,-12331.670202958903
Production,1982,38714.24509926028
Imports,1982,5356.1756520273975
Exports,1982,-4074.0410507123283
Total Consumption,1982,9691.267885041096
Oil Products,1982,-16160.609348082193
Electricity,1982,-11970.907484328769
Production,1983,37524.27072852055
Imports,1983,5074.6701950958895
Exports,1983,-3802.2358948767123
Total Consumption,1983,9559.42357668493
Oil Products,1983,-15821.431631890411
Electricity,1983,-12325.870626630138
