flow,period,value
Heat and Waste,1971-1974,5306.987179952057
Industry,1971-1974,8742.518246513697
Transport,1971-1974,8861.422243157534
Residential,1971-1974,5430.171861452054
Commercial,1971-1974,3315.4219175068497
Other,1971-1974,2571.835113157534
Total Consumption,1971-1974,28919.80968832192
Hydrocarbon Heat and Waste,1971-1974,-303.9491939726013
Electricity Heat and Waste,1971-1974,5610.936373924658
Heat and Waste,1971,4706.263611890408
Industry,1971,8403.819274712328
Transport,1971,8287.446306986301
Residential,1971,5364.32123
Commercial,1971,3257.665574109589
Other,1971,2391.416476273973
Total Consumption,1971,27704.668862082195
Hydrocarbon Heat and Waste,1971,-237.7597558630132
Electricity Heat and Waste,1971,4944.023367753422
Heat and Waste,1972,5231.44817120548
Industry,1972,8659.802274109588
Transport,1972,8817.932464520547
Residential,1972,5615.042634904109
Commercial,1972,3371.833999150685
Other,1972,2501.298658712329
Total Consumption,1972,28965.909890821917
Hydrocarbon Heat and Waste,1972,-316.19549526027185
Electricity Heat and Waste,1972,5547.643666465752
Heat and Waste,1973,5591.123720301366
Industry,1973,9107.175429287672
Transport,1973,9243.309554876712
Residential,1973,5453.009530767124
Commercial,1973,3339.9067482739724
Other,1973,2707.1346780821923
Total Consumption,1973,29848.61626449315
Hydrocarbon Heat and Waste,1973,-324.5518760000032
Electricity Heat and Waste,1973,5915.675596301369
Heat and Waste,1974,5699.11321641096
Industry,1974,8799.276007945205
Transport,1974,9097.000646246575
Residential,1974,5288.314050136986
Commercial,1974,3292.2813484931503
Other,1974,2687.4906395616435
Total Consumption,1974,29160.043735890413
Hydrocarbon Heat and Waste,1974,-337.2896487671205
Electricity Heat and Waste,1974,6036.402865178081
Heat and Waste,1975,6478.377405068495
Industry,1975,7759.70094690411
Transport,1975,9227.609839561645
Residential,1975,5327.560958684931
Commercial,1975,3228.1722647945207
Other,1975,2691.2262284657536
Total Consumption,1975,28230.431386876713
Hydrocarbon Heat and Waste,1975,219.69202882191894
Electricity Heat and Waste,1975,6258.685376246576
Heat and Waste,1976,6765.44476558904
Industry,1976,8154.845663123288
Transport,1976,9642.138509835617
Residential,1976,5583.370628684932
Commercial,1976,3505.5747893698626
Other,1976,2895.1464669863017
Total Consumption,1976,29777.237246630135
Hydrocarbon Heat and Waste,1976,44.37539827397268
Electricity Heat and Waste,1976,6721.069367315067
Heat and Waste,1977,7514.944816493149
Industry,1977,8718.922881123288
Transport,1977,9932.623317178082
Residential,1977,5513.337499232876
Commercial,1977,3478.8676230958904
Other,1977,3097.287182328767
Total Consumption,1977,30738.639243342463
Hydrocarbon Heat and Waste,1977,112.81331890411093
Electricity Heat and Waste,1977,7402.131497589038
Heat and Waste,1978,7689.936416767123
Industry,1978,8629.097366000002
Transport,1978,10312.68604630137
Residential,1978,5571.12342369863
Commercial,1978,3501.0902752876714
Other,1978,3395.5325317808224
Total Consumption,1978,31401.37171454795
Hydrocarbon Heat and Waste,1978,244.46240827397196
Electricity Heat and Waste,1978,7445.474008493151
Heat and Waste,1979,7748.724201616438
Industry,1979,9293.35168578082
Transport,1979,10248.231689479451
Residential,1979,5321.456092876712
Commercial,1979,3468.894646
Other,1979,3483.2414642191784
Total Consumption,1979,31794.16311920548
Hydrocarbon Heat and Waste,1979,266.97942523287566
Electricity Heat and Waste,1979,7481.744776383563
Heat and Waste,1980,7746.294919123295
Industry,1980,9232.091019999998
Transport,1980,9888.256413671234
Residential,1980,5121.645213013699
Commercial,1980,3269.5617223013696
Other,1980,3260.9660622465753
Total Consumption,1980,30751.83211873973
Hydrocarbon Heat and Waste,1980,148.18617183561946
Electricity Heat and Waste,1980,7598.108747287675
Heat and Waste,1981,7723.1917431506845
Industry,1981,9041.093049342466
Transport,1981,9899.318106630137
Residential,1981,4908.726907479452
Commercial,1981,3218.9546994246566
Other,1981,3291.6602866301373
Total Consumption,1981,30337.817010356168
Hydrocarbon Heat and Waste,1981,25.0269696164396
Electricity Heat and Waste,1981,7698.164773534245
Heat and Waste,1982,7416.336113808224
Industry,1982,8041.57824569863
Transport,1982,9724.8607729863
Residential,1982,4937.685367780822
Commercial,1982,3298.748617534247
Other,1982,3022.8133581369866
Total Consumption,1982,28995.39771769863
Hydrocarbon Heat and Waste,1982,-48.9467276712312
Electricity Heat and Waste,1982,7465.282841479455
Heat and Waste,1983,7745.9600485753435
Industry,1983,7696.973076191781
Transport,1983,9749.18362079452
Residential,1983,4797.469858027397
Commercial,1983,3307.064251506849
Other,1983,3133.364940273973
Total Consumption,1983,28627.93102123288
Hydrocarbon Heat and Waste,1983,70.09008254794571
Electricity Heat and Waste,1983,7675.869966027398
Heat and Waste,1984-1987,8605.71216074657
Industry,1984-1987,8379.796675753425
Transport,1984-1987,10282.945128582192
Residential,1984-1987,4971.093635116438
Commercial,1984-1987,3432.0614261232877
Other,1984-1987,3273.218935431507
Total Consumption,1984-1987,30289.978819671232
Hydrocarbon Heat and Waste,1984-1987,174.87319065068004
Electricity Heat and Waste,1984-1987,8430.83897009589
Heat and Waste,1984,8149.30936432877
Industry,1984,8437.687128027397
Transport,1984,10053.894351561645
Residential,1984,4990.443635205479
Commercial,1984,3436.3278174794523
Other,1984,3298.0858047945208
Total Consumption,1984,30159.90441512329
Hydrocarbon Heat and Waste,1984,151.80889882191877
Electricity Heat and Waste,1984,7997.5004655068515
Heat and Waste,1985,8549.79174638356
Industry,1985,8394.40159030137
Transport,1985,10145.569456630137
Residential,1985,4945.241674
Commercial,1985,3417.105364410959
Other,1985,3202.8596661643833
Total Consumption,1985,30061.11069520548
Hydrocarbon Heat and Waste,1985,156.5047779725992
Electricity Heat and Waste,1985,8393.286968410961
Heat and Waste,1986,8641.120212739726
Industry,1986,8179.29866361644
Transport,1986,10290.886566054796
Residential,1986,4941.344764849316
Commercial,1986,3387.1823162739724
Other,1986,3227.504009780822
Total Consumption,1986,29978.931474602738
Hydrocarbon Heat and Waste,1986,185.31736123287556
Electricity Heat and Waste,1986,8455.80285150685
Heat and Waste,1987,9082.627319534244
Industry,1987,8507.799321068493
Transport,1987,10641.430140082193
Residential,1987,5007.344466410958
Commercial,1987,3487.6302063287662
Other,1987,3364.4262609863017
Total Consumption,1987,30959.968693753424
Hydrocarbon Heat and Waste,1987,205.8617245753412
Electricity Heat and Waste,1987,8876.765594958903
Heat and Waste,1988,9617.442996794522
Industry,1988,8770.751041835618
Transport,1988,11135.58735161644
Residential,1988,5303.859775205479
Commercial,1988,3658.542892547945
Other,1988,3431.8567785479454
Total Consumption,1988,32260.830661863012
