flow,period,value
Production,1971-1974,13056.494285815068
Imports,1971-1974,3732.3624740753426
Exports,1971-1974,-957.4810391369864
Oil Products,1971-1974,-15086.024530178081
Production,1971,13003.189998657534
Imports,1971,2564.517398438356
Exports,1971,-761.7077943835617
Oil Products,1971,-14135.537556136986
Production,1972,13230.607345424658
Imports,1972,3305.757844684932
Exports,1972,-971.2717915068494
Oil Products,1972,-14888.408101698631
Production,1973,13226.426935972602
Imports,1973,4490.767214821917
Exports,1973,-1155.5530321369865
Oil Products,1973,-15775.695444219176
Production,1974,12765.75286320548
Imports,1974,4568.407438356165
Exports,1974,-941.391538520548
Oil Products,1974,-15544.457018657535
Production,1975,12309.840338356164
Imports,1975,5984.56564739726
Exports,1975,-896.6834586575344
Oil Products,1975,-16520.318976657534
Production,1976,12057.53910758904
Imports,1976,7044.095679534245
Exports,1976,-659.1145840273973
Oil Products,1976,-17492.38865372603
Production,1977,12356.93341947945
Imports,1977,8402.15956189041
Exports,1977,-694.8590980821918
Oil Products,1977,-19018.739917534247
Production,1978,13053.145033095889
Imports,1978,7978.836277287672
Exports,1978,-836.0556831506851
Oil Products,1978,-19178.084819479453
Production,1979,13382.327842438357
Imports,1979,8156.364539534247
Exports,1979,-1057.862125780822
Oil Products,1979,-19276.972202739726
Production,1980,13989.71323079452
Imports,1980,6666.004097863014
Exports,1980,-1338.7565820273974
Oil Products,1980,-18044.045979972605
Production,1981,14243.87535778082
Imports,1981,5732.506326712329
Exports,1981,-1571.986217150685
Oil Products,1981,-17099.65988542466
Production,1982,14704.543225150688
Imports,1982,4682.8989657808215
Exports,1982,-2095.093032739726
Oil Products,1982,-16160.609348082193
Production,1983,14765.468357671234
Imports,1983,4412.768765150685
Exports,1983,-2193.8548018904107
Oil Products,1983,-15821.431631890411
Production,1984-1987,14930.090749164383
Imports,1984-1987,5140.283545410959
Exports,1984-1987,-2211.760320047945
Oil Products,1984-1987,-16856.15280207534
Production,1984,15160.06717967123
Imports,1984,4582.801449726027
Exports,1984,-2222.3373142465753
Oil Products,1984,-16484.565827260278
